"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Evan Longoria","TBR","21","93","6","17","24","1","8.6%","18.3%",".345",".403",".369",".419",".714",".475","","197","-0.1","11.2","3.0","1.7","9368"
"Kevin Youkilis","BOS","21","93","5","20","15","1","15.1%","16.1%",".303",".446",".395",".505",".697",".500","","204","0.4","12.5","0.3","1.6","1935"
"Chase Utley","PHI","20","89","7","18","20","2","14.6%","12.4%",".301",".327",".342",".461",".644",".472","","193","1.4","11.6","1.7","1.6","1679"
"Ian Kinsler","TEX","21","99","7","18","20","7","8.1%","19.2%",".333",".344",".322",".384",".656",".439","","164","1.4","9.3","1.9","1.5","6195"
"Albert Pujols","STL","23","105","8","22","28","4","17.1%","6.7%",".337",".286",".337",".457",".675",".462","","190","0.8","12.4","-1.3","1.4","1177"
"Adrian Gonzalez","SDP","22","96","9","19","20","1","14.6%","22.9%",".370",".360",".333",".438",".704",".477","","206","-0.6","11.9","-0.7","1.4","1908"
"Mike Cameron","MIL","20","86","5","12","15","2","15.1%","16.3%",".333",".352",".333",".430",".667",".460","","187","0.4","9.6","1.9","1.4","1070"
"Raul Ibanez","PHI","20","90","7","20","17","3","12.2%","11.1%",".359",".339",".359",".433",".718",".478","","197","0.3","11.0","-0.5","1.3","607"
"Jason Bay","BOS","22","96","5","19","19","2","24.0%","17.7%",".310",".360",".324",".490",".634",".471","","186","0.4","10.7","-0.9","1.3","1717"
"Brandon Inge","DET","21","85","7","17","18","1","15.3%","16.5%",".348",".313",".319",".447",".667",".472","","189","-0.6","8.9","1.2","1.3","470"
"Manny Ramirez","LAD","22","98","5","19","15","0","20.4%","14.3%",".282",".407",".372",".500",".654",".481","","203","0.1","12.5","-3.2","1.2","210"
"Aaron Hill","TOR","24","114","5","17","20","1","7.9%","12.3%",".202",".384",".365",".412",".567",".423","","158","0.4","8.6","-0.4","1.2","6104"
"Nick Swisher","NYY","22","93","7","21","19","0","16.1%","20.4%",".403",".333",".312",".430",".714",".474","","189","-0.3","10.1","-1.4","1.2","4599"
"Marco Scutaro","TOR","24","114","5","24","15","1","19.3%","11.4%",".225",".274",".281",".421",".506",".404","","146","0.5","7.0","1.0","1.2","1555"
"Torii Hunter","LAA","21","87","8","19","16","1","8.0%","13.8%",".390",".288",".325",".379",".714",".451","","178","0.4","8.9","0.0","1.2","731"
"Orlando Hudson","LAD","23","107","3","19","12","4","11.2%","9.3%",".200",".354",".337",".411",".537",".412","","156","1.0","8.4","-0.1","1.2","1307"
