"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alex Rodriguez","NYY","23","106","14","27","34","2","8.5%","21.7%",".527",".328",".355",".415",".882",".521","","226","1.1","17.9","-0.1","2.1","1274"
"Jose Reyes","NYM","24","120","2","26","18","17","13.3%","9.2%",".240",".385",".356",".442",".596",".438","","167","2.9","13.3","3.0","2.0","1736"
"Carlos Beltran","NYM","24","115","6","17","23","5","8.7%","15.7%",".307",".380",".356",".412",".663",".445","","172","1.3","12.0","0.9","1.6","589"
"Aaron Rowand","PHI","25","107","5","13","12","2","10.3%","15.0%",".244",".414",".378",".462",".622",".465","","179","0.8","11.8","1.1","1.6","254"
"Kelly Johnson","ATL","24","110","5","24","15","3","21.8%","14.5%",".267",".354",".326",".473",".593",".459","","179","1.2","12.4","-0.5","1.5","2234"
"Jimmy Rollins","PHI","25","123","9","26","18","6","7.3%","13.8%",".315",".282",".297",".366",".613",".411","","145","2.2","9.3","1.6","1.5","971"
"Chase Utley","PHI","25","119","5","19","21","2","8.4%","12.6%",".286",".296",".296",".395",".582",".413","","146","1.0","8.2","2.8","1.5","1679"
"Chipper Jones","ATL","25","118","8","22","17","0","15.3%","13.6%",".330",".303",".310",".415",".640",".439","","166","-0.3","9.8","0.6","1.4","97"
"Joe Mauer","MIN","24","103","1","18","12","3","14.6%","10.7%",".143",".411",".369",".465",".512",".422","","161","0.7","8.6","1.7","1.3","1857"
"Magglio Ordonez","DET","24","106","4","20","26","0","14.2%","12.3%",".278",".365",".344",".434",".622",".448","","176","-0.3","9.9","0.2","1.3","248"
"Grady Sizemore","CLE","22","104","5","24","11","8","20.2%","24.0%",".241",".306",".253",".433",".494",".411","","154","2.6","9.7","0.3","1.3","2197"
"Andruw Jones","ATL","25","112","5","16","19","0","17.0%","23.2%",".273",".305",".261",".402",".534",".397","","139","-0.2","5.4","4.3","1.3","96"
"Hanley Ramirez","FLA","22","105","4","26","7","6","13.3%","15.2%",".261",".412",".364",".462",".625",".463","","181","0.3","11.3","-2.1","1.2","8001"
"Barry Bonds","SFG","22","84","8","17","17","1","27.4%","10.7%",".458",".302",".356",".536",".814",".526","","221","-0.7","12.4","-2.6","1.2","1109"
"Melvin Upton Jr.","TBD","22","81","5","16","20","5","7.4%","33.3%",".324",".524",".365",".413",".689",".464","","189","0.9","10.0","-0.2","1.2","5015"
"Matt Holliday","COL","26","116","3","14","19","2","6.0%","17.2%",".193",".453",".385",".422",".578",".433","","153","0.7","8.8","-0.4","1.2","1873"
"Todd Helton","COL","25","112","1","11","17","0","22.3%","4.5%",".116",".395",".384",".518",".500",".453","","166","-1.1","8.6","-0.4","1.2","432"
"Vladimir Guerrero","LAA","24","100","7","14","23","1","14.0%","10.0%",".329",".348",".366",".470",".695",".475","","195","-0.8","11.2","-2.8","1.2","778"
