"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","SFG","23","92","10","21","22","2","42.4%","6.5%",".660",".405",".472",".696","1.132",".673","","323","0.2","26.7","-0.7","2.8","1109"
"Adam Dunn","CIN","22","93","8","17","18","2","30.1%","25.8%",".422",".406",".328",".538",".750",".519","","219","0.9","15.2","-1.4","1.7","319"
"Scott Rolen","STL","23","100","8","17","27","1","7.0%","17.0%",".326",".333",".337",".384",".663",".427","","162","1.0","9.0","4.0","1.6","970"
"Carlos Beltran","KCR","21","99","8","23","19","7","17.2%","13.1%",".380",".283",".316",".434",".696",".455","","175","2.4","11.9","0.1","1.5","589"
"Ronnie Belliard","CLE","22","98","0","15","11","2","14.3%","9.2%",".131",".467",".417",".500",".548",".459","","185","0.6","11.3","0.7","1.5","677"
"Moises Alou","CHC","20","90","7","15","20","0","6.7%","11.1%",".373",".343",".361",".400",".735",".468","","186","-0.4","9.6","1.5","1.4","261"
"Adrian Beltre","LAD","22","90","7","15","20","1","2.2%","8.9%",".294",".319",".353",".367",".647",".421","","160","-0.2","6.7","3.8","1.3","639"
"Reggie Sanders","STL","22","89","8","14","22","6","4.5%","24.7%",".381",".352",".321",".352",".702",".436","","168","1.2","9.0","0.6","1.2","1129"
"Sean Casey","CIN","22","96","3","16","18","1","7.3%","7.3%",".253",".423",".414",".458",".667",".475","","190","-0.6","10.5","-1.3","1.2","314"
"Scott Podsednik","MIL","23","111","3","19","8","12","9.9%","14.4%",".194",".342",".306",".382",".500",".379","","128","3.1","7.1","0.7","1.1","1095"
"Lew Ford","MIN","18","70","3","14","17","2","10.0%","7.1%",".290",".418",".419",".471",".710",".490","","203","0.3","9.4","-0.4","1.1","1724"
"Jim Thome","PHI","20","90","7","17","13","0","13.3%","25.6%",".351",".447",".364",".456",".714",".472","","187","-0.7","9.4","-1.0","1.1","409"
"Marcus Giles","ATL","21","95","2","14","14","5","7.4%","13.7%",".143",".431",".393",".432",".536",".414","","152","0.9","7.3","0.9","1.1","89"
"Jorge Posada","NYY","22","85","8","16","21","0","17.6%","12.9%",".420",".235",".290",".412",".710",".452","","180","-1.5","7.2","1.2","1.1","841"
"Andruw Jones","ATL","21","94","4","16","14","0","14.9%","12.8%",".241",".297",".291",".394",".532",".392","","138","-0.4","4.2","3.9","1.1","96"
"Jeff Bagwell","HOU","22","102","5","21","17","0","17.6%","15.7%",".253",".339",".316",".461",".570",".440","","167","-0.1","8.8","-1.0","1.1","547"
"Todd Helton","COL","21","95","5","21","13","1","18.9%","12.6%",".312",".350",".338",".463",".649",".461","","170","0.5","9.1","-1.6","1.0","432"
"Jack Wilson","PIT","20","89","2","12","8","3","2.2%","11.2%",".179",".397",".369",".386",".548",".399","","141","1.0","5.7","1.9","1.0","1017"
"Javy Lopez","BAL","20","92","3","12","14","0","12.0%","12.0%",".185",".388",".358",".435",".543",".424","","161","-0.5","6.6","0.7","1.0","103"
"Jim Edmonds","STL","23","98","5","14","16","1","12.2%","26.5%",".310",".345",".286",".367",".595",".400","","144","0.2","5.8","1.3","1.0","1153"
"Melvin Mora","BAL","21","101","2","20","13","2","11.9%","13.9%",".145",".412",".361",".449",".506",".418","","157","0.4","7.7","-0.8","1.0","157"
"Mike Lowell","FLA","23","98","7","20","19","2","11.2%","11.2%",".291",".290",".314",".388",".605",".414","","156","-0.3","6.7","0.0","1.0","527"
"Juan Uribe","CHW","18","68","3","10","10","2","5.9%","14.7%",".197",".438",".393",".439",".590",".444","","170","0.0","6.0","1.6","1.0","454"
"Mark Loretta","SDP","24","109","4","16","14","0","8.3%","8.3%",".186",".329",".330",".389",".515",".387","","141","0.2","6.0","0.3","1.0","1383"
"Paul Lo Duca","LAD","20","85","1","9","10","0","7.1%","2.4%",".130",".408",".416",".447",".545",".427","","163","-1.1","5.8","1.2","1.0","662"
"Richard Hidalgo","HOU","21","88","4","15","22","0","4.5%","21.6%",".280",".393",".341",".364",".622",".405","","144","-1.0","4.0","2.7","0.9","561"
"Danny Bautista","ARI","22","91","4","15","15","2","4.4%","7.7%",".247",".378",".376",".418",".624",".443","","165","0.7","8.4","-1.7","0.9","47"
"Vinny Castilla","COL","20","86","6","14","21","0","11.6%","15.1%",".373",".316",".320",".395",".693",".448","","162","-0.3","6.5","0.3","0.9","84"
"Hank Blalock","TEX","22","103","4","15","18","0","7.8%","16.5%",".232",".378",".337",".388",".568",".402","","138","0.1","5.1","1.0","0.9","1419"
"Hee Seop Choi","FLA","21","74","9","14","18","1","16.2%","23.0%",".443",".257",".295",".419",".738",".474","","195","0.5","9.6","-2.5","0.9","270"
"Michael Young","TEX","22","105","3","22","14","3","8.6%","10.5%",".179",".390",".368",".419",".547",".415","","147","1.2","7.5","-1.7","0.9","1286"
"Jeromy Burnitz","COL","20","85","6","18","14","1","15.3%","22.4%",".380",".326",".296",".412",".676",".448","","162","0.2","7.0","-0.7","0.9","867"
"Lance Berkman","HOU","22","93","5","15","18","0","21.5%","18.3%",".286",".327",".300",".462",".586",".441","","168","-0.7","7.4","-1.4","0.9","548"
"J.D. Drew","ATL","16","75","3","16","11","2","18.7%","21.3%",".246",".333",".279",".413",".525",".405","","146","0.9","5.4","1.2","0.9","1152"
"Albert Pujols","STL","23","107","7","22","17","0","16.8%","4.7%",".322",".237",".287",".411",".609",".412","","152","-0.5","6.6","-1.2","0.9","1177"
"Jermaine Dye","OAK","23","103","7","16","20","0","7.8%","22.3%",".298",".328",".298",".359",".596",".402","","145","-0.8","5.2","0.2","0.9","911"
"Craig Wilson","PIT","21","89","5","10","12","0","6.7%","16.9%",".325",".379",".351",".427",".675",".460","","181","0.0","9.3","-3.7","0.8","1015"
"Richie Sexson","ARI","21","96","9","20","22","0","13.5%","19.8%",".373",".200",".241",".344",".614",".398","","136","0.3","4.7","0.8","0.8","709"
"Vladimir Guerrero","ANA","22","99","6","17","15","0","6.1%","10.1%",".272",".316",".326",".374",".598",".411","","154","-0.3","6.6","-1.5","0.8","778"
"Frank Thomas","CHW","18","77","4","15","9","0","26.0%","10.4%",".268",".295",".304",".494",".571",".460","","181","-0.6","7.4","-1.5","0.8","255"
"Todd Walker","CHC","19","78","2","15","10","0","19.2%","7.7%",".210",".327",".323",".449",".532",".424","","157","0.1","5.8","0.0","0.8","359"
"Corey Patterson","CHC","20","90","3","16","10","3","5.6%","22.2%",".217",".333",".277",".326",".494",".350","","108","0.7","1.6","3.5","0.8","300"
"Manny Ramirez","BOS","21","96","5","12","16","1","10.4%","13.5%",".259",".412",".388",".448",".647",".452","","176","-0.7","8.6","-3.7","0.8","210"
"Rondell White","DET","23","100","5","20","22","0","12.0%","13.0%",".247",".309",".306",".400",".553",".407","","151","-0.2","6.3","-1.6","0.8","856"
"Julio Lugo","TBD","21","81","2","10","14","2","4.9%","14.8%",".189",".350",".311",".354",".500",".367","","122","0.8","3.1","2.0","0.8","565"
"Ivan Rodriguez","DET","21","94","1","11","16","2","6.4%","16.0%",".115",".417",".356",".394",".471",".373","","129","-0.1","3.4","1.2","0.8","1275"
