"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Bautista","TOR","24","111","9","25","15","4","25.2%","14.4%",".415",".368",".366",".532",".780",".541","","248","1.6","20.7","-1.9","2.4","1887"
"Ryan Braun","MIL","26","116","10","24","23","3","13.8%","14.7%",".357",".361",".367",".457",".724",".496","","219","1.0","16.9","-1.9","2.0","3410"
"Joey Votto","CIN","27","121","5","24","16","4","20.7%","11.6%",".255",".395",".372",".504",".628",".481","","209","-0.2","15.0","-0.9","1.9","4314"
"Matt Kemp","LAD","28","121","6","20","19","8","12.4%","19.8%",".245",".434",".368",".446",".613",".453","","196","0.7","14.1","-0.5","1.8","5631"
"Placido Polanco","PHI","26","114","2","18","19","3","8.8%","4.4%",".126",".402",".398",".447",".524",".425","","172","-0.2","9.2","3.4","1.7","1176"
"Howie Kendrick","LAA","27","122","6","19","12","1","9.0%","19.7%",".250",".346",".306",".380",".556",".403","","159","0.1","8.5","3.3","1.7","4229"
"Russell Martin","NYY","23","85","6","13","19","2","8.2%","14.1%",".293",".281",".293",".376",".587",".415","","161","-0.2","5.9","6.7","1.6","4616"
"Lance Berkman","STL","24","99","8","23","22","0","10.1%","13.1%",".360",".397",".393",".455",".753",".508","","232","-0.2","14.9","-3.0","1.6","548"
"Andre Ethier","LAD","28","121","3","15","16","0","10.7%","17.4%",".176",".452",".380",".446",".556",".433","","182","-0.9","10.5","0.0","1.5","6265"
"Matt Holliday","STL","20","92","3","19","16","0","14.1%","16.3%",".211",".483",".408",".511",".618",".490","","219","-0.9","11.8","-0.7","1.5","1873"
"Brandon Phillips","CIN","23","105","3","21","13","2","9.5%","11.4%",".172",".380",".355",".413",".527",".409","","160","0.5","7.8","2.1","1.4","791"
"Alex Gordon","KCR","26","119","2","20","19","2","6.7%","17.6%",".202",".407",".339",".395",".541",".406","","156","0.6","8.3","0.7","1.4","5209"
"Ben Zobrist","TBR","27","110","7","19","25","5","8.2%","20.0%",".330",".264",".260",".318",".590",".384","","147","1.5","7.6","1.6","1.4","7435"
"Ike Davis","NYM","27","111","5","16","20","0","11.7%","19.8%",".263",".386",".337",".414",".600",".427","","177","-0.6","9.3","-0.5","1.3","8433"
"Miguel Cabrera","DET","27","119","7","24","19","0","17.6%","10.9%",".302",".325",".333",".454",".635",".452","","186","-0.9","11.1","-2.9","1.3","1744"
"Alex Rodriguez","NYY","20","86","5","16","18","0","16.3%","14.0%",".319",".278",".290",".407",".609",".429","","171","-0.5","6.6","2.4","1.2","1274"
"Troy Tulowitzki","COL","25","109","7","16","17","2","12.8%","8.3%",".319",".266",".298",".385",".617",".413","","149","-0.9","5.3","2.5","1.2","3531"
"Robinson Cano","NYY","24","103","8","18","21","2","2.9%","15.5%",".320",".307",".320",".340",".639",".414","","160","0.4","7.6","-0.2","1.2","3269"
"Brian McCann","ATL","26","102","2","6","14","1","8.8%","19.6%",".075",".366",".301",".363",".376",".329","","108","-0.9","0.0","7.8","1.2","4810"
"Carlos Quentin","CHW","28","117","6","16","17","0","6.8%","14.5%",".304",".304",".294",".385",".598",".423","","165","-0.7","8.3","-1.3","1.1","6274"
"Rickie Weeks Jr.","MIL","25","116","6","21","10","2","8.6%","20.7%",".245",".342",".304",".379",".549",".398","","152","-0.7","6.3","0.8","1.1","1849"
"Shane Victorino","PHI","26","115","4","19","12","5","7.8%","14.8%",".202",".313",".288",".351",".490",".367","","131","1.5","5.6","1.3","1.1","1677"
"Miguel Montero","ARI","25","95","4","13","11","0","9.5%","12.6%",".221",".286",".279",".347",".500",".362","","125","-1.0","1.7","5.8","1.1","3364"
"Prince Fielder","MIL","26","114","6","17","26","0","9.6%","10.5%",".293",".333",".333",".421",".626",".443","","183","-1.2","9.7","-2.8","1.1","4613"
"Ian Kinsler","TEX","27","121","5","17","12","4","13.2%","11.6%",".233",".226",".233",".347",".466",".358","","119","0.7","3.4","2.8","1.1","6195"
"Pablo Sandoval","SFG","24","91","5","11","14","1","8.8%","15.4%",".217",".328",".313",".374",".530",".390","","154","-0.9","4.7","2.7","1.1","5409"
"Sam Fuld","TBR","25","109","1","17","8","10","10.1%","11.9%",".144",".321",".289",".358",".433",".347","","123","1.4","4.2","2.0","1.0","8254"
"Jason Heyward","ATL","28","113","7","15","14","1","12.4%","16.8%",".263",".260",".263",".354",".525",".379","","141","0.0","5.4","1.0","1.0","4940"
"Mark Teixeira","NYY","23","102","6","16","16","0","15.7%","21.6%",".293",".273",".256",".392",".549",".406","","155","0.1","6.6","-0.3","1.0","1281"
"Stephen Drew","ARI","22","90","2","15","22","1","10.0%","16.7%",".210",".375",".321",".389",".531",".399","","150","-0.5","4.6","2.1","1.0","4251"
"Justin Upton","ARI","26","114","5","20","14","4","10.5%","21.1%",".242",".310",".273",".360",".515",".379","","136","1.0","5.8","0.1","1.0","5222"
"Curtis Granderson","NYY","24","94","7","15","15","2","7.4%","24.5%",".341",".286",".271",".323",".612",".394","","147","1.4","6.5","-0.4","1.0","4747"
"Matt Wieters","BAL","22","81","4","12","16","0","8.6%","21.0%",".233",".288",".260",".333",".493",".360","","124","-0.5","1.7","4.8","1.0","4298"
"Cameron Maybin","SDP","27","109","3","12","6","6","11.0%","22.9%",".186",".304",".247",".330",".433",".336","","119","1.4","3.7","2.0","1.0","5223"
"Jeff Francoeur","KCR","26","112","5","16","20","3","6.3%","16.1%",".255",".333",".314",".357",".569",".392","","146","0.1","6.2","-1.0","0.9","4792"
"Buster Posey","SFG","24","98","4","9","17","3","6.1%","19.4%",".159",".288",".261",".327",".420",".326","","110","0.3","1.5","4.4","0.9","9166"
"Adrian Beltre","TEX","27","111","7","18","22","0","3.6%","9.0%",".260",".239",".269",".306",".529",".359","","120","0.0","2.6","2.5","0.9","639"
"Denard Span","MIN","25","113","1","13","5","2","8.0%","10.6%",".087",".330",".298",".354",".385",".330","","105","0.9","1.6","3.3","0.9","8347"
"Peter Bourjos","LAA","27","102","2","11","9","2","4.9%","27.5%",".202",".415",".309",".340",".511",".365","","134","-0.5","3.4","1.7","0.9","2578"
"Jacoby Ellsbury","BOS","26","104","4","16","14","5","8.7%","23.1%",".202",".318",".266",".337",".468",".353","","117","0.3","2.4","2.6","0.9","4727"
"Jack Hannahan","CLE","22","86","4","14","14","1","10.5%","20.9%",".208",".309",".273",".349",".481",".363","","132","0.0","3.3","2.3","0.9","3692"
"Kevin Youkilis","BOS","25","102","5","15","15","0","20.6%","25.5%",".269",".250",".218",".392",".487",".386","","141","0.0","4.8","-0.1","0.9","1935"
