"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Trevor Plouffe","MIN","88","61","88.0","107.1","10.8","3","4.9%","19","31.1%",".241","",".392","",".314","","7462"
"Curtis Granderson","NYM","94","62","88.0","105.9","14.7","0","0.0%","26","41.9%",".231","",".321","",".314","","4747"
"Andrew McCutchen","PIT","86","59","87.9","108.1","14.0","6","10.2%","19","32.2%",".194","",".333","",".285","","9847"
"Adeiny Hechavarria","MIA","86","66","87.9","105.6","7.8","1","1.5%","19","28.8%",".321","",".481","",".352","","10459"
"Mike Moustakas","KCR","102","82","87.9","107.9","18.1","2","2.4%","27","32.9%",".356","",".522","",".410","","4892"
"Leonys Martin","TEX","95","76","87.9","109.6","10.1","0","0.0%","17","22.4%",".236","",".326","",".266","","11846"
"Brian McCann","NYY","72","52","87.8","112.6","14.0","0","0.0%","17","32.7%",".266","",".453","",".331","","4810"
"Torii Hunter","MIN","78","60","87.7","107.4","14.3","2","3.3%","17","28.3%",".205","",".315","",".244","","731"
"Jacoby Ellsbury","NYY","96","70","87.7","108.2","12.2","1","1.4%","20","28.6%",".321","",".381","",".354","","4727"
"Yonder Alonso","SDP","85","63","87.6","105.9","-3.0","1","1.6%","23","36.5%",".315","",".411","",".351","","2530"
"Alex Gordon","KCR","80","50","87.6","109.6","17.4","3","6.0%","15","30.0%",".303","",".500","",".402","","5209"
"Jose Altuve","HOU","106","92","87.6","104.2","12.3","2","2.2%","32","34.8%",".367","",".500","",".383","","5417"
"Adam Eaton","CHW","83","64","87.5","108.3","6.1","1","1.6%","17","26.6%",".192","",".256","",".223","","11205"
"Kolten Wong","STL","82","66","87.5","110.5","16.5","2","3.0%","24","36.4%",".297","",".419","",".319","","12532"
"Andrelton Simmons","ATL","91","80","87.5","108.9","7.4","2","2.5%","29","36.3%",".247","",".365","",".290","","10847"
"Wil Myers","SDP","101","78","87.4","112.5","11.0","5","6.4%","26","33.3%",".286","",".480","",".338","","10047"
"Will Middlebrooks","SDP","85","62","87.4","113.3","14.6","4","6.5%","19","30.6%",".222","",".395","",".282","","7002"
"Sam Fuld","OAK","88","68","87.3","104.0","4.7","0","0.0%","17","25.0%",".244","",".385","",".297","","8254"
"Logan Forsythe","TBR","81","60","87.3","105.0","14.0","2","3.3%","15","25.0%",".282","",".465","",".364","","7185"
"Mark Canha","OAK","73","51","87.2","109.6","12.5","3","5.9%","16","31.4%",".279","",".412","",".324","","11445"
"David Freese","LAA","91","65","87.2","110.7","10.1","3","4.6%","21","32.3%",".233","",".430","",".305","","9549"
"Ian Kinsler","DET","102","81","87.2","105.5","14.0","0","0.0%","25","30.9%",".283","",".359","",".311","","6195"
"Danny Santana","MIN","82","57","87.1","109.7","10.7","0","0.0%","12","21.1%",".256","",".295","",".246","","10322"
"Odubel Herrera","PHI","89","66","87.0","109.0","6.4","0","0.0%","18","27.3%",".301","",".422","",".331","","11476"
"Josh Harrison","PIT","84","64","87.0","104.7","12.9","2","3.1%","22","34.4%",".213","",".363","",".262","","8202"
"Angel Pagan","SFG","94","75","87.0","104.2","6.4","0","0.0%","16","21.3%",".341","",".432","",".349","","2918"
"Jordy Mercer","PIT","70","55","87.0","104.7","4.9","0","0.0%","14","25.5%",".197","",".197","",".203","","6547"
"Neil Walker","PIT","87","65","86.9","106.5","15.1","2","3.1%","20","30.8%",".288","",".425","",".329","","7539"
"Brandon Phillips","CIN","82","72","86.9","104.7","15.1","2","2.8%","22","30.6%",".275","",".325","",".272","","791"
"Stephen Vogt","OAK","77","57","86.9","109.2","16.1","4","7.0%","17","29.8%",".348","",".606","",".432","","5000"
"Edwin Encarnacion","TOR","97","70","86.9","114.0","10.8","3","4.3%","21","30.0%",".205","",".352","",".266","","2151"
"Nori Aoki","SFG","102","78","86.6","103.1","0.1","0","0.0%","17","21.8%",".303","",".371","",".343","","13075"
"Pablo Sandoval","BOS","88","63","86.4","114.0","6.5","2","3.2%","15","23.8%",".312","",".442","",".371","","5409"
"Chris Owings","ARI","79","54","86.4","104.0","11.6","1","1.9%","10","18.5%",".227","",".320","",".247","","10030"
"Asdrubal Cabrera","TBR","91","63","86.3","103.2","12.1","0","0.0%","15","23.8%",".212","",".294","",".248","","4962"
"Dalton Pompey","TOR","87","59","86.3","108.0","14.0","2","3.4%","16","27.1%",".203","",".354","",".279","","12797"
"Desmond Jennings","TBR","72","55","86.2","109.3","4.0","1","1.8%","15","27.3%",".222","",".238","",".253","","1965"
"Rene Rivera","TBR","70","48","86.2","109.4","16.2","2","4.2%","15","31.3%",".149","",".224","",".183","","3648"
"Carlos Santana","CLE","89","58","86.2","110.4","12.5","3","5.2%","16","27.6%",".239","",".394","",".356","","2396"
"Lonnie Chisenhall","CLE","74","59","86.2","105.0","11.8","0","0.0%","18","30.5%",".221","",".309","",".245","","7571"
"Kevin Pillar","TOR","91","74","86.2","110.0","12.1","2","2.7%","17","23.0%",".273","",".398","",".301","","12434"
"Joe Panik","SFG","84","67","86.1","106.6","10.4","1","1.5%","15","22.4%",".280","",".373","",".304","","11936"
"Ike Davis","OAK","79","61","86.0","110.4","3.2","3","4.9%","23","37.7%",".314","",".443","",".358","","8433"
"Jose Ramirez","CLE","70","54","86.0","105.3","7.7","0","0.0%","12","22.2%",".175","",".238","",".206","","13510"
"Starlin Castro","CHC","86","70","86.0","107.0","0.9","2","2.9%","18","25.7%",".325","",".410","",".328","","4579"
"Elvis Andrus","TEX","93","79","85.9","106.9","8.7","0","0.0%","14","17.7%",".230","",".299","",".237","","8709"
"Nick Markakis","ATL","92","67","85.8","105.0","9.1","0","0.0%","20","29.9%",".338","",".377","",".370","","5930"
"Wilmer Flores","NYM","76","60","85.7","104.5","12.5","1","1.7%","17","28.3%",".254","",".408","",".306","","5827"
"Ender Inciarte","ARI","84","75","85.7","103.6","1.7","0","0.0%","14","18.7%",".316","",".405","",".335","","4922"
"Erick Aybar","LAA","89","69","85.7","104.8","7.5","0","0.0%","15","21.7%",".222","",".247","",".244","","4082"
"Dexter Fowler","CHC","86","60","85.7","106.8","13.0","1","1.7%","16","26.7%",".299","",".442","",".356","","4062"
"Jimmy Rollins","LAD","93","65","85.6","101.6","10.2","2","3.1%","14","21.5%",".185","",".333","",".273","","971"
"Chase Headley","NYY","88","60","85.6","105.9","12.6","3","5.0%","20","33.3%",".232","",".390","",".294","","4720"
"Michael Bourn","CLE","88","61","85.5","104.0","5.1","0","0.0%","12","19.7%",".200","",".250","",".235","","6387"
"Yadier Molina","STL","73","55","85.3","100.4","12.9","0","0.0%","15","27.3%",".246","",".308","",".268","","7007"
"Michael Cuddyer","NYM","88","60","85.3","110.2","5.4","4","6.7%","16","26.7%",".247","",".395","",".307","","1534"
"Zack Cozart","CIN","89","68","85.2","102.8","12.6","2","2.9%","16","23.5%",".280","",".500","",".349","","2616"
"Victor Martinez","DET","79","59","85.2","107.0","10.0","0","0.0%","16","27.1%",".231","",".246","",".243","","393"
"Rougned Odor","TEX","81","52","85.1","106.9","11.8","1","1.9%","10","19.2%",".147","",".235","",".250","","12282"
"Freddy Galvis","PHI","82","72","85.1","102.8","12.1","1","1.4%","13","18.1%",".355","",".434","",".364","","6609"
"Alejandro De Aza","BAL","64","42","85.0","104.6","4.5","1","2.4%","8","19.0%",".233","",".400","",".296","","3371"
"Ben Revere","PHI","85","68","84.6","105.0","5.3","0","0.0%","12","17.6%",".215","",".316","",".259","","4712"
"Marcus Semien","OAK","95","71","84.6","106.9","11.7","1","1.4%","21","29.6%",".284","",".455","",".340","","12533"
"Aramis Ramirez","MIL","72","58","84.4","105.9","22.7","2","3.4%","12","20.7%",".214","",".357","",".257","","1002"
"Marlon Byrd","CIN","80","53","83.7","107.1","10.7","2","3.8%","15","28.3%",".169","",".273","",".200","","950"
"Jose Iglesias","DET","77","64","83.6","104.2","7.6","0","0.0%","15","23.4%",".377","",".536","",".415","","10231"
"Alcides Escobar","KCR","88","75","83.6","106.2","10.7","1","1.3%","10","13.3%",".291","",".367","",".306","","6310"
"Dee Gordon","MIA","99","83","83.5","103.3","1.6","1","1.2%","19","22.9%",".409","",".484","",".389","","8203"
"Johnny Giavotella","LAA","73","55","83.0","102.6","6.3","1","1.8%","12","21.8%",".317","",".413","",".349","","6740"
"Matt Joyce","LAA","72","51","82.9","104.1","19.8","0","0.0%","11","21.6%",".134","",".179","",".157","","3353"
"Xander Bogaerts","BOS","80","60","82.5","108.8","13.5","0","0.0%","11","18.3%",".274","",".356","",".309","","12161"
"Didi Gregorius","NYY","69","51","82.2","102.9","10.8","0","0.0%","8","15.7%",".206","",".238","",".227","","6012"
"Billy Hamilton","CIN","91","66","82.1","104.2","11.0","1","1.5%","8","12.1%",".217","",".349","",".276","","10199"
