"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Hanley Ramirez","BOS","91","70","95.2","116.5","4.3","9","12.9%","38","54.3%",".293","",".659","",".413","","8001"
"Joc Pederson","LAD","77","37","94.8","109.6","11.9","7","18.9%","22","59.5%",".298","",".596","",".437","","11899"
"Alex Rodriguez","NYY","84","46","94.5","112.0","15.1","6","13.0%","22","47.8%",".232","",".507","",".375","","1274"
"Giancarlo Stanton","MIA","93","53","93.9","118.5","18.1","10","18.9%","26","49.1%",".284","",".593","",".408","","4949"
"Brandon Crawford","SFG","80","51","93.8","109.0","10.1","3","5.9%","22","43.1%",".235","",".471","",".349","","5343"
"Nelson Cruz","SEA","94","69","93.5","119.0","19.4","10","14.5%","29","42.0%",".322","",".724","",".454","","2434"
"Josh Donaldson","TOR","100","74","93.5","112.5","8.8","6","8.1%","35","47.3%",".319","",".549","",".392","","5038"
"Troy Tulowitzki","COL","81","63","93.4","112.0","15.4","3","4.8%","31","49.2%",".308","",".526","",".358","","3531"
"Pedro Alvarez","PIT","72","50","93.2","109.9","5.6","4","8.0%","26","52.0%",".224","",".448","",".298","","2495"
"Ryan Braun","MIL","75","55","93.2","114.9","8.7","5","9.1%","29","52.7%",".254","",".423","",".312","","3410"
"Ryan Howard","PHI","78","53","92.9","110.7","13.4","5","9.4%","22","41.5%",".194","",".417","",".281","","2154"
"Freddie Freeman","ATL","92","63","92.7","108.3","17.5","7","11.1%","33","52.4%",".298","",".536","",".383","","5361"
"David Ortiz","BOS","86","57","92.7","112.1","14.9","5","8.8%","32","56.1%",".236","",".444","",".330","","745"
"Mike Trout","LAA","94","56","92.7","117.7","15.9","10","17.9%","23","41.1%",".329","",".592","",".434","","10155"
"DJ LeMahieu","COL","75","62","92.6","108.0","3.3","1","1.6%","27","43.5%",".406","",".522","",".417","","9874"
"Paul Goldschmidt","ARI","92","58","92.6","114.0","13.0","5","8.6%","27","46.6%",".338","",".584","",".439","","9218"
"Yoenis Cespedes","DET","92","67","92.6","112.9","12.6","7","10.4%","31","46.3%",".295","",".545","",".360","","13110"
"Adam Jones","BAL","84","67","92.4","111.2","14.0","7","10.4%","31","46.3%",".400","",".707","",".476","","6368"
"Miguel Cabrera","DET","99","68","92.4","109.6","19.2","7","10.3%","30","44.1%",".373","",".627","",".453","","1744"
"Chris Coghlan","CHC","63","45","92.3","107.0","16.2","2","4.4%","19","42.2%",".228","",".456","",".316","","6878"
"J.D. Martinez","DET","96","64","92.3","111.1","18.2","10","15.6%","32","50.0%",".261","",".522","",".346","","6184"
"Jorge Soler","CHC","91","49","92.3","113.2","11.8","4","8.2%","22","44.9%",".247","",".395","",".312","","14221"
"Mookie Betts","BOS","100","72","92.3","108.2","14.2","6","8.3%","25","34.7%",".230","",".345","",".294","","13611"
"Mark Trumbo","ARI","74","60","92.2","116.5","15.0","4","6.7%","23","38.3%",".319","",".542","",".374","","6876"
"Prince Fielder","TEX","91","73","91.9","110.4","10.7","1","1.4%","30","41.1%",".333","",".429","",".355","","4613"
"Jay Bruce","CIN","87","48","91.8","108.4","13.6","7","14.6%","20","41.7%",".181","",".403","",".306","","9892"
"Brandon Moss","CLE","71","42","91.8","112.1","18.6","8","19.0%","20","47.6%",".238","",".492","",".342","","4467"
"Logan Morrison","SEA","80","67","91.7","113.6","8.1","4","6.0%","26","38.8%",".197","",".250","",".219","","9205"
"Chris Davis","BAL","81","44","91.6","109.1","15.3","8","18.2%","19","43.2%",".268","",".549","",".372","","9272"
"Evan Gattis","HOU","76","49","91.6","112.3","7.8","3","6.1%","21","42.9%",".164","",".288","",".212","","11003"
"Corey Dickerson","COL","82","60","91.4","111.8","11.9","5","8.3%","24","40.0%",".329","",".605","",".418","","10762"
"Manny Machado","BAL","83","58","91.4","109.9","7.0","4","6.9%","22","37.9%",".254","",".479","",".341","","11493"
"Kendrys Morales","KCR","99","77","91.3","110.1","7.7","6","7.8%","23","29.9%",".315","",".489","",".363","","8610"
"Colby Rasmus","HOU","70","36","91.3","106.1","24.9","3","8.3%","15","41.7%",".254","",".524","",".364","","9893"
"Wilson Ramos","WSN","76","64","91.3","110.4","3.4","1","1.6%","31","48.4%",".274","",".342","",".275","","1433"
"Howie Kendrick","LAD","85","65","91.2","109.3","2.8","3","4.6%","30","46.2%",".295","",".526","",".372","","4229"
"Matt Holliday","STL","84","52","91.0","109.6","3.5","1","1.9%","23","44.2%",".379","",".485","",".424","","1873"
"Matt Carpenter","STL","96","75","90.8","108.5","13.7","7","9.3%","31","41.3%",".372","",".651","",".458","","8090"
"Joey Votto","CIN","97","63","90.7","108.7","13.4","8","12.7%","29","46.0%",".317","",".646","",".446","","4314"
"Avisail Garcia","CHW","72","49","90.6","112.9","0.6","3","6.1%","20","40.8%",".309","",".397","",".328","","5760"
"Jose Bautista","TOR","77","43","90.6","111.7","19.8","3","7.0%","15","34.9%",".164","",".443","",".335","","1887"
"Justin Morneau","COL","77","67","90.6","109.1","7.6","2","3.0%","30","44.8%",".301","",".438","",".333","","1737"
"Brad Miller","SEA","74","53","90.5","111.0","1.5","2","3.8%","24","45.3%",".277","",".400","",".319","","12775"
"Yunel Escobar","WSN","79","66","90.5","108.8","1.3","1","1.5%","22","33.3%",".306","",".431","",".350","","4191"
"Marcell Ozuna","MIA","81","48","90.5","114.0","7.8","1","2.1%","21","43.8%",".275","",".333","",".310","","10324"
"Devon Travis","TOR","89","65","90.4","107.4","6.5","7","10.8%","30","46.2%",".325","",".625","",".433","","13862"
"Mark Teixeira","NYY","90","63","90.4","109.4","17.2","4","6.3%","26","41.3%",".216","",".608","",".371","","1281"
"Chris Carter","HOU","86","44","90.3","108.3","18.0","4","9.1%","19","43.2%",".160","",".253","",".243","","9911"
"Juan Lagares","NYM","95","72","90.3","112.7","9.8","1","1.4%","24","33.3%",".297","",".352","",".287","","5384"
"Melky Cabrera","CHW","83","71","90.3","108.8","6.4","0","0.0%","22","31.0%",".276","",".303","",".277","","4022"
"Jason Heyward","STL","88","66","90.2","109.9","3.1","2","3.0%","25","37.9%",".217","",".349","",".267","","4940"
"Brett Gardner","NYY","73","56","90.2","109.7","2.3","0","0.0%","16","28.6%",".311","",".410","",".361","","9927"
"Justin Upton","SDP","87","59","90.2","113.1","20.1","8","13.6%","21","35.6%",".259","",".543","",".351","","5222"
"Daniel Murphy","NYM","89","76","90.2","111.7","9.7","3","3.9%","25","32.9%",".198","",".346","",".255","","4316"
"Eric Hosmer","KCR","100","69","90.2","111.5","7.4","6","8.7%","29","42.0%",".310","",".488","",".387","","3516"
"Joe Mauer","MIN","97","72","90.1","107.6","9.6","1","1.4%","29","40.3%",".318","",".412","",".343","","1857"
"Bryce Harper","WSN","100","48","90.1","110.2","13.4","7","14.6%","19","39.6%",".286","",".545","",".409","","11579"
"Adam Lind","MIL","88","63","90.1","109.8","6.7","5","7.9%","23","36.5%",".333","",".577","",".414","","8027"
"Everth Cabrera","BAL","73","57","90.1","104.1","-1.1","0","0.0%","15","26.3%",".250","",".279","",".237","","8155"
"Michael Morse","MIA","87","57","90.0","115.6","0.9","3","5.3%","20","35.1%",".213","",".313","",".264","","3035"
"Kennys Vargas","MIN","69","43","90.0","113.1","2.5","2","4.7%","21","48.8%",".172","",".234","",".213","","12101"
"Nick Castellanos","DET","85","54","90.0","108.0","14.2","4","7.4%","23","42.6%",".234","",".390","",".292","","11737"
"Jean Segura","MIL","90","79","90.0","109.6","4.4","1","1.3%","32","40.5%",".279","",".360","",".291","","5933"
"Carlos Beltran","NYY","74","48","90.0","109.6","18.1","2","4.2%","15","31.3%",".162","",".265","",".206","","589"
"Luis Valbuena","HOU","88","64","89.9","107.8","20.4","5","7.8%","25","39.1%",".218","",".462","",".325","","4969"
"Ian Desmond","WSN","101","69","89.9","109.1","2.9","1","1.4%","30","43.5%",".217","",".326","",".274","","6885"
"Jose Abreu","CHW","81","61","89.7","113.3","8.0","7","11.5%","22","36.1%",".293","",".587","",".389","","15676"
"Lorenzo Cain","KCR","94","66","89.6","109.6","10.6","3","4.5%","21","31.8%",".329","",".476","",".377","","9077"
"Billy Butler","OAK","96","73","89.5","107.8","8.3","6","8.2%","31","42.5%",".287","",".448","",".351","","7399"
"Jason Castro","HOU","69","48","89.5","104.6","13.5","0","0.0%","17","35.4%",".203","",".339","",".288","","8722"
"Dustin Pedroia","BOS","99","75","89.5","103.7","6.7","1","1.3%","21","28.0%",".291","",".477","",".366","","8370"
"Salvador Perez","KCR","89","76","89.5","107.3","11.7","4","5.3%","19","25.0%",".326","",".488","",".350","","7304"
"Nolan Arenado","COL","80","69","89.4","110.2","13.9","3","4.3%","24","34.8%",".297","",".527","",".359","","9777"
"Lucas Duda","NYM","96","64","89.4","109.1","16.3","4","6.3%","19","29.7%",".325","",".488","",".399","","2502"
"Mike Napoli","BOS","78","52","89.4","106.2","11.2","4","7.7%","20","38.5%",".162","",".250","",".241","","3057"
"Buster Posey","SFG","90","71","89.4","110.3","13.6","5","7.0%","25","35.2%",".263","",".388","",".314","","9166"
"Martin Prado","MIA","89","72","89.3","105.1","9.8","1","1.4%","25","34.7%",".277","",".361","",".292","","3312"
"Austin Jackson","SEA","93","71","89.3","107.2","9.6","1","1.4%","27","38.0%",".250","",".341","",".274","","9848"
"Jhonny Peralta","STL","87","64","89.3","103.1","12.4","1","1.6%","29","45.3%",".316","",".468","",".354","","1738"
"Jon Jay","STL","78","61","89.2","111.5","2.8","1","1.6%","22","36.1%",".261","",".290","",".283","","5227"
"Gregory Polanco","PIT","82","57","89.2","114.4","0.8","2","3.5%","23","40.4%",".278","",".405","",".303","","12907"
"Adrian Gonzalez","LAD","88","71","89.2","107.7","15.8","7","9.9%","27","38.0%",".383","",".790","",".507","","1908"
"Jason Kipnis","CLE","95","76","89.2","105.9","9.9","1","1.3%","25","32.9%",".218","",".287","",".244","","9776"
"Cody Asche","PHI","79","57","89.1","105.2","11.8","4","7.0%","19","33.3%",".301","",".411","",".328","","11997"
"George Springer","HOU","100","56","89.1","114.2","7.1","8","14.3%","23","41.1%",".200","",".365","",".293","","12856"
"Kyle Seager","SEA","87","71","89.1","106.8","14.1","3","4.2%","27","38.0%",".266","",".405","",".312","","9785"
"Stephen Drew","NYY","74","49","89.1","105.3","16.5","2","4.1%","15","30.6%",".177","",".419","",".298","","4251"
"Robinson Cano","SEA","96","77","88.9","111.2","3.2","3","3.9%","32","41.6%",".253","",".374","",".286","","3269"
"Steven Souza Jr.","TBR","87","46","88.9","113.0","10.9","5","10.9%","20","43.5%",".237","",".434","",".336","","5667"
"Chase Utley","PHI","81","61","88.9","103.8","11.6","2","3.3%","18","29.5%",".114","",".200","",".165","","1679"
"Mike Zunino","SEA","70","36","88.9","110.6","20.1","1","2.8%","12","33.3%",".129","",".242","",".209","","13265"
"Starling Marte","PIT","81","48","88.9","111.9","5.9","6","12.5%","18","37.5%",".247","",".521","",".344","","9241"
"Matt Adams","STL","74","55","88.9","109.4","13.3","4","7.3%","18","32.7%",".304","",".493","",".351","","9393"
"Kole Calhoun","LAA","80","57","88.8","108.2","13.5","2","3.5%","22","38.6%",".315","",".493","",".372","","11200"
"Carlos Gonzalez","COL","81","60","88.8","117.1","6.0","1","1.7%","20","33.3%",".200","",".347","",".258","","7287"
"Alexei Ramirez","CHW","73","56","88.8","105.3","9.2","0","0.0%","18","32.1%",".209","",".313","",".243","","5133"
"Evan Longoria","TBR","89","61","88.7","106.8","12.7","4","6.6%","26","42.6%",".293","",".427","",".354","","9368"
"Albert Pujols","LAA","86","66","88.7","113.1","12.4","3","4.5%","22","33.3%",".208","",".364","",".291","","1177"
"Brett Lawrie","OAK","91","59","88.7","107.2","15.6","3","5.1%","19","32.2%",".229","",".325","",".258","","5247"
"Khris Davis","MIL","82","52","88.6","108.1","9.9","4","7.7%","19","36.5%",".247","",".370","",".311","","9112"
"Derek Norris","SDP","82","67","88.6","111.9","12.8","0","0.0%","19","28.4%",".313","",".463","",".341","","6867"
"Ryan Zimmerman","WSN","101","75","88.6","108.7","10.3","4","5.3%","27","36.0%",".217","",".380","",".285","","4220"
"Todd Frazier","CIN","94","66","88.5","110.3","16.1","7","10.6%","25","37.9%",".238","",".550","",".378","","785"
"Russell Martin","TOR","79","44","88.4","109.1","9.3","4","9.1%","15","34.1%",".197","",".410","",".346","","4616"
"Matt Kemp","SDP","98","76","88.3","109.0","6.0","3","3.9%","25","32.9%",".326","",".478","",".358","","5631"
"A.J. Pollock","ARI","83","65","88.2","110.6","9.5","1","1.5%","19","29.2%",".320","",".400","",".341","","9256"
"Charlie Blackmon","COL","95","67","88.2","110.1","7.1","0","0.0%","23","34.3%",".291","",".465","",".350","","7859"
"Adam LaRoche","CHW","77","39","88.2","107.3","6.8","4","10.3%","12","30.8%",".191","",".353","",".285","","1904"
"Anthony Rizzo","CHC","90","58","88.2","110.0","12.1","2","3.4%","22","37.9%",".324","",".471","",".415","","3473"
"Jed Lowrie","HOU","74","45","88.2","103.5","15.9","3","6.7%","14","31.1%",".300","",".567","",".415","","4418"
"Tuffy Gosewisch","ARI","66","51","88.1","106.4","9.3","0","0.0%","12","23.5%",".177","",".177","",".189","","5277"
"Brian Dozier","MIN","95","64","88.0","106.9","17.7","3","4.7%","19","29.7%",".220","",".366","",".291","","9810"
"Adrian Beltre","TEX","90","76","88.0","108.5","11.6","2","2.6%","23","30.3%",".205","",".337","",".262","","639"
