"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Brian Roberts","BAL","23","110","8","21","26","10","12.7%","14.5%",".347",".394",".379",".459",".726",".496","","214","2.0","17.3","2.0","2.3","166"
"Derrek Lee","CHC","23","102","7","20","28","4","13.7%","12.7%",".349",".426",".419",".490",".767",".516","","218","0.1","15.3","-2.1","1.7","525"
"Chipper Jones","ATL","21","82","4","15","14","1","22.0%","9.8%",".313",".385",".375",".512",".688",".503","","213","0.1","11.7","1.0","1.5","97"
"Clint Barmes","COL","21","93","4","20","14","2","5.4%","8.6%",".229",".423",".410",".467",".639",".473","","183","0.5","10.1","1.5","1.5","1830"
"Miguel Tejada","BAL","23","104","8","18","31","0","5.8%","9.6%",".337",".321",".347",".394",".684",".451","","184","-0.8","9.8","0.4","1.4","941"
"Jeff Kent","LAD","23","105","6","23","18","2","16.2%","5.7%",".310",".301",".333",".457",".643",".464","","188","-1.0","10.7","-0.9","1.3","1119"
"Carlos Guillen","DET","21","90","1","16","8","1","12.2%","10.0%",".141",".426",".385",".467",".526",".429","","169","-0.4","7.2","1.0","1.1","1079"
"Vladimir Guerrero","LAA","24","100","5","17","19","3","5.0%","10.0%",".255",".354",".351",".390",".606",".422","","166","0.1","8.1","-0.3","1.1","778"
"Brandon Inge","DET","22","94","2","17","13","1","12.8%","22.3%",".185",".431",".333",".419",".519",".407","","155","0.4","6.7","1.1","1.1","470"
"Alex Rodriguez","NYY","24","109","9","20","27","3","6.4%","21.1%",".314",".314",".304",".349",".618",".408","","155","-0.2","7.2","0.0","1.1","1274"
"Brad Wilkerson","WSN","24","107","3","14","11","2","9.3%","25.2%",".229",".424",".323",".393",".552",".403","","150","0.2","6.9","0.3","1.1","804"
"Ichiro Suzuki","SEA","24","109","2","18","10","7","7.3%","7.3%",".149",".374",".356",".404",".505",".381","","139","1.7","6.9","-0.4","1.0","1101"
"Derek Jeter","NYY","24","114","2","19","11","3","16.7%","14.9%",".122",".397",".344",".465",".467",".414","","159","-0.8","7.5","-1.2","1.0","826"
"Omar Vizquel","SFG","23","101","0","15","8","7","11.9%","9.9%",".148",".346",".307",".390",".455",".371","","125","1.3","4.5","2.1","1.0","411"
"Vinny Castilla","WSN","22","81","3","10","16","2","6.2%","9.9%",".267",".359",".347",".395",".613",".429","","167","0.0","6.8","0.2","1.0","84"
"Lyle Overbay","MIL","22","90","4","10","13","0","20.0%","14.4%",".254",".333",".310",".456",".563",".441","","170","-0.1","7.8","-1.0","1.0","1617"
"Cliff Floyd","NYM","19","81","6","13","21","2","11.1%","14.8%",".268",".370",".366",".432",".634",".449","","179","-0.2","7.8","-0.8","1.0","518"
"Melvin Mora","BAL","23","108","4","18","10","2","5.6%","17.6%",".200",".356",".316",".371",".516",".382","","137","0.0","4.9","1.1","1.0","157"
"David Wright","NYM","23","91","4","13","11","0","15.4%","18.7%",".237",".345",".303",".418",".539",".415","","156","0.5","6.9","-0.4","1.0","3787"
"Albert Pujols","STL","22","101","6","13","19","1","8.9%","6.9%",".289",".299",".322",".396",".611",".414","","156","0.6","7.6","-1.4","1.0","1177"
"Shea Hillenbrand","TOR","25","107","2","19","9","0","0.9%","10.3%",".140",".420",".390",".421",".530",".413","","155","0.0","7.2","-1.4","0.9","196"
"Adam Dunn","CIN","22","89","6","12","15","1","16.9%","25.8%",".403",".349",".292",".427",".694",".460","","182","0.3","9.5","-3.2","0.9","319"
"Jose Vidro","WSN","24","99","4","16","15","0","11.1%","10.1%",".256",".311",".314",".384",".570",".399","","147","-1.2","4.7","1.0","0.9","802"
"Jacque Jones","MIN","21","87","3","11","14","1","16.1%","16.1%",".250",".396",".353",".471",".603",".444","","179","-0.5","7.9","-2.0","0.9","735"
"Trot Nixon","BOS","21","77","3","16","11","0","22.1%","13.0%",".193",".277",".281",".429",".474",".389","","138","0.0","3.6","2.5","0.9","204"
"Ivan Rodriguez","DET","20","88","2","13","12","1","2.3%","12.5%",".155",".361",".333",".345",".488",".354","","119","0.5","2.5","3.1","0.9","1275"
"Javy Lopez","BAL","21","89","4","15","12","0","6.7%","15.7%",".238",".359",".338",".382",".575",".401","","150","0.0","5.4","0.1","0.9","103"
"Jim Edmonds","STL","21","81","5","11","14","0","16.0%","22.2%",".273",".267",".258",".370",".530",".383","","135","0.7","4.3","1.6","0.8","1153"
"Jose Guillen","WSN","24","100","6","17","14","0","3.0%","14.0%",".270",".288",".303",".340",".573",".376","","132","0.1","4.2","1.0","0.8","57"
"Edgardo Alfonzo","SFG","22","95","2","14","15","0","14.7%","6.3%",".179",".366",".359",".457",".538",".429","","164","-0.8","6.8","-1.5","0.8","859"
"Gregg Zaun","TOR","22","87","3","10","16","0","17.2%","14.9%",".229",".304",".286",".402",".514",".394","","142","0.0","4.5","0.9","0.8","580"
"Jason Varitek","BOS","19","77","6","12","11","0","3.9%","16.9%",".301",".333",".329",".364",".630",".420","","159","-0.4","5.2","0.5","0.8","217"
"Neifi Perez","CHC","21","74","3","11","12","0","4.1%","9.5%",".191",".379",".368",".403",".559",".415","","151","-0.3","4.5","1.3","0.8","620"
"Orlando Cabrera","LAA","24","97","3","9","8","1","8.2%","10.3%",".191",".263",".258",".320",".449",".330","","103","0.3","0.6","4.3","0.8","766"
"David DeJesus","KCR","22","99","2","14","9","1","10.1%","15.2%",".151",".348",".302",".375",".453",".363","","121","0.5","3.0","1.8","0.8","1825"
"Ronnie Belliard","CLE","22","83","5","11","13","1","6.0%","12.0%",".240",".295",".307",".346",".547",".379","","136","0.5","4.2","1.1","0.8","677"
"Nick Johnson","WSN","23","96","2","10","9","1","15.6%","18.8%",".165",".356",".291",".417",".456",".385","","138","-0.3","4.3","0.5","0.8","828"
"Scott Rolen","STL","22","93","3","12","12","0","11.8%","11.8%",".195",".279",".268",".355",".463",".357","","118","-0.6","1.5","3.4","0.8","970"
"Mark Grudzielanek","STL","20","82","1","15","8","0","6.1%","13.4%",".145",".375",".329",".378",".474",".372","","128","0.4","3.3","1.6","0.8","653"
