"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alex Rodriguez","TEX","27","124","9","23","23","3","9.7%","25.8%",".318",".439",".355",".444",".673",".472","","188","0.5","14.3","3.2","2.1","1274"
"Alfonso Soriano","NYY","27","138","9","26","25","6","7.2%","15.2%",".282",".394",".371",".435",".653",".453","","183","1.3","15.7","-0.4","2.0","847"
"Raul Mondesi","NYY","27","116","8","20","18","5","10.3%","13.8%",".337",".346",".347",".422",".683",".459","","187","0.3","13.0","0.7","1.7","1314"
"Jim Edmonds","STL","24","87","5","14","17","0","16.1%","21.8%",".361",".479",".389",".494",".750",".511","","217","0.0","13.1","1.6","1.7","1153"
"Jose Cruz","SFG","26","119","7","23","17","3","20.2%","20.2%",".287",".359",".319",".454",".606",".448","","177","0.1","11.8","1.2","1.7","1296"
"Marcus Giles","ATL","25","106","4","22","15","2","10.4%","16.0%",".258",".406",".360",".431",".618",".440","","168","1.2","10.5","1.7","1.5","89"
"Carlos Delgado","TOR","27","118","8","22","28","0","17.8%","19.5%",".323",".415",".365",".483",".688",".485","","200","-0.4","14.4","-3.3","1.5","1297"
"Barry Bonds","SFG","22","95","8","21","16","3","23.2%","14.7%",".391",".255",".290",".484",".681",".458","","183","0.5","10.6","1.0","1.4","1109"
"Gary Sheffield","ATL","27","115","7","27","19","5","13.0%","5.2%",".289",".306",".340",".435",".629",".443","","170","1.1","11.5","-0.8","1.4","114"
"Alex Gonzalez","FLA","25","104","6","13","22","0","4.8%","12.5%",".305",".342",".337",".388",".642",".429","","166","-0.5","8.2","2.4","1.4","520"
"Bret Boone","SEA","27","124","7","19","21","2","11.3%","16.9%",".262",".304",".290",".382",".551",".395","","148","0.2","7.6","2.2","1.4","1067"
"Hank Blalock","TEX","23","93","5","18","13","0","8.6%","11.8%",".247",".406",".388",".441",".635",".460","","180","-1.2","8.1","2.5","1.4","1419"
"Edgar Renteria","STL","25","120","4","20","24","2","6.7%","7.5%",".222",".340",".343",".381",".565",".399","","144","0.8","7.5","2.2","1.3","1178"
"Albert Pujols","STL","24","83","5","21","17","0","14.5%","7.2%",".309",".356",".382",".470",".691",".480","","197","0.6","10.9","-0.7","1.3","1177"
"Jose Valentin","CHW","24","101","6","15","14","0","10.9%","16.8%",".322",".292",".287",".364",".609",".403","","146","0.0","5.8","3.2","1.2","256"
"Todd Helton","COL","27","125","6","28","27","0","19.2%","8.8%",".296",".325",".337",".464",".633",".455","","164","0.4","10.7","-2.3","1.2","432"
"Ivan Rodriguez","FLA","27","111","4","15","19","6","16.2%","13.5%",".172",".324",".301",".414",".473",".389","","139","1.2","6.8","2.0","1.2","1275"
"Scott Rolen","STL","25","119","5","19","20","1","21.8%","14.3%",".261",".257",".250",".420",".511",".401","","145","-0.3","6.6","1.8","1.2","970"
