"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Cody Bellinger","LAD","31","132","14","32","37","5","14.4%","11.4%",".459",".398",".431",".508",".890",".547","","247","-0.2","25.4","0.7","2.9","15998"
"Christian Yelich","MIL","29","124","14","26","34","6","16.1%","16.1%",".451",".319",".353",".460",".804",".492","","207","1.9","19.4","-0.8","2.2","11477"
"Paul DeJong","STL","29","129","5","26","13","2","7.8%","17.1%",".265",".389",".342",".403",".607",".419","","164","0.9","11.9","3.6","1.9","18015"
"Mike Trout","LAA","27","119","6","19","16","4","24.4%","11.8%",".271",".288",".294",".487",".565",".428","","171","1.5","12.3","-0.1","1.6","10155"
"Matt Chapman","OAK","32","131","8","15","20","0","12.2%","12.2%",".282",".261",".282",".382",".564",".390","","150","-0.2","8.1","3.3","1.6","16505"
"Elvis Andrus","TEX","27","120","5","19","20","6","8.3%","19.2%",".222",".425",".361",".425",".583",".422","","159","0.9","9.9","1.6","1.5","8709"
"Joey Gallo","TEX","25","109","10","20","25","0","19.3%","34.9%",".414",".325",".264",".404",".678",".431","","165","1.0","10.0","1.4","1.5","14128"
"George Springer","HOU","30","135","9","21","24","3","11.9%","25.9%",".291",".311",".274",".363",".564",".383","","143","0.3","7.7","1.5","1.4","12856"
"Javier Baez","CHC","27","123","9","23","22","2","5.7%","26.8%",".310",".351",".302",".341",".612",".385","","137","0.4","6.5","3.5","1.4","12979"
"Hunter Dozier","KCR","25","103","7","14","17","0","14.6%","17.5%",".337",".371",".349",".447",".686",".458","","189","-0.7","11.0","-1.0","1.3","15117"
"Marcus Semien","OAK","32","139","4","21","16","1","11.5%","12.9%",".164",".337",".311",".388",".475",".366","","133","-0.1","5.8","2.6","1.3","12533"
"Tim Anderson","CHW","23","99","6","21","18","10","2.0%","21.2%",".240",".435",".375",".394",".615",".420","","167","2.1","10.5","-0.7","1.3","15172"
"Mookie Betts","BOS","30","132","6","22","15","1","13.6%","14.4%",".232",".307",".295",".394",".527",".380","","134","0.9","6.6","1.2","1.2","13611"
"Yoan Moncada","CHW","26","115","6","22","20","2","7.8%","22.6%",".257",".370",".314",".374",".571",".392","","148","0.1","7.2","1.2","1.2","17232"
"Pete Alonso","NYM","29","123","9","20","26","0","11.4%","28.5%",".349",".349",".292",".382",".642",".416","","165","-0.4","10.0","-1.7","1.2","19251"
"Yandy Diaz","TBR","26","114","7","18","18","1","14.9%","17.5%",".298",".300",".298",".395",".596",".403","","160","0.3","9.0","-1.1","1.2","16578"
"Carlos Correa","HOU","27","116","6","12","18","1","8.6%","26.7%",".260",".368",".298",".362",".558",".380","","142","0.3","6.5","1.2","1.1","14162"
"Jorge Polanco","MIN","26","113","5","15","10","0","9.7%","15.9%",".280",".346",".320",".389",".600",".406","","156","0.1","8.3","-0.6","1.1","13152"
"Alex Bregman","HOU","28","122","5","14","14","2","18.0%","14.8%",".208",".280",".271",".410",".479",".380","","141","-0.1","6.3","0.8","1.1","17678"
"Trey Mancini","BAL","28","121","6","23","14","0","8.3%","20.7%",".264",".413",".355",".405",".618",".420","","164","-0.4","9.5","-2.4","1.1","15149"
"Rhys Hoskins","PHI","28","128","8","19","24","0","16.4%","25.8%",".308",".333",".279",".414",".587",".415","","157","-0.8","8.8","-1.8","1.1","16472"
"Kolten Wong","STL","29","113","4","14","15","5","14.2%","15.0%",".196",".292",".272",".398",".467",".363","","128","1.8","6.0","1.5","1.1","12532"
"Jeff McNeil","NYM","28","116","1","15","12","0","8.6%","9.5%",".130",".409",".370",".457",".500",".408","","160","-1.6","7.5","-0.2","1.1","15362"
"Willson Contreras","CHC","25","98","7","17","17","1","13.3%","28.6%",".338",".356",".288",".418",".625",".427","","165","-0.5","7.9","-0.1","1.1","11609"
"Michael Conforto","NYM","29","129","6","20","14","2","17.1%","22.5%",".250",".314",".269",".403",".519",".384","","144","0.6","8.0","-1.2","1.1","16376"
"Marcell Ozuna","STL","27","114","10","24","28","3","11.4%","21.9%",".350",".246",".260",".351",".610",".387","","144","0.6","7.2","0.0","1.1","10324"
"Ronald Acuna Jr.","ATL","29","128","6","17","19","2","14.1%","21.9%",".219",".324",".276",".392",".495",".375","","130","1.2","6.2","0.3","1.0","18401"
"Brandon Lowe","TBR","25","100","6","17","17","3","8.0%","33.0%",".278",".385",".289",".350",".567",".377","","142","1.9","7.2","-0.1","1.0","18882"
"Eduardo Escobar","ARI","29","124","5","17","17","0","8.9%","21.8%",".239",".359",".303",".379",".541",".384","","135","0.0","5.8","0.7","1.0","6153"
