"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mookie Betts","BOS","136","614","32","129","80","30","13.2%","14.8%",".294",".368",".346",".438",".640",".449",".428","185","6.9","69.3","11.6","10.4","13611"
"Mike Trout","LAA","140","608","39","101","79","24","20.1%","20.4%",".316",".346",".312",".460",".628",".447",".428","188","5.0","69.2","4.2","9.6","10155"
"Jose Ramirez","CLE","157","698","39","110","105","34","15.2%","11.5%",".282",".252",".270",".387",".552",".391",".357","147","12.0","51.5","4.6","8.1","13510"
"Francisco Lindor","CLE","158","745","38","129","92","25","9.4%","14.4%",".242",".279",".277",".352",".519",".368",".368","132","1.2","29.3","21.1","7.7","12916"
"Christian Yelich","MIL","147","651","36","118","110","22","10.4%","20.7%",".272",".373",".326",".402",".598",".422",".411","167","5.8","59.1","-5.1","7.7","11477"
"Alex Bregman","HOU","157","705","31","105","103","10","13.6%","12.1%",".246",".289",".286",".394",".532",".396",".370","157","3.4","51.3","-0.6","7.6","17678"
"Matt Chapman","OAK","145","616","24","100","68","1","9.4%","23.7%",".230",".338",".278",".356",".508",".369",".335","139","2.6","31.4","13.1","6.7","16505"
"Manny Machado","- - -","162","709","37","84","107","14","9.9%","14.7%",".241",".304",".297",".367",".538",".377",".369","141","1.2","35.9","2.0","6.3","11493"
"Anthony Rendon","WSN","136","597","24","88","92","2","9.2%","13.7%",".227",".323",".308",".374",".535",".383",".376","140","5.1","34.0","7.9","6.3","12861"
"J.D. Martinez","BOS","150","649","43","111","130","6","10.6%","22.5%",".299",".375",".330",".402",".629",".427",".412","170","-4.1","50.5","-14.7","5.9","6184"
"Nolan Arenado","COL","156","673","38","104","110","2","10.8%","18.1%",".264",".314",".297",".374",".561",".391",".348","133","0.0","26.9","7.9","5.8","9777"
"Lorenzo Cain","MIL","141","620","10","90","38","30","11.5%","15.2%",".109",".357",".308",".395",".417",".359",".340","125","6.4","25.3","10.7","5.7","9077"
"Javier Baez","CHC","160","645","34","101","111","21","4.5%","25.9%",".264",".347",".290",".326",".554",".366",".332","131","3.9","28.5","3.6","5.4","12979"
"Andrelton Simmons","LAA","146","600","11","68","75","10","5.8%","7.3%",".125",".300",".292",".337",".417",".326",".309","106","1.1","5.4","26.1","5.3","10847"
"Freddie Freeman","ATL","162","707","23","94","98","10","10.7%","18.7%",".196",".358",".309",".388",".505",".378",".385","136","1.3","32.3","-4.3","5.2","5361"
"Trevor Story","COL","157","656","37","88","108","27","7.2%","25.6%",".276",".345",".291",".348",".567",".384",".352","128","1.8","24.4","4.8","5.1","12564"
"Whit Merrifield","KCR","158","707","12","88","60","45","8.6%","16.1%",".134",".352",".304",".367",".438",".349",".339","119","7.4","23.7","2.9","5.1","11281"
"Paul Goldschmidt","ARI","158","690","33","95","83","7","13.0%","25.1%",".243",".359",".290",".389",".533",".390",".380","144","2.5","39.9","-12.0","5.1","9218"
"Jed Lowrie","OAK","157","680","23","78","99","0","11.5%","18.8%",".181",".304",".267",".353",".448",".347",".327","124","0.2","19.8","7.1","5.1","4418"
"Matt Carpenter","STL","156","677","36","111","81","4","15.1%","23.3%",".266",".291",".257",".374",".523",".375",".387","140","1.3","34.0","-6.4","5.0","8090"
"Aaron Hicks","NYY","137","581","27","90","79","11","15.5%","19.1%",".219",".264",".248",".366",".467",".360",".369","129","7.0","26.8","2.3","5.0","5297"
"J.T. Realmuto","MIA","125","531","21","74","74","3","7.2%","19.6%",".208",".312",".277",".340",".484",".353",".347","127","4.8","22.1","8.9","4.9","11739"
"Xander Bogaerts","BOS","136","580","23","72","103","8","9.5%","17.6%",".234",".317",".288",".360",".522",".373",".361","133","-1.7","21.2","7.2","4.9","12161"
"Jose Altuve","HOU","137","599","13","84","61","17","9.2%","13.2%",".135",".352",".316",".386",".451",".363",".346","135","4.7","29.7","-1.9","4.9","5417"
"Trea Turner","WSN","162","740","19","103","73","43","9.3%","17.8%",".145",".314",".271",".344",".416",".331",".330","105","8.4","13.0","10.4","4.8","16252"
