"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","LAA","21","88","6","18","14","0","15.9%","26.1%",".356",".568",".425",".523",".781",".532","","245","0.7","16.4","0.1","1.9","10155"
"Ronald Acuna Jr.","ATL","24","106","8","25","18","3","14.2%","13.2%",".364",".328",".341",".443",".705",".472","","196","1.4","14.4","0.1","1.8","18401"
"J.D. Martinez","BOS","25","107","9","21","25","0","11.2%","21.5%",".394",".387",".351",".430",".745",".484","","209","-0.5","13.7","-1.9","1.5","6184"
"Vladimir Guerrero Jr.","TOR","24","102","7","16","20","1","19.6%","15.7%",".313",".368",".350",".490",".663",".481","","207","-0.2","13.2","-1.6","1.5","19611"
"Kris Bryant","CHC","24","102","7","19","19","0","12.7%","22.5%",".345",".362",".322",".412",".667",".446","","180","0.5","10.8","-1.1","1.3","15429"
"Justin Turner","LAD","25","110","6","17","20","0","11.8%","21.8%",".266",".379",".330",".409",".596",".421","","167","-0.3","9.1","0.0","1.3","5235"
"J.T. Realmuto","PHI","25","87","2","9","11","2","11.5%","19.5%",".178",".400",".329",".425",".507",".398","","149","1.0","6.4","2.5","1.2","11739"
"Bryce Harper","PHI","23","96","6","17","10","2","16.7%","19.8%",".295",".358",".321",".448",".615",".443","","178","-0.2","9.3","-0.7","1.2","11579"
"Yuli Gurriel","HOU","25","106","4","11","16","0","15.1%","10.4%",".211",".360",".344",".443",".556",".428","","178","-0.3","9.8","-1.9","1.2","19198"
"Brandon Nimmo","NYM","20","81","2","8","10","2","14.8%","25.9%",".179",".500",".358",".463",".537",".432","","178","-0.1","8.0","0.9","1.2","12927"
"Yermin Mercedes","CHW","22","88","5","10","16","0","6.8%","13.6%",".244",".446",".415",".455",".659",".469","","204","-0.7","10.5","-2.5","1.1","17423"
"Nick Solak","TEX","27","112","7","18","14","2","5.4%","28.6%",".242",".367",".293",".375",".535",".390","","151","0.2","7.2","0.0","1.1","19294"
"Jazz Chisholm Jr.","MIA","22","85","4","12","8","9","10.6%","30.6%",".270",".422",".311",".388",".581",".406","","159","2.1","8.5","-0.5","1.1","20454"
"Xander Bogaerts","BOS","25","103","4","11","13","1","5.8%","18.4%",".216",".378",".330",".369",".546",".386","","142","0.3","5.7","1.3","1.1","12161"
"Trea Turner","WSN","22","92","6","11","10","5","3.3%","23.9%",".256",".345",".302",".348",".558",".384","","139","0.9","5.4","1.5","1.0","16252"
"Cedric Mullins II","BAL","26","111","4","13","9","2","8.1%","20.7%",".208",".400",".337",".387",".545",".393","","150","-0.1","6.7","-0.6","1.0","17929"
"Jesse Winker","CIN","20","87","6","16","16","0","6.9%","21.8%",".309",".429",".370",".414",".679",".457","","183","-1.2","8.0","-1.3","1.0","13590"
"Rafael Devers","BOS","25","105","7","15","21","1","10.5%","20.0%",".293",".308",".293",".371",".587",".398","","151","0.0","6.5","-0.6","1.0","17350"
"Carlos Correa","HOU","25","108","4","16","13","0","6.5%","14.8%",".192",".325",".303",".352",".495",".361","","133","-0.1","4.2","1.6","1.0","14162"
"Aaron Judge","NYY","23","96","7","10","15","0","15.6%","25.0%",".296",".300",".272",".385",".568",".403","","159","-0.1","6.8","-0.6","0.9","15640"
"Jose Ramirez","CLE","24","100","7","14","14","4","10.0%","10.0%",".284",".219",".261",".330",".545",".361","","130","1.2","4.9","0.9","0.9","13510"
"Shohei Ohtani","LAA","24","97","8","18","19","3","3.1%","27.8%",".370",".316",".283",".320",".652",".402","","157","0.4","7.2","-2.1","0.8","19755"
"Eduardo Escobar","ARI","25","109","7","19","16","1","8.3%","18.3%",".283",".247",".253",".312",".535",".354","","119","0.5","3.2","1.4","0.8","6153"
"Nick Castellanos","CIN","23","101","7","17","16","1","5.0%","19.8%",".305",".324",".305",".347",".611",".400","","146","0.1","6.0","-1.3","0.8","11737"
"Chris Taylor","LAD","23","96","4","19","13","2","13.5%","24.0%",".250",".302",".250",".375",".500",".372","","136","1.1","5.5","-0.8","0.8","13757"
"Max Muncy","LAD","26","111","3","15","11","0","24.3%","20.7%",".160",".273",".222",".432",".383",".365","","131","0.4","4.7","-0.6","0.8","13301"
"Joey Wendle","TBR","24","88","3","17","16","0","2.3%","20.5%",".205",".365",".313",".341",".518",".363","","137","-0.3","3.7","1.0","0.8","13853"
"Yoan Moncada","CHW","23","100","3","11","15","0","12.0%","26.0%",".143",".357",".274",".380",".417",".352","","125","0.1","3.1","1.2","0.8","17232"
"Ty France","SEA","27","114","3","18","13","0","9.6%","21.1%",".175",".352",".289",".386",".464",".369","","140","-0.5","5.2","-1.4","0.8","17982"
"Nelson Cruz","MIN","23","87","7","17","19","0","6.9%","17.2%",".329",".316",".329",".379",".658",".424","","173","-0.9","6.8","-2.2","0.8","2434"
"Matt Olson","OAK","22","91","6","12","17","0","7.7%","17.6%",".284",".300",".296",".363",".580",".395","","157","-0.5","5.9","-1.4","0.8","14344"
"Jared Walsh","LAA","23","93","4","12","18","0","7.5%","20.4%",".220",".383",".329",".398",".549",".399","","155","-0.2","6.1","-1.7","0.8","18607"
"Luis Robert","CHW","23","98","1","11","8","4","7.1%","26.5%",".156",".422",".311",".357",".467",".352","","125","1.0","4.0","0.0","0.7","20043"
"Michael Brantley","HOU","22","91","2","17","5","0","3.3%","14.3%",".207",".389",".345",".374",".552",".393","","154","-0.2","5.8","-1.6","0.7","4106"
"Bo Bichette","TOR","24","104","7","19","15","3","4.8%","27.9%",".271",".295",".260",".308",".531",".352","","120","1.0","3.5","0.0","0.7","19612"
"Ryan McMahon","COL","26","104","8","18","16","1","4.8%","24.0%",".283",".288",".273",".308",".556",".362","","113","-0.1","1.6","1.9","0.7","15112"
"Dylan Carlson","STL","26","102","3","17","13","0","9.8%","25.5%",".213",".361",".281",".363",".494",".362","","130","0.0","4.0","-0.6","0.7","20126"
"Jake Cronenworth","SDP","27","115","2","15","5","3","10.4%","15.7%",".141",".300",".263",".351",".404",".324","","106","0.6","1.4","1.3","0.7","18036"
"Kyle Seager","SEA","27","114","4","8","20","1","6.1%","21.9%",".221",".289",".250",".307",".471",".330","","114","-0.2","1.7","0.8","0.6","9785"
"Jesus Aguilar","MIA","25","104","5","12","24","0","14.4%","13.5%",".233",".286",".291",".385",".523",".377","","140","-0.7","4.6","-1.8","0.6","11342"
"Mitch Haniger","SEA","25","110","6","18","18","0","6.4%","22.7%",".267",".306",".277",".318",".545",".359","","133","-0.2","4.2","-1.8","0.6","14274"
"Alex Verdugo","BOS","25","102","3","19","13","2","7.8%","14.7%",".200",".324",".300",".363",".500",".363","","127","0.7","4.0","-1.4","0.6","17027"
"Corey Seager","LAD","25","116","4","14","17","1","11.2%","16.4%",".196",".278",".255",".345",".451",".341","","116","-0.3","2.0","0.2","0.6","13624"
"Mark Canha","OAK","26","116","3","24","7","4","12.9%","24.1%",".147",".313",".242",".379",".389",".346","","124","0.5","3.8","-1.7","0.6","11445"
"Freddie Freeman","ATL","26","113","7","15","18","1","16.8%","13.3%",".258",".211",".237",".372",".495",".365","","126","0.7","4.4","-2.1","0.6","5361"
"Adam Frazier","PIT","24","110","0","13","10","2","9.1%","10.9%",".113",".337",".299",".373",".412",".343","","115","0.0","2.1","0.3","0.6","15223"
"Corey Dickerson","MIA","25","86","1","11","7","1","9.3%","18.6%",".132",".407",".329",".407",".461",".379","","141","-0.9","3.6","-0.6","0.6","10762"
"Carlos Santana","KCR","24","102","6","14","20","1","15.7%","14.7%",".259",".231",".247",".363",".506",".367","","132","0.0","4.0","-1.6","0.6","2396"
"Joey Gallo","TEX","26","110","2","13","9","2","21.8%","36.4%",".084",".390",".217",".409",".301",".335","","114","0.8","2.6","-0.5","0.6","14128"
"Ozzie Albies","ATL","24","100","5","15","14","1","8.0%","16.0%",".273",".217",".227",".300",".500",".335","","106","1.1","1.9","0.6","0.6","16556"
"Nick Madrigal","CHW","22","84","0","16","9","1","6.0%","3.6%",".105",".324",".316",".369",".421",".343","","119","0.5","2.4","0.5","0.6","20521"
"Willson Contreras","CHC","25","99","7","16","16","2","8.1%","28.3%",".274",".255",".238",".333",".512",".354","","120","-0.6","1.9","0.7","0.6","11609"
"Alex Bregman","HOU","20","84","4","13","14","0","7.1%","16.7%",".182",".322",".299",".357",".481",".357","","130","-0.5","2.6","0.2","0.6","17678"
"Javier Baez","- - -","23","94","6","14","21","5","1.1%","38.3%",".256",".326",".244",".280",".500",".325","","101","1.4","1.5","1.0","0.6","12979"
"David Peralta","ARI","25","104","3","14","22","1","8.7%","12.5%",".211",".304",".284",".346",".495",".351","","117","0.6","2.9","-0.8","0.5","2136"
"Nolan Arenado","STL","26","110","4","10","15","0","6.4%","17.3%",".196",".278",".255",".309",".451",".322","","105","-0.1","0.5","1.3","0.5","9777"
"Bryan Reynolds","PIT","25","105","2","18","11","0","13.3%","21.0%",".133",".348",".278",".381",".411",".351","","120","0.0","2.7","-0.7","0.5","19326"
"Nathaniel Lowe","TEX","27","114","6","11","22","2","10.5%","27.2%",".208",".344",".277",".360",".485",".364","","133","-0.3","4.3","-2.8","0.5","19566"
"Austin Riley","ATL","26","93","3","14","7","0","11.8%","23.7%",".143",".377",".299",".409",".442",".371","","130","-0.5","3.0","-0.8","0.5","18360"
"Matt Chapman","OAK","27","108","4","9","13","0","13.9%","34.3%",".200",".255",".189",".306",".389",".302","","94","0.4","-0.3","1.9","0.5","16505"
"Whit Merrifield","KCR","24","107","3","16","15","8","6.5%","9.3%",".137",".267",".274",".318",".411",".307","","92","1.3","0.3","1.2","0.5","11281"
"Mookie Betts","LAD","20","99","2","14","5","3","12.1%","17.2%",".155",".292",".250",".364",".405",".341","","115","0.0","1.9","0.0","0.5","13611"
"Miguel Rojas","MIA","25","102","0","14","8","4","10.8%","12.7%",".090",".289",".247",".343",".337",".306","","94","0.4","-0.3","1.9","0.5","7802"
"Wil Myers","SDP","26","90","4","12","13","4","12.2%","24.4%",".203",".321",".266",".356",".468",".356","","126","0.6","3.5","-1.6","0.5","10047"
"Randal Grichuk","TOR","24","93","5","11","17","0","7.5%","19.4%",".224",".302",".282",".333",".506",".355","","122","-1.1","1.5","0.1","0.5","10243"
"Randy Arozarena","TBR","24","102","3","13","11","2","5.9%","34.3%",".138",".429",".287",".343",".426",".335","","118","0.7","2.9","-1.6","0.5","19290"
"Franmil Reyes","CLE","23","91","7","13","18","1","3.3%","33.0%",".337",".340",".279",".308",".616",".380","","143","-1.0","3.8","-2.2","0.5","14566"
"Yordan Alvarez","HOU","19","81","2","11","14","0","3.7%","24.7%",".205",".396",".315",".358",".521",".366","","136","0.0","3.6","-1.7","0.5","19556"
"Tommy Edman","STL","26","115","2","13","6","4","6.1%","10.4%",".104",".293",".274",".330",".377",".311","","97","1.0","0.7","0.1","0.5","19470"
"Michael A. Taylor","KCR","24","84","2","10","7","3","8.3%","23.8%",".091",".327",".260",".321",".351",".298","","86","0.7","-0.8","2.4","0.4","11489"
"Manny Machado","SDP","26","116","3","13","14","5","12.9%","18.1%",".130",".273",".240",".336",".370",".309","","96","0.0","-0.6","1.3","0.4","11493"
