"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Yoan Moncada","CHW","120","59","97.3","112.8","13.4","12","20.3%","36","61.0%",".267","",".524","",".374","","17232"
"Aaron Judge","NYY","128","63","96.3","118.1","18.0","12","19.0%","36","57.1%",".317","",".584","",".436","","15640"
"J.D. Martinez","BOS","112","70","95.7","112.6","9.7","16","22.9%","43","61.4%",".337","",".574","",".403","","6184"
"Miguel Cabrera","DET","104","74","95.7","114.4","6.4","5","6.8%","44","59.5%",".326","",".528","",".395","","1744"
"Ryan Zimmerman","WSN","106","76","95.3","110.1","10.3","7","9.2%","42","55.3%",".184","",".378","",".269","","4220"
"Giancarlo Stanton","NYY","128","71","95.2","117.9","8.5","11","15.5%","37","52.1%",".230","",".425","",".319","","4949"
"Jose Abreu","CHW","111","81","95.1","115.5","11.7","10","12.3%","47","58.0%",".263","",".485","",".358","","15676"
"Joey Gallo","TEX","125","75","94.4","116.5","23.0","16","21.3%","34","45.3%",".216","",".468","",".329","","14128"
"Matt Olson","OAK","114","62","93.7","112.6","15.8","9","14.5%","38","61.3%",".257","",".376","",".317","","14344"
"Robinson Cano","SEA","116","79","93.7","112.9","9.3","7","8.9%","45","57.0%",".313","",".479","",".390","","3269"
"Marcell Ozuna","STL","112","82","93.3","117.2","9.7","8","9.8%","40","48.8%",".250","",".333","",".261","","10324"
"Mookie Betts","BOS","107","79","93.3","110.6","22.2","16","20.3%","41","51.9%",".344","",".733","",".481","","13611"
"Francisco Lindor","CLE","126","86","93.0","113.5","14.0","10","11.6%","33","38.4%",".245","",".409","",".322","","12916"
"Mike Moustakas","KCR","122","101","93.0","112.2","18.7","15","14.9%","48","47.5%",".302","",".578","",".381","","4892"
"Mitch Haniger","SEA","112","73","92.9","112.8","18.9","12","16.4%","38","52.1%",".309","",".701","",".440","","14274"
