"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Hanley Ramirez","BOS","110","77","92.6","117.5","13.9","6","7.8%","40","51.9%",".330","",".474","",".380","","8001"
"Andrew McCutchen","SFG","118","72","92.6","108.6","13.2","6","8.3%","32","44.4%",".212","",".364","",".315","","9847"
"Matt Chapman","OAK","119","76","92.6","114.0","16.0","7","9.2%","34","44.7%",".269","",".529","",".379","","16505"
"Khris Davis","OAK","126","80","92.6","111.1","18.4","10","12.5%","36","45.0%",".234","",".486","",".343","","9112"
"Maikel Franco","PHI","88","67","92.5","114.5","11.0","6","9.0%","27","40.3%",".266","",".468","",".326","","12179"
"Rafael Devers","BOS","116","75","92.3","113.1","13.5","6","8.0%","31","41.3%",".257","",".429","",".307","","17350"
"Kyle Schwarber","CHC","91","55","92.3","117.1","9.0","8","14.5%","27","49.1%",".273","",".584","",".403","","16478"
"DJ LeMahieu","COL","120","92","92.3","109.3","3.1","8","8.7%","46","50.0%",".290","",".505","",".374","","9874"
"Gary Sanchez","NYY","108","74","92.2","115.3","17.7","15","20.3%","33","44.6%",".202","",".495","",".322","","11442"
"Ryan Braun","MIL","102","75","92.1","114.9","10.5","8","10.7%","37","49.3%",".258","",".473","",".329","","3410"
"Yasiel Puig","LAD","96","70","92.1","113.4","8.8","3","4.3%","27","38.6%",".193","",".250","",".225","","14225"
"Manny Machado","BAL","125","92","92.1","111.8","16.2","14","15.2%","44","47.8%",".361","",".676","",".464","","11493"
"Tommy Pham","STL","106","68","92.1","111.2","7.0","6","8.8%","33","48.5%",".341","",".511","",".417","","2967"
"Jesse Winker","CIN","99","65","92.0","114.1","16.9","4","6.2%","26","40.0%",".305","",".390","",".356","","13590"
"Mike Trout","LAA","125","79","91.9","111.8","20.6","11","13.9%","35","44.3%",".291","",".631","",".432","","10155"
"Matt Davidson","CHW","104","54","91.6","115.1","5.5","12","22.2%","29","53.7%",".253","",".609","",".413","","7226"
"Bryce Harper","WSN","131","72","91.5","113.4","9.2","7","9.7%","35","48.6%",".247","",".528","",".403","","11579"
"Max Kepler","MIN","95","78","91.5","112.7","13.1","8","10.3%","33","42.3%",".299","",".563","",".389","","12144"
"Evan Longoria","SFG","102","71","91.5","110.4","15.3","8","11.3%","31","43.7%",".255","",".520","",".339","","9368"
"Corey Seager","LAD","115","85","91.4","112.0","9.9","7","8.2%","34","40.0%",".267","",".396","",".324","","13624"
"George Springer","HOU","137","97","91.3","114.7","9.5","15","15.5%","42","43.3%",".267","",".483","",".353","","12856"
"Carlos Santana","PHI","122","80","91.3","113.5","20.4","9","11.3%","37","46.3%",".153","",".276","",".264","","2396"
"Jed Lowrie","OAK","126","91","91.3","108.0","13.3","11","12.1%","45","49.5%",".339","",".583","",".416","","4418"
"Javier Baez","CHC","108","76","91.2","113.0","8.8","10","13.2%","35","46.1%",".280","",".630","",".390","","12979"
"A.J. Pollock","ARI","114","78","91.2","108.6","16.4","11","14.1%","36","46.2%",".291","",".670","",".421","","9256"
"Andrelton Simmons","LAA","105","86","91.2","109.5","9.4","3","3.5%","38","44.2%",".312","",".473","",".373","","10847"
"Asdrubal Cabrera","NYM","112","86","91.1","106.2","16.2","7","8.1%","36","41.9%",".340","",".580","",".410","","4962"
"Yonder Alonso","CLE","102","77","91.1","112.3","15.2","13","16.9%","31","40.3%",".234","",".511","",".335","","2530"
"Yoenis Cespedes","NYM","113","61","91.1","115.1","22.1","7","11.5%","28","45.9%",".233","",".437","",".306","","13110"
"Justin Smoak","TOR","121","76","91.0","110.7","16.2","9","11.8%","36","47.4%",".255","",".441","",".343","","9054"
"Todd Frazier","NYM","114","65","91.0","113.5","14.6","6","9.2%","24","36.9%",".256","",".444","",".368","","785"
"Willson Contreras","CHC","103","72","91.0","114.1","10.5","7","9.7%","27","37.5%",".264","",".418","",".333","","11609"
"Francisco Cervelli","PIT","92","66","90.9","110.2","19.4","6","9.1%","31","47.0%",".308","",".564","",".402","","5275"
"Eric Hosmer","SDP","118","71","90.8","111.8","0.0","5","7.0%","28","39.4%",".290","",".450","",".369","","3516"
"Trea Turner","WSN","134","92","90.8","112.3","8.4","5","5.4%","41","44.6%",".284","",".379","",".337","","16252"
"Paul Goldschmidt","ARI","119","63","90.8","112.9","13.4","11","17.5%","26","41.3%",".273","",".505","",".385","","9218"
"Scott Kingery","PHI","97","62","90.7","109.1","20.8","6","9.7%","25","40.3%",".225","",".382","",".285","","17975"
"Jose Martinez","STL","112","86","90.7","113.7","6.2","9","10.5%","38","44.2%",".306","",".490","",".376","","7996"
"Nicky Delmonico","CHW","82","56","90.6","109.3","16.4","2","3.6%","24","42.9%",".254","",".338","",".313","","13157"
"Nomar Mazara","TEX","117","83","90.5","114.4","6.8","4","4.8%","35","42.2%",".284","",".404","",".319","","14553"
"Jorge Soler","KCR","99","56","90.5","113.1","14.0","3","5.4%","23","41.1%",".304","",".456","",".391","","14221"
"Trey Mancini","BAL","115","79","90.5","115.0","7.1","10","12.7%","34","43.0%",".272","",".427","",".333","","15149"
"Trevor Story","COL","122","69","90.5","111.7","18.6","8","11.6%","28","40.6%",".226","",".453","",".333","","12564"
"Logan Morrison","MIN","87","56","90.4","112.6","20.6","4","7.1%","19","33.9%",".145","",".250","",".234","","9205"
"Anthony Rizzo","CHC","85","59","90.4","108.7","17.2","3","5.1%","25","42.4%",".149","",".189","",".219","","3473"
"Gregory Polanco","PIT","120","75","90.3","112.9","18.1","8","10.7%","32","42.7%",".198","",".436","",".314","","12907"
"Freddie Freeman","ATL","126","83","90.3","109.2","18.6","13","15.7%","41","49.4%",".314","",".559","",".413","","5361"
"Jackie Bradley Jr.","BOS","100","69","90.3","112.4","8.4","7","10.1%","26","37.7%",".195","",".310","",".271","","12984"
"Justin Bour","MIA","99","66","90.1","115.5","5.7","4","6.1%","24","36.4%",".247","",".412","",".338","","9744"
"David Peralta","ARI","112","70","90.1","114.8","6.3","8","11.4%","33","47.1%",".302","",".521","",".389","","2136"
"Rhys Hoskins","PHI","116","61","90.1","111.6","21.5","9","14.8%","27","44.3%",".303","",".528","",".423","","16472"
"Nick Markakis","ATL","126","96","90.0","107.2","14.1","4","4.2%","38","39.6%",".302","",".472","",".379","","5930"
"Jose Ramirez","CLE","119","94","90.0","108.9","18.5","5","5.3%","36","38.3%",".267","",".514","",".369","","13510"
"Brian Anderson","MIA","120","78","90.0","110.8","8.9","3","3.8%","31","39.7%",".265","",".382","",".340","","18289"
"Cheslor Cuthbert","KCR","90","64","89.9","113.4","10.9","2","3.1%","22","34.4%",".213","",".313","",".270","","10473"
"Howie Kendrick","WSN","107","81","89.9","109.6","4.6","5","6.2%","39","48.1%",".287","",".505","",".345","","4229"
"Yadier Molina","STL","105","88","89.9","107.2","14.2","8","9.1%","33","37.5%",".260","",".470","",".314","","7007"
"Cesar Hernandez","PHI","123","72","89.9","109.4","10.4","4","5.6%","28","38.9%",".283","",".394","",".360","","10556"
"Adam Jones","BAL","121","93","89.9","108.1","17.6","10","10.8%","32","34.4%",".239","",".410","",".277","","6368"
"Dansby Swanson","ATL","115","80","89.9","108.0","8.9","4","5.0%","30","37.5%",".287","",".435","",".328","","18314"
"Joe Mauer","MIN","103","69","89.8","107.6","3.9","4","5.8%","26","37.7%",".291","",".367","",".375","","1857"
"Jason Heyward","CHC","92","69","89.8","110.7","17.3","4","5.8%","32","46.4%",".247","",".390","",".324","","4940"
"Adrian Beltre","TEX","101","77","89.7","107.6","11.3","2","2.6%","33","42.9%",".310","",".437","",".341","","639"
"Shin-Soo Choo","TEX","131","89","89.7","109.3","5.7","11","12.4%","38","42.7%",".233","",".414","",".313","","3174"
"Leonys Martin","DET","105","76","89.7","111.6","22.5","11","14.5%","29","38.2%",".271","",".479","",".348","","11846"
"Justin Upton","LAA","123","81","89.6","112.6","12.2","10","12.3%","38","46.9%",".229","",".376","",".290","","5222"
"Jose Pirela","SDP","134","95","89.6","110.7","0.1","1","1.1%","40","42.1%",".260","",".350","",".297","","5485"
"Domingo Santana","MIL","106","64","89.6","109.3","11.2","5","7.8%","26","40.6%",".237","",".269","",".271","","10348"
"Amed Rosario","NYM","87","60","89.6","106.7","12.1","2","3.3%","22","36.7%",".238","",".325","",".267","","15518"
"Carlos Correa","HOU","123","78","89.6","111.7","9.1","7","9.0%","32","41.0%",".330","",".534","",".392","","14162"
"Adam Duvall","CIN","109","72","89.6","109.4","20.1","11","15.3%","32","44.4%",".175","",".381","",".268","","10950"
"Chris Taylor","LAD","133","93","89.5","111.5","14.0","6","6.5%","37","39.8%",".232","",".424","",".295","","13757"
"Kyle Seager","SEA","115","87","89.5","110.5","17.3","5","5.7%","31","35.6%",".236","",".415","",".298","","9785"
"Travis Shaw","MIL","123","85","89.5","113.6","13.1","8","9.4%","34","40.0%",".243","",".458","",".338","","11982"
"Cameron Maybin","MIA","89","54","89.5","111.0","13.1","2","3.7%","20","37.0%",".213","",".293","",".279","","5223"
"Cody Bellinger","LAD","118","83","89.5","112.5","15.5","7","8.4%","28","33.7%",".280","",".458","",".339","","15998"
"Nolan Arenado","COL","104","69","89.5","107.1","21.0","3","4.3%","26","37.7%",".310","",".529","",".395","","9777"
"James McCann","DET","86","68","89.5","111.4","12.5","4","5.9%","31","45.6%",".244","",".372","",".287","","12859"
"Lorenzo Cain","MIL","121","82","89.3","111.6","7.6","6","7.3%","34","41.5%",".290","",".480","",".384","","9077"
"Colin Moran","PIT","94","65","89.3","107.8","15.0","4","6.2%","26","40.0%",".280","",".415","",".333","","16909"
"Albert Pujols","LAA","116","96","89.3","111.1","16.4","5","5.2%","36","37.5%",".248","",".425","",".292","","1177"
"C.J. Cron","TBR","112","77","89.2","111.9","15.5","7","9.1%","32","41.6%",".269","",".519","",".352","","12546"
"Brandon Belt","SFG","104","63","89.2","107.4","23.8","13","20.6%","25","39.7%",".302","",".581","",".415","","10264"
"Eddie Rosario","MIN","96","70","89.2","105.6","22.5","5","7.1%","20","28.6%",".231","",".396","",".283","","12155"
"Matt Joyce","OAK","88","55","89.1","106.6","15.6","4","7.3%","19","34.5%",".206","",".368","",".328","","3353"
"Yasmani Grandal","LAD","102","70","89.1","107.6","9.6","5","7.1%","33","47.1%",".315","",".551","",".408","","11368"
"Buster Posey","SFG","100","77","89.1","108.0","9.4","5","6.5%","29","37.7%",".273","",".409","",".332","","9166"
"Nick Castellanos","DET","119","86","89.0","110.2","14.7","8","9.3%","30","34.9%",".309","",".455","",".350","","11737"
"Jordy Mercer","PIT","104","77","89.0","110.1","17.9","4","5.2%","25","32.5%",".247","",".344","",".267","","6547"
"Jeimer Candelario","DET","120","79","89.0","111.4","9.6","7","8.9%","33","41.8%",".283","",".519","",".378","","13621"
"Starlin Castro","MIA","123","89","89.0","109.3","2.8","4","4.5%","35","39.3%",".312","",".367","",".323","","4579"
"Marcus Semien","OAK","134","90","88.9","106.8","14.3","6","6.7%","38","42.2%",".275","",".417","",".321","","12533"
"Kevin Pillar","TOR","114","85","88.9","109.7","12.6","6","7.1%","42","49.4%",".305","",".552","",".381","","12434"
"Ketel Marte","ARI","112","93","88.8","113.3","-0.4","1","1.1%","32","34.4%",".224","",".327","",".255","","13613"
"Jay Bruce","NYM","98","70","88.8","108.7","18.3","5","7.1%","26","37.1%",".250","",".409","",".313","","9892"
"Joey Votto","CIN","125","85","88.8","107.5","13.6","6","7.1%","30","35.3%",".270","",".410","",".363","","4314"
"Paul DeJong","STL","110","65","88.8","110.0","19.8","8","12.3%","31","47.7%",".275","",".539","",".365","","18015"
"Derek Dietrich","MIA","123","85","88.7","111.0","11.9","4","4.7%","34","40.0%",".241","",".362","",".280","","10542"
"Matt Carpenter","STL","105","60","88.7","108.6","18.7","9","15.0%","25","41.7%",".155","",".274","",".266","","8090"
"Carlos Gomez","TBR","112","64","88.6","110.2","22.0","6","9.4%","25","39.1%",".173","",".327","",".246","","4881"
"Aledmys Diaz","TOR","87","69","88.6","112.9","14.3","4","5.8%","28","40.6%",".183","",".354","",".248","","15937"
"Jason Kipnis","CLE","119","78","88.6","105.6","13.8","4","5.1%","29","37.2%",".178","",".243","",".228","","9776"
"Yolmer Sanchez","CHW","105","77","88.6","107.2","5.4","5","6.5%","27","35.1%",".263","",".389","",".305","","11602"
"Josh Bell","PIT","123","88","88.6","113.9","9.9","5","5.7%","30","34.1%",".232","",".321","",".272","","13145"
"Ryan Flaherty","ATL","93","59","88.5","106.7","0.2","2","3.4%","21","35.6%",".300","",".400","",".345","","7888"
"Kris Bryant","CHC","102","66","88.4","110.2","11.9","6","9.1%","24","36.4%",".291","",".506","",".405","","15429"
"Lewis Brinson","MIA","105","60","88.3","113.6","4.3","4","6.7%","23","38.3%",".167","",".281","",".225","","14352"
"Miguel Sano","MIN","90","45","88.2","114.6","13.8","6","13.3%","16","35.6%",".213","",".450","",".315","","12164"
"Alex Bregman","HOU","129","92","88.2","105.5","15.9","4","4.3%","33","35.9%",".259","",".361","",".335","","17678"
"Ian Desmond","COL","109","75","88.2","108.6","-6.3","4","5.3%","27","36.0%",".178","",".337","",".246","","6885"
"Brett Gardner","NYY","124","78","88.1","110.1","8.6","0","0.0%","26","33.3%",".210","",".270","",".280","","9927"
"Dixon Machado","DET","102","80","88.1","106.6","10.1","5","6.3%","29","36.3%",".204","",".323","",".258","","11472"
"Kole Calhoun","LAA","102","69","88.0","109.4","9.4","5","7.2%","24","34.8%",".172","",".222","",".185","","11200"
"Scooter Gennett","CIN","123","92","87.9","105.7","14.1","3","3.3%","38","41.3%",".298","",".412","",".330","","10339"
"Victor Martinez","DET","94","74","87.8","104.9","17.5","5","6.8%","22","29.7%",".232","",".366","",".291","","393"
"Jean Segura","SEA","120","99","87.8","108.4","11.8","3","3.0%","31","31.3%",".298","",".447","",".331","","5933"
"Lucas Duda","KCR","101","68","87.8","114.1","19.9","7","10.3%","20","29.4%",".207","",".315","",".265","","2502"
"Edwin Encarnacion","CLE","112","68","87.7","109.7","18.6","6","8.8%","18","26.5%",".160","",".350","",".258","","2151"
"Michael Conforto","NYM","82","44","87.6","108.6","16.5","4","9.1%","15","34.1%",".222","",".317","",".316","","16376"
"Jose Altuve","HOU","132","104","87.6","107.5","13.4","4","3.8%","38","36.5%",".347","",".441","",".370","","5417"
"Yangervis Solarte","TOR","112","81","87.6","113.1","15.9","8","9.9%","26","32.1%",".250","",".500","",".360","","5352"
"Marwin Gonzalez","HOU","112","71","87.6","108.6","17.2","2","2.8%","23","32.4%",".232","",".347","",".299","","5497"
"Tim Anderson","CHW","108","79","87.5","112.5","8.1","6","7.6%","24","30.4%",".267","",".436","",".324","","15172"
"Tucker Barnhart","CIN","96","61","87.5","106.6","13.8","3","4.9%","18","29.5%",".228","",".367","",".312","","10200"
"Corey Dickerson","PIT","109","91","87.5","107.5","20.4","4","4.4%","32","35.2%",".313","",".515","",".360","","10762"
"Charlie Blackmon","COL","109","72","87.5","107.5","15.3","8","11.1%","24","33.3%",".281","",".594","",".406","","7859"
"Tim Beckham","BAL","93","57","87.5","111.2","12.7","2","3.5%","21","36.8%",".179","",".262","",".229","","7949"
"Andrew Benintendi","BOS","114","79","87.4","107.7","11.6","2","2.5%","24","30.4%",".242","",".389","",".322","","17901"
"Freddy Galvis","SDP","123","78","87.4","103.5","11.6","1","1.3%","20","25.6%",".248","",".303","",".290","","6609"
"Ozzie Albies","ATL","127","94","87.3","108.7","18.1","8","8.5%","29","30.9%",".293","",".647","",".410","","16556"
"Stephen Piscotty","OAK","110","79","87.2","111.6","10.5","4","5.1%","27","34.2%",".278","",".381","",".320","","13367"
"Dexter Fowler","STL","111","71","87.1","107.5","12.0","3","4.2%","26","36.6%",".170","",".298","",".262","","4062"
"Starling Marte","PIT","126","89","87.1","112.0","9.9","5","5.6%","28","31.5%",".286","",".446","",".353","","9241"
"Chris Davis","BAL","101","57","87.0","107.6","12.7","5","8.8%","18","31.6%",".167","",".256","",".232","","9272"
"Denard Span","TBR","94","64","87.0","108.1","16.4","3","4.7%","21","32.8%",".256","",".449","",".357","","8347"
"Nick Ahmed","ARI","94","64","86.9","104.2","17.5","4","6.3%","14","21.9%",".262","",".524","",".364","","12147"
"Josh Reddick","HOU","101","67","86.9","104.2","19.6","4","6.0%","18","26.9%",".233","",".453","",".342","","3892"
"Whit Merrifield","KCR","123","91","86.8","106.4","17.8","4","4.4%","34","37.4%",".266","",".404","",".324","","11281"
"Michael A. Taylor","WSN","109","68","86.8","108.4","6.5","6","8.8%","23","33.8%",".222","",".384","",".296","","11489"
"Daniel Robertson","TBR","84","47","86.8","107.0","5.9","3","6.4%","20","42.6%",".333","",".561","",".446","","14145"
"Addison Russell","CHC","95","72","86.7","105.2","13.1","0","0.0%","19","26.4%",".250","",".333","",".290","","14106"
"Alcides Escobar","KCR","109","90","86.6","105.5","12.7","3","3.3%","22","24.4%",".237","",".371","",".296","","6310"
"Carlos Asuaje","SDP","106","77","86.6","102.5","12.6","2","2.6%","20","26.0%",".198","",".302","",".258","","15197"
"Jon Jay","KCR","114","80","86.5","102.6","6.9","3","3.8%","20","25.0%",".238","",".277","",".277","","5227"
"Didi Gregorius","NYY","121","86","86.5","109.4","21.4","9","10.5%","31","36.0%",".327","",".735","",".463","","6012"
"Odubel Herrera","PHI","110","83","86.4","114.7","13.5","3","3.6%","25","30.1%",".343","",".505","",".389","","11476"
"Eduardo Nunez","BOS","101","78","86.3","107.0","11.6","1","1.3%","21","26.9%",".240","",".375","",".283","","6848"
"Adeiny Hechavarria","TBR","98","78","86.3","105.9","13.1","1","1.3%","23","29.5%",".284","",".364","",".293","","10459"
"Miguel Rojas","MIA","116","94","86.3","106.6","10.0","2","2.1%","25","26.6%",".234","",".374","",".289","","7802"
"Jose Iglesias","DET","100","78","86.2","106.2","13.2","1","1.3%","15","19.2%",".223","",".319","",".253","","10231"
"Zack Cozart","LAA","114","85","86.2","104.8","17.0","2","2.4%","25","29.4%",".229","",".400","",".293","","2616"
"Brandon Crawford","SFG","97","63","86.1","106.1","16.2","3","4.8%","22","34.9%",".189","",".300","",".226","","5343"
"Joe Panik","SFG","100","86","86.0","103.8","6.9","3","3.5%","23","26.7%",".267","",".389","",".312","","11936"
"Mallex Smith","TBR","88","65","85.8","103.7","7.1","0","0.0%","13","20.0%",".329","",".418","",".356","","13608"
"Eduardo Escobar","MIN","92","64","85.5","108.6","22.1","6","9.4%","14","21.9%",".301","",".578","",".382","","6153"
"Jose Peraza","CIN","121","103","85.5","107.3","9.4","2","1.9%","20","19.4%",".288","",".396","",".303","","13593"
"Brian Dozier","MIN","116","85","85.1","104.0","16.3","2","2.4%","21","24.7%",".248","",".410","",".318","","9810"
"Albert Almora Jr.","CHC","83","60","84.8","106.3","13.0","0","0.0%","10","16.7%",".289","",".421","",".331","","14109"
"Dee Gordon","SEA","118","93","82.9","100.3","6.8","0","0.0%","14","15.1%",".309","",".400","",".323","","8203"
"Ender Inciarte","ATL","126","99","82.1","105.0","10.1","1","1.0%","13","13.1%",".276","",".319","",".284","","4922"
"Billy Hamilton","CIN","100","54","76.9","100.4","7.1","1","1.9%","2","3.7%",".172","",".253","",".247","","10199"
