"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Phillip Evans","PIT","94","61","92.2","109.6","7.5","5","8.2%","33","54.1%",".232","",".402","",".323","","12950"
"Ryan McMahon","COL","104","74","92.1","111.5","18.3","8","10.8%","35","47.3%",".273","",".556","",".362","","15112"
"Jose Abreu","CHW","108","67","92.1","115.6","8.3","5","7.5%","36","53.7%",".213","",".394","",".299","","15676"
"David Peralta","ARI","104","82","92.0","113.8","4.0","7","8.5%","37","45.1%",".284","",".495","",".351","","2136"
"Matt Olson","OAK","91","66","92.0","115.3","14.3","12","18.2%","31","47.0%",".296","",".580","",".395","","14344"
"Jason Heyward","CHC","86","58","92.0","111.4","8.5","3","5.2%","29","50.0%",".203","",".354","",".271","","4940"
"Chris Taylor","LAD","96","57","91.8","110.7","14.5","8","14.0%","26","45.6%",".250","",".500","",".372","","13757"
"Justin Upton","LAA","87","54","91.8","116.5","15.2","6","11.1%","26","48.1%",".231","",".449","",".319","","5222"
"Corey Seager","LAD","116","83","91.8","111.1","9.9","9","10.8%","41","49.4%",".255","",".451","",".341","","13624"
"Salvador Perez","KCR","102","69","91.8","111.9","11.4","9","13.0%","36","52.2%",".268","",".485","",".335","","7304"
"Yuli Gurriel","HOU","106","79","91.5","106.8","11.0","6","7.6%","37","46.8%",".344","",".556","",".428","","19198"
"Paul Goldschmidt","STL","109","75","91.5","111.3","16.2","6","8.0%","36","48.0%",".214","",".340","",".260","","9218"
"Nick Castellanos","CIN","101","75","91.3","109.7","11.3","8","10.7%","38","50.7%",".305","",".611","",".400","","11737"
"Kyle Tucker","HOU","106","79","91.2","109.6","21.4","8","10.1%","36","45.6%",".181","",".372","",".259","","18345"
"Austin Meadows","TBR","106","63","91.2","110.3","24.9","7","11.1%","27","42.9%",".218","",".425","",".332","","15672"
"Marcell Ozuna","ATL","112","71","91.1","114.3","16.2","6","8.5%","30","42.3%",".202","",".313","",".274","","10324"
"Adam Duvall","MIA","90","52","91.1","108.2","20.6","6","11.5%","24","46.2%",".188","",".388","",".265","","10950"
"Kyle Seager","SEA","114","80","91.0","107.4","19.3","13","16.3%","41","51.3%",".250","",".471","",".330","","9785"
"Javier Baez","- - -","94","53","91.0","111.3","11.4","9","17.0%","23","43.4%",".244","",".500","",".325","","12979"
"Josh Naylor","CLE","77","57","91.0","114.7","11.4","5","8.8%","22","38.6%",".250","",".347","",".278","","18839"
"Jazz Chisholm Jr.","MIA","85","49","91.0","111.7","14.1","9","18.4%","21","42.9%",".311","",".581","",".406","","20454"
"Keston Hiura","MIL","82","43","90.9","109.9","16.0","5","11.6%","18","41.9%",".167","",".292","",".254","","20003"
"Joey Wendle","TBR","88","66","90.9","107.4","7.9","3","4.5%","29","43.9%",".313","",".518","",".363","","13853"
"Jed Lowrie","OAK","100","75","90.9","108.1","19.8","7","9.3%","32","42.7%",".244","",".411","",".318","","4418"
"Brandon Belt","SFG","81","42","90.8","109.8","21.4","8","19.0%","23","54.8%",".212","",".439","",".341","","10264"
"Carlos Santana","KCR","102","71","90.8","110.9","14.8","9","12.7%","31","43.7%",".247","",".506","",".367","","2396"
"Carlos Correa","HOU","108","84","90.8","116.4","15.6","6","7.1%","36","42.9%",".303","",".495","",".361","","14162"
"Dansby Swanson","ATL","105","64","90.7","107.5","14.0","5","7.8%","30","46.9%",".189","",".316","",".259","","18314"
"Gregory Polanco","PIT","78","46","90.6","116.2","20.1","6","13.0%","22","47.8%",".203","",".362","",".290","","12907"
"Shohei Ohtani","LAA","97","65","90.6","119.0","16.5","15","23.1%","31","47.7%",".283","",".652","",".402","","19755"
"Justin Turner","LAD","110","72","90.5","107.9","19.7","9","12.5%","29","40.3%",".330","",".596","",".421","","5235"
"Jackie Bradley Jr.","MIL","95","59","90.5","108.4","13.8","2","3.4%","29","49.2%",".207","",".356","",".276","","12984"
"Albert Pujols","LAA","76","63","90.5","112.4","15.1","6","9.5%","26","41.3%",".211","",".423","",".289","","1177"
"Nathaniel Lowe","TEX","114","70","90.5","113.9","3.8","10","14.3%","31","44.3%",".277","",".485","",".364","","19566"
"Travis d'Arnaud","ATL","84","61","90.5","110.2","8.8","6","9.8%","22","36.1%",".215","",".342","",".255","","7739"
"Alex Verdugo","BOS","102","77","90.4","109.4","10.1","5","6.5%","32","41.6%",".300","",".500","",".363","","17027"
"Trea Turner","WSN","92","64","90.3","109.1","5.7","7","10.9%","30","46.9%",".302","",".558","",".384","","16252"
"Randal Grichuk","TOR","93","68","90.2","112.1","19.6","8","11.8%","31","45.6%",".282","",".506","",".355","","10243"
"Anthony Rizzo","CHC","109","78","90.2","114.2","15.2","6","7.7%","28","35.9%",".231","",".429","",".332","","3473"
"Luis Robert","CHW","98","65","90.2","113.6","14.6","7","10.8%","27","41.5%",".311","",".467","",".352","","20043"
"Bo Bichette","TOR","104","68","90.2","115.5","5.3","10","14.7%","31","45.6%",".260","",".531","",".352","","19612"
"Yordan Alvarez","HOU","81","55","90.2","114.7","14.2","6","10.9%","24","43.6%",".315","",".521","",".366","","19556"
"Ian Happ","CHC","93","45","90.1","108.2","1.9","4","8.9%","22","48.9%",".133","",".173","",".236","","17919"
"Brandon Nimmo","NYM","81","47","90.1","108.6","1.9","3","6.4%","19","40.4%",".358","",".537","",".432","","12927"
"Marcus Semien","TOR","107","69","90.0","109.5","24.3","6","8.7%","29","42.0%",".211","",".368","",".288","","12533"
"Isiah Kiner-Falefa","TEX","118","89","89.9","107.9","2.7","3","3.4%","33","37.1%",".252","",".369","",".287","","16512"
"Michael Brantley","HOU","91","74","89.9","109.2","12.2","5","6.8%","26","35.1%",".345","",".552","",".393","","4106"
"Colin Moran","PIT","97","61","89.8","107.8","10.2","7","11.5%","23","37.7%",".276","",".483","",".351","","16909"
"Luis Arraez","MIN","91","67","89.8","103.1","4.8","2","3.0%","22","32.8%",".273","",".338","",".322","","18568"
"Jeff McNeil","NYM","67","53","89.7","108.3","11.8","3","5.7%","22","41.5%",".203","",".339","",".285","","15362"
"J.T. Realmuto","PHI","87","57","89.5","109.8","7.7","8","14.0%","27","47.4%",".329","",".507","",".398","","11739"
"Ozzie Albies","ATL","100","74","89.4","107.2","21.7","6","8.1%","30","40.5%",".227","",".500","",".335","","16556"
"Eric Hosmer","SDP","112","86","89.4","110.1","-1.9","2","2.3%","35","40.7%",".320","",".460","",".366","","3516"
"Nick Solak","TEX","112","67","89.4","110.6","8.9","10","14.9%","25","37.3%",".293","",".535","",".390","","19294"
"Cavan Biggio","TOR","79","43","89.4","108.0","14.1","1","2.3%","12","27.9%",".197","",".333","",".287","","19252"
"Willy Adames","TBR","87","55","89.4","105.8","23.7","7","12.7%","27","49.1%",".169","",".301","",".220","","15986"
"Yandy Diaz","TBR","100","65","89.3","111.4","-0.2","4","6.2%","24","36.9%",".235","",".272","",".310","","16578"
"Francisco Lindor","NYM","93","69","89.3","112.0","8.4","2","2.9%","31","44.9%",".182","",".234","",".246","","12916"
"Enrique Hernandez","BOS","107","77","89.3","109.3","18.2","6","7.8%","26","33.8%",".230","",".400","",".286","","10472"
"Joey Gallo","TEX","110","43","89.2","114.3","17.4","2","4.7%","16","37.2%",".217","",".301","",".335","","14128"
"Pavin Smith","ARI","88","67","89.2","110.8","5.8","6","9.0%","35","52.2%",".265","",".458","",".325","","19892"
"Willson Contreras","CHC","99","58","89.1","114.3","7.6","8","13.8%","25","43.1%",".238","",".512","",".354","","11609"
"DJ LeMahieu","NYY","109","80","89.1","108.1","4.7","2","2.5%","30","37.5%",".271","",".354","",".319","","9874"
"Mitch Haniger","SEA","110","78","89.1","109.7","13.5","10","12.8%","34","43.6%",".277","",".545","",".359","","14274"
"Trevor Story","COL","104","74","89.1","107.9","16.5","7","9.5%","28","37.8%",".266","",".447","",".320","","12564"
"Cedric Mullins II","BAL","111","79","89.0","107.1","12.3","3","3.8%","31","39.2%",".337","",".545","",".393","","17929"
"Trey Mancini","BAL","107","74","89.0","112.0","10.8","11","14.9%","29","39.2%",".237","",".443","",".317","","15149"
"Michael A. Taylor","KCR","84","57","88.9","111.4","12.4","5","8.8%","21","36.8%",".260","",".351","",".298","","11489"
"Nolan Arenado","STL","110","83","88.9","110.6","23.1","7","8.4%","31","37.3%",".255","",".451","",".322","","9777"
"Andrew Benintendi","KCR","90","60","88.9","103.9","9.5","3","5.0%","21","35.0%",".225","",".313","",".281","","17901"
"Matt Chapman","OAK","108","55","88.9","108.9","13.9","8","14.5%","24","43.6%",".189","",".389","",".302","","16505"
"Jesus Aguilar","MIA","104","75","88.8","110.6","15.9","4","5.3%","25","33.3%",".291","",".523","",".377","","11342"
"Yermin Mercedes","CHW","88","70","88.6","113.3","12.6","8","11.4%","24","34.3%",".415","",".659","",".469","","17423"
"Aaron Hicks","NYY","95","62","88.6","109.6","21.0","7","11.3%","22","35.5%",".155","",".321","",".249","","5297"
"Andrew McCutchen","PHI","93","54","88.5","107.5","9.3","2","3.7%","18","33.3%",".169","",".247","",".258","","9847"
"Lourdes Gurriel Jr.","TOR","82","59","88.5","107.7","10.5","4","6.8%","22","37.3%",".224","",".316","",".248","","19238"
"Eduardo Escobar","ARI","109","80","88.5","106.2","20.6","9","11.3%","27","33.8%",".253","",".535","",".354","","6153"
"Kris Bryant","CHC","102","65","88.5","110.0","13.3","10","15.4%","28","43.1%",".322","",".667","",".446","","15429"
"Maikel Franco","BAL","104","74","88.4","111.4","8.7","4","5.4%","23","31.1%",".242","",".400","",".308","","12179"
"C.J. Cron","COL","93","60","88.4","114.7","10.3","7","11.7%","21","35.0%",".275","",".475","",".369","","12546"
"Christian Vazquez","BOS","89","68","88.3","106.3","15.3","2","2.9%","24","35.3%",".238","",".357","",".278","","9774"
"Ramon Laureano","OAK","103","67","88.3","112.1","9.9","8","11.9%","29","43.3%",".223","",".404","",".301","","17128"
"Eddie Rosario","CLE","96","71","88.2","108.4","15.0","4","5.6%","24","33.8%",".225","",".348","",".268","","12155"
"Marwin Gonzalez","BOS","85","55","88.2","108.4","5.9","1","1.8%","19","34.5%",".186","",".271","",".276","","5497"
"Mark Canha","OAK","116","67","88.0","106.3","15.4","9","13.4%","31","46.3%",".242","",".389","",".346","","11445"
"Manuel Margot","TBR","85","63","88.0","109.1","10.7","3","4.8%","28","44.4%",".247","",".403","",".305","","14712"
"Dylan Carlson","STL","102","64","88.0","107.8","12.2","5","7.8%","20","31.3%",".281","",".494","",".362","","20126"
"Mookie Betts","LAD","99","67","88.0","107.4","15.6","3","4.5%","24","35.8%",".250","",".405","",".341","","13611"
"Austin Riley","ATL","93","56","87.9","112.2","12.6","3","5.4%","25","44.6%",".299","",".442","",".371","","18360"
"Yoan Moncada","CHW","100","59","87.9","109.4","10.0","6","10.2%","20","33.9%",".274","",".417","",".352","","17232"
"Asdrubal Cabrera","ARI","91","61","87.9","106.6","16.3","5","8.2%","20","32.8%",".257","",".419","",".350","","4962"
"Ryan Mountcastle","BAL","96","62","87.8","110.3","16.8","6","9.7%","25","40.3%",".198","",".286","",".224","","18373"
"Cesar Hernandez","CLE","105","72","87.8","110.2","8.5","6","8.3%","25","34.7%",".176","",".242","",".247","","10556"
"Charlie Blackmon","COL","89","63","87.8","109.1","11.9","5","7.9%","28","44.4%",".184","",".303","",".272","","7859"
"Ty France","SEA","114","74","87.7","111.1","12.2","8","10.8%","31","41.9%",".289","",".464","",".369","","17982"
"Jared Walsh","LAA","93","64","87.7","110.1","10.8","7","10.9%","21","32.8%",".329","",".549","",".399","","18607"
"Jorge Polanco","MIN","97","74","87.7","107.8","12.1","4","5.4%","24","32.4%",".207","",".287","",".247","","13152"
"Jose Iglesias","LAA","95","78","87.6","109.2","7.8","3","3.8%","29","37.2%",".269","",".355","",".277","","10231"
"Mike Yastrzemski","SFG","89","50","87.6","109.4","10.9","5","10.0%","18","36.0%",".215","",".468","",".320","","14854"
"Whit Merrifield","KCR","107","89","87.5","106.9","15.4","3","3.4%","26","29.2%",".274","",".411","",".307","","11281"
"Michael Conforto","NYM","83","49","87.5","109.7","12.0","4","8.2%","14","28.6%",".211","",".324","",".296","","16376"
"Jeimer Candelario","DET","109","74","87.4","109.6","14.5","3","4.1%","27","36.5%",".260","",".340","",".294","","13621"
"Travis Shaw","MIL","94","59","87.3","111.7","16.6","5","8.5%","23","39.0%",".209","",".384","",".287","","11982"
"Max Muncy","LAD","111","58","87.3","108.3","9.5","5","8.6%","19","32.8%",".222","",".383","",".365","","13301"
"Robbie Grossman","DET","106","58","87.3","109.0","21.0","5","8.6%","19","32.8%",".212","",".318","",".308","","5254"
"Tommy Edman","STL","115","94","87.3","112.9","6.9","1","1.1%","36","38.3%",".274","",".377","",".311","","19470"
"Bryan Reynolds","PIT","105","68","87.2","112.7","11.5","6","8.8%","20","29.4%",".278","",".411","",".351","","19326"
"Nicky Lopez","KCR","78","62","87.2","101.8","4.0","0","0.0%","12","19.4%",".246","",".338","",".293","","19339"
"David Dahl","TEX","90","62","87.1","107.7","10.8","4","6.5%","23","37.1%",".193","",".301","",".227","","13744"
"Jake Cronenworth","SDP","115","83","87.1","108.7","17.2","5","6.0%","24","28.9%",".263","",".404","",".324","","18036"
"Erik Gonzalez","PIT","81","66","87.0","109.8","5.3","5","7.6%","23","34.8%",".228","",".367","",".263","","13369"
"Alex Bregman","HOU","84","63","86.9","106.0","12.7","4","6.3%","20","31.7%",".299","",".481","",".357","","17678"
"Brandon Lowe","TBR","103","59","86.9","109.6","17.9","8","13.6%","21","35.6%",".182","",".364","",".296","","18882"
"Starlin Castro","WSN","88","68","86.8","110.5","9.4","3","4.4%","26","38.2%",".253","",".337","",".263","","4579"
"Adam Eaton","CHW","97","66","86.7","107.4","3.5","4","6.1%","28","42.4%",".233","",".407","",".314","","11205"
"Dominic Smith","NYM","76","53","86.6","109.3","13.1","6","11.3%","17","32.1%",".222","",".333","",".252","","15653"
"Jonathan India","CIN","79","50","86.4","109.7","13.1","5","10.0%","17","34.0%",".239","",".358","",".290","","21523"
"Corey Dickerson","MIA","86","60","86.4","109.8","10.1","2","3.3%","19","31.7%",".329","",".461","",".379","","10762"
"Xander Bogaerts","BOS","103","78","86.4","113.6","9.3","9","11.5%","29","37.2%",".330","",".546","",".386","","12161"
"Jonathan Schoop","DET","87","57","86.3","111.9","8.8","4","7.0%","19","33.3%",".198","",".284","",".224","","11265"
"Eugenio Suarez","CIN","105","53","86.3","110.2","16.4","7","13.2%","16","30.2%",".130","",".304","",".237","","12552"
"Elvis Andrus","OAK","94","69","86.3","107.3","7.5","1","1.4%","17","24.6%",".151","",".186","",".172","","8709"
"Garrett Hampson","COL","99","68","86.3","105.1","15.1","3","4.4%","19","27.9%",".247","",".438","",".314","","19262"
"Raimel Tapia","COL","95","75","86.1","109.9","2.7","2","2.7%","22","29.3%",".279","",".407","",".324","","14350"
"Nick Madrigal","CHW","84","74","86.1","105.4","-0.5","0","0.0%","15","20.3%",".316","",".421","",".343","","20521"
"Myles Straw","HOU","97","68","86.0","104.9","6.0","0","0.0%","16","23.5%",".212","",".259","",".249","","17620"
"Gleyber Torres","NYY","107","75","85.8","108.5","16.1","4","5.3%","28","37.3%",".234","",".287","",".282","","16997"
"Willi Castro","DET","94","65","85.6","115.4","15.5","2","3.1%","20","30.8%",".200","",".289","",".228","","17338"
"Kevin Newman","PIT","87","78","85.6","105.6","0.4","1","1.3%","19","24.4%",".205","",".265","",".217","","17696"
"Austin Slater","SFG","85","45","85.4","105.7","6.4","3","6.7%","19","42.2%",".227","",".360","",".300","","16153"
"Wil Myers","SDP","90","57","85.2","107.2","3.1","7","12.3%","21","36.8%",".266","",".468","",".356","","10047"
"Adam Frazier","PIT","110","86","85.1","106.4","16.5","0","0.0%","18","20.9%",".299","",".412","",".343","","15223"
"Miguel Rojas","MIA","102","76","85.1","106.4","14.3","1","1.3%","25","32.9%",".247","",".337","",".306","","7802"
"Victor Robles","WSN","78","48","84.8","108.3","21.3","1","2.1%","11","22.9%",".227","",".273","",".290","","18363"
"Jurickson Profar","SDP","105","73","84.5","105.5","12.7","0","0.0%","16","21.9%",".244","",".302","",".293","","10815"
"Paul DeJong","STL","98","58","84.2","109.5","14.2","7","12.1%","19","32.8%",".165","",".341","",".275","","18015"
"J.P. Crawford","SEA","96","71","83.5","106.9","9.0","0","0.0%","18","25.4%",".250","",".295","",".274","","15491"
"Didi Gregorius","PHI","83","63","83.2","106.7","23.0","2","3.2%","14","22.2%",".250","",".355","",".266","","6012"
"David Fletcher","LAA","111","96","82.0","106.8","7.5","0","0.0%","16","16.7%",".264","",".283","",".249","","17992"
