"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Giancarlo Stanton","NYY","100","66","98.6","120.1","8.6","10","15.2%","44","66.7%",".269","",".495","",".343","","4949"
"Aaron Judge","NYY","96","57","97.4","116.2","11.1","11","19.3%","33","57.9%",".272","",".568","",".403","","15640"
"Pete Alonso","NYM","87","51","97.1","117.1","20.2","11","21.6%","31","60.8%",".247","",".481","",".341","","19251"
"Ronald Acuna Jr.","ATL","106","75","95.1","115.8","18.0","13","17.3%","44","58.7%",".341","",".705","",".472","","18401"
"Jorge Soler","KCR","93","52","94.7","114.7","16.2","6","11.5%","29","55.8%",".205","",".372","",".299","","14221"
"Vladimir Guerrero Jr.","TOR","102","64","94.4","116.1","10.4","8","12.5%","34","53.1%",".350","",".663","",".481","","19611"
"Nelson Cruz","MIN","87","64","94.2","116.6","12.2","13","20.3%","38","59.4%",".329","",".658","",".424","","2434"
"Franmil Reyes","CLE","91","57","94.0","114.9","11.7","13","22.8%","33","57.9%",".279","",".616","",".380","","14566"
"Jesse Winker","CIN","87","62","93.7","112.6","17.5","11","17.7%","33","53.2%",".370","",".679","",".457","","13590"
"Bryce Harper","PHI","96","59","93.5","116.3","10.8","13","22.0%","28","47.5%",".321","",".615","",".443","","11579"
"Mike Trout","LAA","88","50","93.5","115.5","10.5","10","20.0%","28","56.0%",".425","",".781","",".532","","10155"
"Freddie Freeman","ATL","113","78","93.4","111.7","15.3","8","10.3%","38","48.7%",".237","",".495","",".365","","5361"
"Avisail Garcia","MIL","93","57","93.1","110.9","8.6","7","12.3%","32","56.1%",".195","",".329","",".266","","5760"
"Manny Machado","SDP","116","80","92.9","114.1","12.8","7","8.8%","46","57.5%",".240","",".370","",".309","","11493"
"Joey Votto","CIN","104","74","92.8","113.6","14.9","10","13.5%","36","48.6%",".242","",".463","",".329","","4314"
"Randy Arozarena","TBR","102","59","92.6","112.6","1.1","3","5.1%","29","49.2%",".287","",".426","",".335","","19290"
"J.D. Martinez","BOS","107","71","92.6","112.3","15.3","11","15.5%","35","49.3%",".351","",".745","",".484","","6184"
"Wilson Ramos","DET","91","66","92.5","111.5","8.9","8","12.1%","33","50.0%",".224","",".482","",".311","","1433"
"Alec Bohm","PHI","102","69","92.5","111.6","4.6","7","10.1%","34","49.3%",".207","",".304","",".237","","21618"
"Jose Ramirez","CLE","100","80","92.3","111.8","15.0","11","13.8%","40","50.0%",".261","",".545","",".361","","13510"
"Rafael Devers","BOS","105","72","92.3","111.6","9.7","16","22.2%","38","52.8%",".293","",".587","",".398","","17350"
"Rhys Hoskins","PHI","110","67","92.3","111.5","19.5","12","17.9%","36","53.7%",".231","",".529","",".335","","16472"
"Gio Urshela","NYY","95","65","92.3","110.4","7.6","5","7.7%","33","50.8%",".273","",".455","",".329","","10681"
