"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","LAA","159","681","29","123","100","30","17.0%","20.1%",".235",".371",".315",".441",".550",".418",".415","170","9.6","67.0","4.3","9.7","10155"
"Mookie Betts","BOS","158","730","31","122","113","26","6.7%","11.0%",".216",".322",".318",".363",".534",".379",".327","136","10.6","41.8","14.0","8.3","13611"
"Kris Bryant","CHC","155","699","39","121","102","8","10.7%","22.0%",".262",".332",".292",".385",".554",".396",".380","148","7.1","48.7","6.3","7.9","15429"
"Josh Donaldson","TOR","155","700","37","122","99","7","15.6%","17.0%",".265",".300",".284",".404",".549",".403",".397","157","0.0","47.6","2.7","7.6","5038"
"Corey Seager","LAD","157","687","26","105","72","3","7.9%","19.4%",".204",".355",".308",".365",".512",".372",".372","136","2.4","33.0","13.4","6.9","13624"
"Jose Altuve","HOU","161","717","24","108","96","30","8.4%","9.8%",".194",".347",".338",".396",".531",".391",".376","152","0.4","45.1","-3.1","6.8","5417"
"Buster Posey","SFG","146","614","14","82","80","6","10.4%","11.1%",".147",".303",".288",".362",".434",".341",".351","114","-3.3","7.3","39.5","6.7","9166"
"Manny Machado","BAL","157","696","37","105","96","0","6.9%","17.2%",".239",".309",".294",".343",".533",".366",".362","131","0.1","25.7","12.3","6.3","11493"
"Robinson Cano","SEA","161","715","39","107","103","0","6.6%","14.0%",".235",".299",".298",".350",".533",".370",".342","139","-2.0","31.3","5.8","6.3","3269"
"Brian Dozier","MIN","155","691","42","104","99","18","8.8%","20.0%",".278",".280",".268",".340",".546",".370",".322","132","5.4","31.5","6.0","6.3","9810"
"Freddie Freeman","ATL","158","693","34","102","91","6","12.8%","24.7%",".267",".370",".302",".400",".569",".402",".388","152","0.9","45.3","-7.1","6.1","5361"
"Adam Eaton","CHW","157","706","14","91","59","14","8.9%","16.3%",".144",".329",".284",".362",".428",".344",".315","117","4.5","19.0","14.4","5.9","11205"
"Daniel Murphy","WSN","142","582","25","88","104","5","6.0%","9.8%",".249",".348",".347",".390",".595",".408",".386","154","3.2","42.2","-5.4","5.6","4316"
"Francisco Lindor","CLE","158","684","15","99","78","19","8.3%","12.9%",".134",".324",".301",".358",".435",".340",".331","109","0.8","8.6","21.6","5.5","12916"
"Adrian Beltre","TEX","153","640","32","89","104","1","7.5%","10.3%",".221",".293",".300",".358",".521",".371",".362","127","-1.1","19.8","11.5","5.5","639"
"Ian Kinsler","DET","153","679","28","117","83","14","6.6%","16.9%",".196",".314",".288",".348",".484",".356",".321","124","3.9","23.6","5.9","5.4","6195"
"Christian Yelich","MIA","155","659","21","78","98","9","10.9%","20.9%",".185",".356",".298",".376",".483",".367",".377","134","2.3","29.7","2.5","5.4","11477"
"Jackie Bradley Jr.","BOS","156","636","26","94","87","9","9.9%","22.5%",".219",".312",".267",".349",".486",".354",".325","118","5.1","19.0","10.5","5.3","12984"
"Brandon Crawford","SFG","155","623","12","67","84","7","9.1%","18.5%",".156",".322",".275",".342",".430",".327",".304","104","3.6","7.0","24.8","5.2","5343"
"Joey Votto","CIN","158","677","29","101","97","8","16.0%","17.7%",".225",".366",".326",".434",".550",".413",".396","158","-3.0","45.1","-15.4","5.2","4314"
"Kyle Seager","SEA","158","676","30","89","99","3","10.2%","16.0%",".221",".295",".278",".359",".499",".363",".370","134","-2.1","25.2","2.1","5.2","9785"
"Carlos Correa","HOU","153","660","20","76","96","13","11.4%","21.1%",".177",".328",".274",".361",".451",".349",".358","123","3.8","22.3","5.4","5.2","14162"
"Jean Segura","ARI","153","694","20","102","64","33","5.6%","14.6%",".181",".353",".319",".368",".499",".371",".321","126","5.0","27.4","0.3","5.0","5933"
"Nolan Arenado","COL","160","696","41","116","133","2","9.8%","14.8%",".275",".293",".294",".362",".570",".386",".341","126","-0.9","21.6","5.7","5.0","9777"
"George Springer","HOU","162","744","29","116","82","9","11.8%","23.9%",".196",".317",".261",".359",".457",".353",".351","126","-0.3","23.0","0.2","5.0","12856"
"Justin Turner","LAD","151","622","27","79","90","4","7.7%","17.2%",".218",".293",".275",".339",".493",".353",".350","123","0.2","18.0","11.1","5.0","5235"
