"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","SFG","153","664","73","129","137","13","26.7%","14.0%",".536",".266",".328",".515",".863",".537","","235","1.3","118.0","-12.0","12.5","1109"
"Sammy Sosa","CHC","160","711","64","146","160","0","16.3%","21.5%",".409",".336",".328",".437",".737",".465","","186","-0.9","78.8","-1.1","9.9","302"
"Jason Giambi","OAK","154","671","38","109","120","2","19.2%","12.4%",".317",".343",".342",".477",".660",".465","","193","0.3","79.1","-7.9","9.2","818"
"Luis Gonzalez","ARI","162","728","57","128","142","1","13.7%","11.4%",".363",".297",".325",".429",".688",".454","","173","-0.3","69.5","-2.3","8.9","55"
"Alex Rodriguez","TEX","162","732","52","133","135","18","10.2%","17.9%",".304",".325",".318",".399",".622",".425","","159","2.3","56.6","-1.9","7.8","1274"
"Bret Boone","SEA","158","690","37","118","141","5","5.8%","15.9%",".247",".346",".331",".372",".578",".397","","149","-1.2","41.2","14.1","7.8","1067"
"Larry Walker","COL","142","601","38","107","123","14","13.6%","17.1%",".312",".374",".350",".449",".662",".461","","163","0.6","49.8","7.8","7.6","455"
"Albert Pujols","STL","161","676","37","112","130","1","10.2%","13.8%",".281",".336",".329",".403",".610",".423","","159","-1.1","50.7","0.9","7.2","1177"
"Rich Aurilia","SFG","156","689","37","114","97","1","6.8%","12.0%",".248",".326",".324",".369",".572",".397","","144","-1.1","38.5","11.8","7.1","1106"
"Todd Helton","COL","159","697","49","132","146","7","14.1%","14.9%",".349",".337",".336",".432",".685",".457","","160","-0.8","54.3","-4.7","7.1","432"
"Lance Berkman","HOU","156","688","34","110","126","7","13.4%","17.6%",".289",".367",".331",".430",".620",".440","","164","-2.5","55.4","-7.8","6.8","548"
"Shawn Green","LAD","161","701","49","121","125","20","10.3%","15.3%",".300",".288",".297",".372",".598",".402","","149","2.2","47.5","-2.3","6.7","651"
"Roberto Alomar","CLE","157","677","20","113","100","30","11.8%","10.5%",".205",".351",".336",".415",".541",".406","","151","3.4","46.9","-2.7","6.6","860"
"Cliff Floyd","FLA","149","629","31","123","103","18","9.4%","16.1%",".261",".339",".317",".390",".578",".400","","146","2.3","40.0","5.4","6.5","518"
"Jim Edmonds","STL","150","608","30","95","110","5","15.3%","22.4%",".260",".355",".304",".410",".564",".406","","148","-1.2","36.9","7.0","6.2","1153"
"Chipper Jones","ATL","159","677","38","113","102","9","14.5%","12.1%",".274",".330",".330",".427",".605",".427","","161","-2.6","51.6","-11.2","6.1","97"
"Ichiro Suzuki","SEA","157","738","8","127","69","56","4.1%","7.2%",".107",".369",".350",".381",".457",".360","","124","5.1","27.8","7.8","6.0","1101"
"Corey Koskie","MIN","153","649","26","100","103","27","10.5%","18.2%",".212",".304",".276",".362",".488",".361","","119","2.8","17.9","18.0","5.8","738"
"Scott Rolen","PHI","151","653","25","96","107","16","11.3%","19.4%",".209",".326",".289",".378",".498",".373","","126","1.0","23.6","12.3","5.6","970"
"Phil Nevin","SDP","149","624","41","97","126","4","11.4%","23.6%",".282",".349",".306",".388",".588",".408","","154","-1.0","43.0","-6.0","5.6","1049"
"Eric Chavez","OAK","151","604","32","91","114","8","6.8%","16.4%",".252",".297",".288",".338",".540",".364","","125","0.7","20.1","15.1","5.5","906"
"Brian Giles","PIT","160","674","37","116","95","13","13.4%","9.9%",".281",".296",".309",".404",".590",".413","","150","0.0","44.4","-10.0","5.5","990"
"Mike Cameron","SEA","150","633","25","99","110","34","10.9%","24.5%",".213",".319",".267",".353",".480",".354","","120","4.6","20.9","13.1","5.5","1070"
"Jim Thome","CLE","156","644","49","101","124","0","17.2%","28.7%",".333",".353",".291",".416",".624",".429","","167","-0.5","53.8","-20.6","5.4","409"
"Carlos Beltran","KCR","155","680","24","106","101","31","7.6%","17.6%",".207",".345",".306",".362",".514",".373","","122","5.7","24.4","6.9","5.4","589"
