"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Larry Walker","COL","23","101","11","23","30","3","8.9%","17.8%",".477",".367",".375",".446",".852",".525","","204","0.6","14.3","1.3","1.9","455"
"Manny Ramirez","BOS","25","112","9","18","31","0","11.6%","25.0%",".327",".508",".408",".482",".735",".505","","216","0.0","16.4","-2.1","1.8","210"
"Luis Gonzalez","ARI","25","109","13","26","27","0","11.0%","17.4%",".489",".267",".315",".422",".804",".497","","201","0.0","14.4","-0.3","1.7","55"
"Jason Giambi","OAK","25","110","6","14","19","0","23.6%","13.6%",".313",".367",".350",".518",".663",".482","","205","0.0","14.5","-1.3","1.7","818"
"Charles Johnson","FLA","20","82","9","14","20","0","8.5%","35.4%",".467",".432",".333",".390",".800",".483","","200","0.0","10.7","2.5","1.6","523"
"Albert Pujols","STL","24","102","8","18","27","0","6.9%","17.6%",".370",".394",".370",".431",".739",".484","","198","-0.9","12.2","0.1","1.5","1177"
"Juan Gonzalez","CLE","23","101","8","20","26","0","5.9%","18.8%",".366",".412",".387",".416",".753",".480","","201","0.0","12.8","-1.8","1.4","1251"
"Shannon Stewart","TOR","24","112","3","24","10","3","9.8%","8.9%",".200",".414",".390",".455",".590",".448","","177","0.6","11.5","-0.9","1.4","1322"
"Carlos Delgado","TOR","25","115","10","21","22","0","22.6%","15.7%",".402",".250",".293",".478",".695",".470","","192","0.0","13.4","-3.6","1.3","1297"
"Andruw Jones","ATL","26","113","7","16","11","1","10.6%","10.6%",".240",".268",".290",".363",".530",".377","","129","0.2","4.4","4.8","1.3","96"
"Rich Aurilia","SFG","21","88","3","14","7","0","6.8%","5.7%",".220",".392",".390",".432",".610",".444","","174","0.0","8.6","1.5","1.3","1106"
"Chipper Jones","ATL","26","111","7","17","23","1","17.1%","8.1%",".278",".329",".356",".459",".633",".454","","178","-0.2","11.1","-1.8","1.3","97"
"Alex Rodriguez","TEX","25","115","7","22","21","2","15.7%","18.3%",".290",".328",".312",".426",".602",".429","","162","0.0","9.0","-0.3","1.2","1274"
"Jim Edmonds","STL","20","79","5","11","21","0","8.9%","20.3%",".329",".451",".400",".443",".729",".482","","197","-0.9","9.1","0.9","1.2","1153"
"Phil Nevin","SDP","24","102","6","20","22","1","7.8%","20.6%",".323",".394",".344",".402",".667",".447","","179","-0.2","10.3","-1.0","1.2","1049"
"Mike Piazza","NYM","24","93","8","12","18","0","15.1%","11.8%",".342",".300",".329",".430",".671",".451","","179","0.0","9.6","-0.4","1.2","893"
"Ivan Rodriguez","TEX","22","100","6","15","11","3","6.0%","11.0%",".269",".289",".301",".350",".570",".385","","132","0.6","4.7","4.0","1.2","1275"
