"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bryce Harper","WSN","25","114","9","32","26","0","19.3%","17.5%",".380",".429",".391",".509",".772",".515","","220","-1.0","16.6","-0.5","2.0","11579"
"Mike Trout","LAA","27","115","7","18","18","5","12.2%","20.0%",".343",".414",".364",".443",".707",".466","","200","1.3","15.5","-0.8","1.9","10155"
"Ryan Zimmerman","WSN","24","96","11","22","29","1","6.3%","20.8%",".466",".448",".420",".458",".886",".545","","240","0.5","17.7","-2.5","1.8","4220"
"Freddie Freeman","ATL","23","101","9","22","14","4","15.8%","15.8%",".417",".390",".381",".485",".798",".514","","219","0.2","15.7","-1.3","1.8","5361"
"Eric Thames","MIL","24","103","11","28","19","0","17.5%","22.3%",".464",".360",".345",".466",".810",".512","","219","-0.7","15.1","-2.4","1.6","3711"
"Corey Seager","LAD","25","107","5","16","17","2","14.0%","19.6%",".231",".364",".319",".411",".549",".404","","153","1.0","8.3","2.6","1.4","13624"
"Aaron Judge","NYY","22","90","10","23","20","1","14.4%","26.7%",".447",".310",".303",".411",".750",".468","","199","0.2","11.2","-0.2","1.4","15640"
"Francisco Lindor","CLE","24","109","7","20","17","1","11.0%","14.7%",".330",".301",".309",".380",".638",".411","","156","0.2","7.8","2.0","1.4","12916"
"Justin Turner","LAD","24","99","1","9","12","1","5.1%","9.1%",".157",".443",".404",".465",".562",".441","","178","0.4","10.3","-0.1","1.3","5235"
"Miguel Sano","MIN","23","97","7","17","25","0","18.6%","33.0%",".367",".450",".316",".443",".684",".461","","193","-0.9","10.3","-0.6","1.3","12164"
"Mitch Haniger","SEA","21","95","4","20","16","2","13.7%","21.1%",".266",".418",".342",".447",".608",".444","","187","-0.5","9.7","-0.3","1.3","14274"
"Paul Goldschmidt","ARI","27","117","4","21","19","7","18.8%","16.2%",".207",".362",".315",".462",".522",".420","","155","1.7","10.0","-1.5","1.2","9218"
"Eugenio Suarez","CIN","23","94","5","19","13","1","11.7%","17.0%",".280",".361",".329",".415",".610",".429","","164","0.2","7.9","1.0","1.2","12552"
"Zack Cozart","CIN","21","85","1","11","9","1","15.3%","20.0%",".254",".444",".352",".447",".606",".438","","169","-0.2","7.4","1.5","1.2","2616"
"Steven Souza Jr.","TBR","25","108","4","14","17","0","11.1%","25.9%",".213",".435",".330",".411",".543",".406","","160","0.4","8.4","-0.5","1.2","5667"
"Kris Bryant","CHC","24","115","4","18","14","4","13.9%","21.7%",".227",".348",".289",".391",".515",".385","","138","1.3","6.9","0.2","1.1","15429"
"Jose Ramirez","CLE","24","103","6","13","21","2","9.7%","14.6%",".264",".333",".330",".388",".593",".408","","154","-0.7","6.2","1.1","1.1","13510"
"Avisail Garcia","CHW","23","93","5","15","20","0","5.4%","22.6%",".253",".443",".368",".409",".621",".432","","177","-0.5","8.3","-0.8","1.1","5760"
"Corey Dickerson","TBR","24","96","6","13","10","0","7.3%","18.8%",".307",".359",".330",".379",".636",".419","","169","0.1","8.3","-1.1","1.0","10762"
"Nolan Arenado","COL","26","110","7","16","16","1","7.3%","13.6%",".323",".282",".293",".355",".616",".400","","133","0.3","5.0","1.5","1.0","9777"
"Nelson Cruz","SEA","25","108","7","14","23","1","13.9%","21.3%",".303",".339",".315",".407",".618",".421","","171","-0.4","9.1","-2.8","1.0","2434"
"Daniel Murphy","WSN","24","111","5","17","26","0","5.4%","10.8%",".248",".352",".343",".378",".590",".398","","144","-0.4","5.8","0.0","0.9","4316"
"Cesar Hernandez","PHI","23","104","4","20","10","3","7.7%","25.0%",".208",".409",".323",".375",".531",".384","","136","0.2","5.0","1.0","0.9","10556"
"Starlin Castro","NYY","23","98","5","15","16","0","7.1%","16.3%",".198",".386",".352",".398",".549",".403","","155","0.2","6.8","-0.9","0.9","4579"
"Jose Altuve","HOU","24","102","3","13","8","7","10.8%","22.5%",".146",".406",".326",".402",".472",".371","","136","1.0","5.6","0.1","0.9","5417"
"Chase Headley","NYY","23","97","3","17","8","4","14.4%","19.6%",".193",".361",".301",".402",".494",".386","","143","0.8","6.0","-0.8","0.9","4720"
"Jay Bruce","NYM","23","100","7","14","16","0","11.0%","16.0%",".292",".288",".292",".370",".584",".399","","152","-0.6","6.1","-0.8","0.9","9892"
