"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Buster Posey","SFG","148","610","24","78","103","1","11.3%","15.7%",".213",".368",".336",".408",".549",".406","","164","-4.6","41.8","36.5","10.1","9166"
"Mike Trout","LAA","139","639","30","129","83","49","10.5%","21.8%",".238",".383",".326",".399",".564",".409","","167","14.3","64.4","10.2","10.1","10155"
"Yadier Molina","STL","138","563","22","65","76","12","8.0%","9.8%",".186",".316",".315",".373",".501",".375","","138","-4.8","20.9","35.4","7.7","7007"
"Robinson Cano","NYY","161","697","33","105","94","3","8.8%","13.8%",".238",".326",".313",".379",".550",".394","","149","-3.6","36.6","9.9","7.3","3269"
"Andrew McCutchen","PIT","157","673","31","107","96","20","10.4%","19.6%",".226",".375",".327",".400",".553",".403","","158","4.0","50.5","-0.9","7.3","9847"
"Miguel Cabrera","DET","161","697","44","109","139","4","9.5%","14.1%",".277",".331",".330",".393",".606",".417","","166","-7.5","46.2","-0.1","7.3","1744"
"Chase Headley","SDP","161","699","31","95","115","17","12.3%","22.5%",".212",".337",".286",".376",".498",".378","","145","1.9","39.8","7.5","7.2","4720"
"Ryan Braun","MIL","154","677","41","108","112","30","9.3%","18.9%",".276",".346",".319",".391",".595",".413","","159","2.4","50.4","-6.2","6.8","3410"
"David Wright","NYM","156","670","21","91","93","15","12.1%","16.7%",".186",".347",".306",".391",".492",".376","","141","-0.7","32.2","10.3","6.6","3787"
"Adrian Beltre","TEX","156","654","36","95","102","1","5.5%","12.5%",".240",".319",".321",".359",".561",".388","","142","-0.6","31.4","7.0","6.3","639"
"Ben Zobrist","TBR","157","668","20","88","74","14","14.5%","15.4%",".202",".296",".270",".377",".471",".365","","137","-4.2","24.8","7.1","5.7","7435"
"Miguel Montero","ARI","141","573","15","65","88","0","12.7%","22.7%",".152",".362",".286",".391",".438",".364","","125","-6.1","10.7","25.6","5.6","3364"
"Aramis Ramirez","MIL","149","630","27","92","105","9","7.0%","13.0%",".240",".310",".300",".360",".540",".384","","139","-3.4","26.2","6.4","5.4","1002"
"Michael Bourn","ATL","155","703","9","96","57","42","10.0%","22.0%",".117",".349",".274",".348",".391",".326","","104","7.9","11.3","18.2","5.3","6387"
"Jason Heyward","ATL","158","651","27","93","82","21","8.9%","23.3%",".210",".319",".269",".335",".479",".351","","121","9.5","25.5","4.9","5.3","4940"
