"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Albert Pujols","STL","25","110","14","27","32","2","25.5%","6.4%",".568",".230",".346",".509",".914",".548","","240","0.6","20.7","0.0","2.4","1177"
"Morgan Ensberg","HOU","24","107","9","20","19","0","19.6%","17.8%",".435",".333",".329",".467",".765",".496","","204","-0.1","14.5","1.7","1.9","556"
"Vernon Wells","TOR","23","103","9","18","25","3","5.8%","12.6%",".344",".392",".396",".437",".740",".491","","202","0.0","13.5","1.4","1.8","1326"
"Derek Jeter","NYY","23","109","3","19","20","2","17.4%","11.9%",".250",".444",".398",".505",".648",".489","","202","0.0","14.4","-0.2","1.7","826"
"Jason Giambi","NYY","22","92","9","17","27","0","28.3%","13.0%",".508",".293",".344",".554",".852",".556","","246","-0.7","16.7","-3.2","1.6","818"
"Miguel Tejada","BAL","26","111","6","18","21","0","6.3%","9.9%",".196",".430",".422",".459",".618",".458","","180","-0.7","10.9","1.2","1.5","941"
"Chris Shelton","DET","25","104","10","17","20","0","8.7%","26.0%",".457",".364",".326",".404",".783",".480","","196","-0.3","12.5","-1.2","1.4","1891"
"Victor Martinez","CLE","25","107","5","22","20","0","12.1%","8.4%",".269",".400",".398",".467",".667",".477","","194","-1.7","11.3","-0.5","1.4","393"
"Eric Chavez","OAK","23","97","9","13","20","0","13.4%","14.4%",".386",".262",".301",".392",".687",".443","","173","-0.6","8.5","2.5","1.4","906"
"Nick Johnson","WSN","25","110","6","21","14","2","14.5%","15.5%",".264",".368",".341",".455",".604",".452","","178","0.1","11.4","-1.3","1.3","828"
"Lance Berkman","HOU","24","109","10","16","29","0","11.9%","7.3%",".380",".282",".348",".413",".728",".459","","180","-0.6","10.8","-1.1","1.3","548"
"Jonny Gomes","TBD","25","106","11","22","23","0","20.8%","32.1%",".427",".368",".305",".453",".732",".480","","197","-0.9","12.5","-3.1","1.3","1845"
"Nick Swisher","OAK","23","94","10","21","24","0","11.7%","21.3%",".425",".294",".313",".404",".738",".462","","186","-0.1","10.4","-0.8","1.2","4599"
"Omar Vizquel","SFG","24","101","1","20","10","5","14.9%","4.0%",".100",".372",".375",".470",".475",".413","","149","0.4","6.9","2.5","1.2","411"
"Travis Hafner","CLE","24","108","7","28","16","0","19.4%","14.8%",".310",".344",".333",".463",".644",".459","","182","-0.3","11.2","-2.3","1.2","1573"
"Jim Thome","CHW","24","105","10","24","23","0","20.0%","20.0%",".413",".280",".300",".457",".713",".465","","182","0.4","11.5","-2.5","1.2","409"
"Carlos Guillen","DET","25","103","5","16","17","2","11.7%","6.8%",".281",".295",".315",".398",".596",".418","","154","0.1","7.3","1.4","1.2","1079"
"Andruw Jones","ATL","24","104","8","19","23","2","10.6%","20.2%",".326",".274",".281",".365",".607",".400","","141","0.9","6.4","2.3","1.2","96"
"Brad Hawpe","COL","25","107","7","13","18","1","12.1%","22.4%",".309",".429",".362",".439",".670",".458","","170","-0.7","9.1","-1.1","1.1","1885"
"Miguel Cabrera","FLA","22","96","4","16","13","3","17.7%","17.7%",".269",".368",".321",".448",".590",".431","","163","-0.1","7.8","-0.3","1.0","1744"
"Jason Bay","PIT","26","110","5","18","11","3","21.8%","18.2%",".217",".305",".277",".445",".494",".413","","151","0.3","7.6","-0.8","1.0","1717"
"David Wright","NYM","24","106","5","16","18","6","9.4%","12.3%",".281",".293",".303",".377",".584",".398","","142","1.5","7.3","-0.7","1.0","3787"
"Alex Rios","TOR","21","76","6","14","19","1","2.6%","15.8%",".362",".345",".362",".368",".725",".439","","167","0.0","6.6","0.7","1.0","2090"
"Johnny Damon","NYY","23","112","3","22","13","7","13.4%","14.3%",".194",".342",".312",".400",".505",".389","","136","2.1","7.2","-1.4","0.9","185"
"Curtis Granderson","DET","25","109","4","15","9","3","14.7%","23.9%",".204",".333",".269",".376",".473",".370","","123","0.5","3.7","2.3","0.9","4747"
"Alfonso Soriano","WSN","25","113","7","14","15","5","7.1%","17.7%",".250",".325",".308",".363",".558",".391","","139","0.2","5.9","-0.1","0.9","847"
"Carlos Lee","MIL","25","111","10","20","20","1","17.1%","8.1%",".352",".233",".297",".414",".648",".434","","163","-0.7","8.4","-2.6","0.9","243"
"Paul Konerko","CHW","24","104","6","21","20","0","11.5%","8.7%",".281",".342",".360",".433",".640",".446","","169","-1.5","7.8","-1.8","0.9","242"
"Grady Sizemore","CLE","25","123","1","20","10","2","6.5%","20.3%",".125",".391",".313",".361",".438",".348","","109","1.2","2.6","2.5","0.9","2197"
