"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","SFG","130","550","45","111","90","7","26.9%","10.5%",".408",".304",".341",".529",".749",".503","","212","0.7","80.0","5.6","10.2","1109"
"Albert Pujols","STL","157","685","43","137","124","5","11.5%","9.5%",".308",".346",".359",".439",".667",".461","","184","5.6","79.8","-5.4","9.5","1177"
"Alex Rodriguez","TEX","161","715","47","124","118","17","12.2%","17.6%",".301",".305",".298",".396",".600",".416","","151","4.3","50.3","18.2","9.2","1274"
"Bret Boone","SEA","159","705","35","111","117","16","9.6%","17.7%",".241",".316",".294",".366",".535",".384","","140","3.1","38.2","12.3","7.4","1067"
"Gary Sheffield","ATL","155","678","39","126","132","18","12.7%","8.1%",".274",".308",".330",".419",".604",".431","","163","2.6","57.0","-4.8","7.3","114"
"Carlos Beltran","KCR","141","602","26","102","100","41","12.0%","13.5%",".215",".318",".307",".389",".522",".389","","134","14.0","39.3","10.3","6.9","589"
"Marcus Giles","ATL","145","635","21","101","69","14","9.3%","12.6%",".211",".337",".316",".390",".526",".394","","139","5.6","37.1","10.4","6.7","89"
"Todd Helton","COL","160","703","33","135","117","0","15.8%","10.2%",".271",".363",".358",".458",".630",".453","","163","0.3","56.9","-13.2","6.6","432"
"Jim Edmonds","STL","137","531","39","89","89","1","14.5%","23.9%",".342",".297",".275",".385",".617",".417","","156","-1.3","36.9","9.7","6.3","1153"
"Edgar Renteria","STL","157","663","13","96","100","34","9.8%","8.1%",".150",".343",".330",".394",".480",".375","","128","5.9","30.0","12.3","6.3","1178"
"Scott Rolen","STL","154","657","28","98","104","13","12.5%","15.8%",".242",".304",".286",".382",".528",".388","","137","0.9","31.8","10.0","6.2","970"
"Jorge Posada","NYY","142","588","30","83","101","2","15.8%","18.7%",".237",".304",".281",".405",".518",".397","","145","-5.0","28.4","12.8","6.0","841"
"Lance Berkman","HOU","153","658","25","110","93","5","16.3%","16.4%",".227",".319",".288",".412",".515",".397","","139","1.1","33.7","6.0","6.0","548"
"Richard Hidalgo","HOU","141","585","28","91","88","9","9.9%","17.8%",".263",".339",".309",".385",".572",".402","","142","-0.7","31.0","11.0","6.0","561"
