"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","NYY","155","678","52","128","114","9","18.7%","30.7%",".343",".357",".284",".422",".627",".430",".441","174","0.0","61.8","-1.3","8.3","15640"
"Jose Altuve","HOU","153","662","24","112","81","32","8.8%","12.7%",".202",".370",".346",".410",".547",".405",".340","160","4.0","52.7","0.8","7.6","5417"
"Giancarlo Stanton","MIA","159","692","59","123","132","2","12.3%","23.6%",".350",".288",".281",".376",".631",".410",".396","158","-2.3","49.3","1.1","7.3","4949"
"Mike Trout","LAA","114","507","33","92","72","22","18.5%","17.8%",".323",".318",".306",".442",".629",".437",".417","180","4.0","54.4","-3.5","6.8","10155"
"Kris Bryant","CHC","151","665","29","111","73","7","14.3%","19.2%",".242",".334",".295",".409",".537",".399",".364","147","4.8","44.6","1.1","6.7","15429"
"Anthony Rendon","WSN","147","605","25","81","100","7","13.9%","13.6%",".232",".314",".301",".403",".533",".394",".359","141","1.5","33.3","14.3","6.7","12861"
"Charlie Blackmon","COL","159","725","37","137","104","14","9.0%","18.6%",".270",".371",".331",".399",".601",".414",".356","142","2.0","41.3","1.4","6.6","7859"
"Jose Ramirez","CLE","152","645","29","107","83","17","8.1%","10.7%",".265",".319",".318",".374",".583",".396",".353","146","0.0","36.9","6.6","6.5","13510"
"Joey Votto","CIN","162","707","36","106","100","5","19.0%","11.7%",".258",".321",".320",".454",".578",".428",".413","163","-9.6","47.7","-5.9","6.5","4314"
"Tommy Pham","STL","128","530","23","95","73","25","13.4%","22.1%",".214",".368",".306",".411",".520",".398",".375","149","5.3","38.6","6.2","6.2","2967"
"Corey Seager","LAD","145","613","22","85","77","4","10.9%","21.4%",".184",".352",".295",".375",".479",".364",".381","127","3.4","24.9","14.8","6.0","13624"
"Nolan Arenado","COL","159","680","37","100","130","3","9.1%","15.6%",".277",".320",".309",".373",".586",".395",".358","130","0.5","26.3","9.0","5.7","9777"
"Francisco Lindor","CLE","159","723","33","99","89","15","8.3%","12.9%",".232",".275",".273",".337",".505",".353",".347","116","4.7","19.4","13.5","5.7","12916"
"Justin Turner","LAD","130","543","21","72","71","7","10.9%","10.3%",".208",".326",".322",".415",".530",".400",".391","151","2.1","37.5","-0.6","5.4","5235"
"Mookie Betts","BOS","153","712","24","101","102","26","10.8%","11.1%",".194",".268",".264",".344",".459",".339",".327","107","9.2","15.0","14.3","5.3","13611"
