"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Chase Utley","PHI","28","128","11","25","23","2","8.6%","11.7%",".405",".333",".360",".430",".766",".491","","202","1.3","17.7","3.9","2.6","1679"
"Albert Pujols","STL","29","128","5","17","20","2","23.4%","5.5%",".229",".357",".365",".523",".594",".472","","193","0.3","15.2","-0.2","1.9","1177"
"Rafael Furcal","LAD","27","130","3","26","11","7","12.3%","11.5%",".221",".421",".381",".462",".602",".459","","184","1.3","15.1","-0.9","1.8","88"
"Chipper Jones","ATL","25","112","8","19","21","0","8.9%","8.9%",".280",".393",".410",".455",".690",".481","","198","-0.2","13.5","1.0","1.8","97"
"Russell Martin","LAD","27","114","3","16","11","1","20.2%","14.9%",".157",".329",".292",".439",".449",".391","","139","-0.6","5.0","8.2","1.7","4616"
"Derrek Lee","CHC","27","126","8","25","23","1","11.9%","11.9%",".318",".364",".364",".437",".682",".470","","184","-0.8","12.5","-1.1","1.5","525"
"Hanley Ramirez","FLA","27","125","8","23","18","9","8.0%","18.4%",".270",".350",".324",".400",".595",".421","","156","1.3","10.1","1.4","1.5","8001"
"Nate McLouth","PIT","27","128","7","24","25","2","11.7%","10.9%",".315",".344",".342",".425",".658",".458","","182","0.2","13.3","-2.0","1.5","3190"
"Lance Berkman","HOU","28","119","8","26","25","4","13.4%","11.8%",".347",".272",".297",".387",".644",".426","","162","1.8","11.0","0.3","1.5","548"
"Brian McCann","ATL","27","108","5","14","12","0","8.3%","8.3%",".245",".259",".276",".333",".520",".365","","122","-1.1","1.9","8.9","1.4","4810"
"Adrian Beltre","SEA","27","114","5","16","11","3","14.9%","19.3%",".237",".343",".299",".404",".536",".403","","152","0.1","7.3","2.5","1.4","639"
"Pat Burrell","PHI","28","115","8","18","25","0","19.1%","16.5%",".348",".333",".326",".452",".674",".471","","188","-0.4","12.3","-2.7","1.3","949"
"Josh Willingham","FLA","25","101","6","16","16","2","8.9%","15.8%",".297",".362",".341",".406",".637",".442","","170","0.3","9.1","0.8","1.3","2103"
"Miguel Tejada","HOU","29","121","4","22","22","2","5.0%","10.7%",".221",".361",".345",".380",".566",".403","","147","-1.2","6.0","3.1","1.3","941"
"Conor Jackson","ARI","26","107","5","24","25","1","9.3%","7.5%",".283",".338",".348",".430",".630",".451","","171","0.5","10.1","-0.7","1.3","5997"
"Chone Figgins","LAA","29","132","0","14","7","8","14.4%","18.2%",".054",".398",".313",".417",".366",".359","","119","1.5","4.6","3.4","1.2","1580"
"Grady Sizemore","CLE","26","122","3","16","13","7","13.1%","16.4%",".158",".329",".287",".402",".446",".376","","131","1.7","6.3","1.6","1.2","2197"
"Manny Ramirez","BOS","28","117","6","18","20","1","9.4%","23.9%",".276",".423",".343",".410",".619",".436","","166","-0.3","9.3","-1.3","1.2","210"
"Carlos Quentin","CHW","25","106","7","21","21","2","13.2%","14.2%",".314",".297",".302",".434",".616",".450","","175","0.0","9.9","-1.7","1.2","6274"
"David Wright","NYM","26","120","4","14","23","4","19.2%","13.3%",".250",".299",".281",".417",".531",".406","","149","-0.8","6.6","1.3","1.2","3787"
"Aramis Ramirez","CHC","27","124","6","22","22","0","14.5%","13.7%",".267",".291",".287",".411",".554",".415","","148","0.0","7.5","-0.1","1.1","1002"
"Geovany Soto","CHC","24","103","5","12","20","0","14.6%","22.3%",".287",".400",".333",".427",".621",".440","","164","-0.5","7.9","0.1","1.1","3707"
"Casey Kotchman","LAA","26","106","6","14","19","1","8.5%","4.7%",".250",".318",".344",".406",".594",".425","","163","-1.4","6.9","0.5","1.1","1930"
"Jayson Werth","PHI","23","92","5","15","13","3","12.0%","18.5%",".278",".293",".278",".370",".557",".396","","139","0.8","5.3","2.7","1.1","1327"
"Nick Markakis","BAL","27","118","4","17","11","6","18.6%","22.0%",".158",".369",".295",".432",".453",".393","","139","0.3","6.0","0.8","1.1","5930"
"Alex Rios","TOR","26","114","2","16","14","6","12.3%","19.3%",".143",".368",".306",".386",".449",".365","","122","0.7","3.8","3.0","1.1","2090"
"Jacoby Ellsbury","BOS","25","92","3","20","11","8","14.1%","7.6%",".160",".273",".280",".396",".440",".369","","122","2.2","4.6","2.8","1.1","4727"
"Josh Hamilton","TEX","28","132","6","16","32","0","8.3%","9.8%",".261",".317",".330",".379",".591",".407","","147","1.1","8.7","-3.0","1.0","1875"
"Eric Hinske","TBR","24","86","6","13","15","1","16.3%","14.0%",".347",".278",".292",".407",".639",".439","","174","-0.1","7.8","-0.5","1.0","1305"
"Matt Holliday","COL","27","126","4","17","14","5","12.7%","16.7%",".202",".345",".303",".397",".505",".392","","130","1.7","6.4","-0.7","1.0","1873"
"Fred Lewis","SFG","29","105","2","17","7","4","12.4%","19.0%",".196",".414",".337",".419",".533",".409","","149","0.7","7.2","-0.7","1.0","4693"
"Kosuke Fukudome","CHC","26","117","1","22","10","3","16.2%","15.4%",".153",".392",".327",".436",".480",".398","","137","0.7","6.1","-0.2","1.0","3263"
"Michael Young","TEX","27","127","3","18","11","1","11.8%","15.0%",".153",".356",".315",".394",".468",".380","","129","0.2","4.8","0.3","1.0","1286"
"Brian Roberts","BAL","28","125","3","16","13","10","12.8%","13.6%",".185",".315",".287",".376",".472",".369","","123","1.1","4.6","0.2","0.9","166"
"Mark DeRosa","CHC","26","114","3","17","19","1","14.9%","15.8%",".154",".333",".297",".416",".451",".386","","129","0.8","5.0","0.5","0.9","1392"
"Carlos Guillen","DET","23","100","3","15","12","3","14.0%","15.0%",".202",".358",".321",".414",".524",".408","","150","0.9","7.0","-1.6","0.9","1079"
"Melvin Upton Jr.","TBR","27","117","3","18","21","4","13.7%","19.7%",".141",".347",".293",".385",".434",".363","","124","-0.6","2.8","1.8","0.9","5015"
"Kevin Youkilis","BOS","27","119","2","16","15","1","11.8%","10.9%",".167",".326",".304",".387",".471",".372","","124","0.5","4.0","0.5","0.9","1935"
"Yunel Escobar","ATL","26","113","3","18","12","1","12.4%","12.4%",".146",".329",".302",".391",".448",".370","","125","-0.3","3.3","1.7","0.9","4191"
"Brandon Phillips","CIN","28","119","5","16","14","4","6.7%","20.2%",".227",".317",".282",".328",".509",".356","","111","0.1","1.8","2.8","0.8","791"
"Johnny Damon","NYY","28","119","3","19","12","4","15.1%","15.1%",".214",".308",".276",".385",".490",".382","","134","0.4","5.3","-1.1","0.8","185"
"Melky Cabrera","NYY","27","101","5","15","12","3","10.9%","13.9%",".195",".300",".299",".370",".494",".371","","127","0.6","3.9","0.9","0.8","4022"
"Edwin Encarnacion","CIN","28","115","7","15","15","1","12.2%","13.0%",".277",".278",".287",".374",".564",".403","","143","0.4","6.5","-2.1","0.8","2151"
"Mark Ellis","OAK","29","133","2","14","11","3","10.5%","11.3%",".136",".275",".254",".331",".390",".320","","96","-0.4","-1.1","4.3","0.8","1443"
"Carlos Beltran","NYM","26","112","2","19","13","2","19.6%","18.8%",".178",".254",".211",".366",".389",".340","","106","0.9","1.8","2.3","0.8","589"
"Xavier Nady","PIT","27","116","4","15","26","1","6.9%","15.5%",".202",".369",".337",".388",".538",".399","","143","-1.1","5.2","-1.3","0.8","1658"
"Hideki Matsui","NYY","26","106","4","10","13","0","12.3%","9.4%",".189",".329",".322",".425",".511",".407","","151","-0.2","6.4","-2.7","0.7","1659"
"Torii Hunter","LAA","27","113","4","16","16","2","4.4%","14.2%",".219",".329",".305",".354",".524",".380","","133","0.4","5.0","-1.7","0.7","731"
"Skip Schumaker","STL","28","115","1","23","8","3","12.2%","10.4%",".119",".352",".317",".400",".436",".373","","128","0.2","4.3","-0.8","0.7","3704"
"Ryan Church","NYM","25","110","3","21","19","1","9.1%","20.0%",".153",".384",".316",".385",".469",".374","","129","-0.2","3.7","-0.1","0.7","2106"
"Dustin Pedroia","BOS","29","132","1","14","13","3","6.8%","10.6%",".118",".330",".303",".346",".420",".337","","100","0.4","0.3","2.2","0.7","8370"
"Ryan Theriot","CHC","25","112","1","19","8","7","10.7%","9.8%",".111",".356",".323",".396",".434",".368","","117","-0.3","2.1","1.4","0.7","3811"
"Yadier Molina","STL","24","92","1","5","7","0","8.7%","4.3%",".096",".266",".265",".326",".361",".303","","82","-1.3","-3.4","7.4","0.7","7007"
"Carl Crawford","TBR","27","123","2","25","14","8","2.4%","12.2%",".118",".311",".286",".301",".403",".306","","85","2.0","-0.2","2.8","0.7","1201"
"Kurt Suzuki","OAK","26","109","0","14","8","1","9.2%","11.9%",".041",".333",".289",".367",".330",".318","","94","-0.6","-1.3","4.3","0.7","8259"
"David Murphy","TEX","28","119","2","15","15","3","9.2%","18.5%",".181",".337",".286",".347",".467",".353","","111","0.9","2.5","0.1","0.7","6035"
"Chris Young","ARI","27","128","6","23","14","3","13.3%","26.6%",".227",".271",".227",".336",".455",".348","","104","1.5","2.0","0.5","0.7","3882"
