"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Tino Martinez","STL","150","576","21","63","75","3","10.1%","12.3%",".176",".267",".262",".337",".438",".334","","104","1.5","4.1","-9.7","1.3","1168"
"Mark Grudzielanek","LAD","150","566","9","56","50","4","3.9%","15.7%",".093",".308",".271",".301",".364",".290","","79","-2.9","-18.0","11.6","1.2","653"
"Cristian Guzman","MIN","148","656","9","80","59","12","2.6%","12.0%",".112",".298",".273",".292",".385",".293","","74","0.6","-20.7","9.4","1.1","728"
"Michael Young","TEX","156","633","9","77","62","6","6.5%","17.7%",".120",".308",".262",".308",".382",".302","","76","-0.9","-19.8","8.6","1.0","1286"
"Jeff Cirillo","SEA","146","547","6","51","54","8","5.7%","12.2%",".078",".273",".249",".301",".328",".282","","74","-2.0","-19.8","11.5","1.0","1073"
"Alex Gonzalez","CHC","142","568","18","58","61","5","8.1%","23.9%",".177",".302",".248",".312",".425",".317","","92","-4.3","-9.8","1.6","1.0","281"
"Eric Young","MIL","138","553","3","57","28","31","7.1%","6.9%",".089",".296",".280",".338",".369",".315","","89","-1.3","-9.0","1.2","1.0","716"
"Ben Grieve","TBD","136","561","19","62","64","8","12.3%","21.6%",".180",".297",".251",".353",".432",".344","","110","-3.6","3.7","-13.5","0.9","1209"
"Tony Batista","BAL","161","682","31","90","87","5","7.3%","15.7%",".213",".246",".244",".309",".457",".326","","100","-0.6","-0.3","-13.9","0.9","124"
"Michael Tucker","KCR","144","543","12","65","56","23","10.3%","19.3%",".158",".294",".248",".330",".406",".325","","90","3.3","-3.1","-6.5","0.9","635"
"Tony Womack","ARI","153","652","5","90","57","29","7.1%","12.3%",".081",".303",".271",".325",".353",".301","","75","6.9","-13.4","-0.6","0.7","78"
"Travis Lee","PHI","153","592","13","55","70","5","9.1%","17.6%",".129",".306",".265",".331",".394",".315","","91","-1.9","-8.9","-3.2","0.7","958"
"Jeromy Burnitz","NYM","154","550","19","65","54","10","10.5%","24.5%",".150",".257",".215",".311",".365",".300","","83","1.1","-10.8","-0.4","0.7","867"
"Marty Cordova","BAL","131","513","18","55","64","1","9.2%","21.6%",".181",".295",".253",".325",".434",".330","","103","-4.7","-3.0","-8.0","0.7","132"
"Terrence Long","OAK","162","640","16","71","67","3","7.5%","15.0%",".150",".262",".240",".298",".390",".299","","81","-0.5","-15.5","-0.4","0.6","927"
"Fernando Vina","STL","150","692","1","75","54","17","6.4%","5.2%",".068",".282",".270",".333",".338",".302","","82","-2.9","-18.3","1.2","0.5","1189"
"Kevin Young","PIT","146","525","16","60","51","4","9.5%","19.2%",".162",".280",".246",".322",".408",".320","","92","-0.4","-5.5","-6.8","0.5","1018"
"Jack Wilson","PIT","147","586","4","77","47","5","6.3%","12.6%",".080",".287",".252",".306",".332",".285","","69","6.2","-16.7","2.0","0.4","1017"
"Brian Daubach","BOS","137","506","20","62","78","2","10.1%","24.9%",".198",".325",".266",".348",".464",".351","","112","-3.2","4.6","-18.3","0.4","186"
"Mo Vaughn","NYM","139","558","26","67","72","0","10.6%","26.0%",".197",".314",".259",".349",".456",".350","","115","-5.8","4.8","-19.5","0.3","899"
"Marlon Anderson","PHI","145","592","8","64","48","5","7.1%","12.0%",".122",".282",".258",".315",".380",".298","","79","0.2","-15.0","-1.7","0.3","947"
"Corey Patterson","CHC","153","628","14","71","54","18","3.0%","22.6%",".139",".308",".253",".284",".392",".293","","76","3.6","-14.9","-3.2","0.2","300"
"Jermaine Dye","OAK","131","555","24","74","86","2","9.4%","19.5%",".207",".274",".252",".333",".459",".343","","111","-2.5","5.0","-21.9","0.2","911"
"Jeffrey Hammonds","MIL","128","510","9","47","41","4","10.2%","16.9%",".141",".294",".257",".332",".397",".322","","93","-2.3","-6.8","-9.9","0.0","687"
"Steve Cox","TBD","148","633","16","65","72","5","9.5%","18.3%",".143",".290",".254",".330",".396",".319","","94","-1.2","-6.2","-15.6","0.0","1200"
"Barry Larkin","CIN","145","567","7","72","47","13","7.8%","10.1%",".122",".260",".245",".305",".367",".290","","70","2.8","-18.3","-1.2","-0.1","335"
"Brent Abernathy","TBD","117","504","2","46","40","10","5.0%","9.1%",".069",".264",".242",".288",".311",".269","","60","-0.2","-24.9","4.9","-0.3","1192"
"Roger Cedeno","NYM","149","562","7","65","41","25","7.5%","16.4%",".086",".304",".260",".318",".346",".297","","80","3.8","-10.0","-11.2","-0.3","869"
"Todd Zeile","COL","144","580","18","61","87","1","11.4%","15.9%",".152",".298",".273",".353",".425",".341","","89","-4.6","-12.6","-9.4","-0.3","457"
"Raul Mondesi","- - -","146","637","26","90","88","15","9.3%","16.2%",".200",".239",".232",".308",".432",".321","","93","3.7","-1.9","-23.6","-0.4","1314"
"Deivi Cruz","SDP","151","547","7","49","47","2","4.0%","10.6%",".103",".282",".263",".294",".366",".288","","78","-7.9","-23.3","0.9","-0.5","1025"
"Randall Simon","DET","130","506","19","51","82","0","2.6%","5.9%",".158",".286",".301",".320",".459",".332","","105","-5.3","-2.3","-22.7","-0.8","497"
"Aramis Ramirez","PIT","142","570","18","51","71","2","5.1%","16.7%",".153",".248",".234",".279",".387",".287","","70","-1.8","-23.0","-4.2","-0.9","1002"
"Vinny Castilla","ATL","143","578","12","56","61","4","3.8%","11.9%",".116",".244",".232",".268",".348",".267","","58","-3.9","-34.4","0.7","-1.5","84"
"Juan Uribe","COL","155","618","6","69","49","9","5.5%","19.4%",".101",".291",".240",".286",".341",".277","","46","1.0","-40.4","3.9","-1.6","454"
"Neifi Perez","KCR","145","585","3","65","37","8","3.4%","9.1%",".067",".254",".236",".260",".303",".247","","39","0.7","-43.6","-5.4","-2.9","620"
