"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","SFG","147","617","45","129","101","6","37.6%","6.6%",".450",".310",".362",".609",".812",".537","","233","-0.3","105.7","-4.4","11.9","1109"
"Adrian Beltre","LAD","156","657","48","104","121","7","8.1%","13.2%",".294",".325",".334",".388",".629",".423","","161","-2.2","49.5","27.8","9.7","639"
"Scott Rolen","STL","142","593","34","109","124","4","12.1%","15.5%",".284",".323",".314",".409",".598",".422","","159","4.4","49.3","23.4","9.0","970"
"J.D. Drew","ATL","145","645","31","118","93","12","18.3%","18.0%",".264",".340",".305",".436",".569",".429","","162","5.5","56.9","10.2","8.6","1152"
"Jim Edmonds","STL","153","612","42","102","111","8","16.5%","24.5%",".341",".344",".301",".418",".643",".436","","168","2.9","56.3","8.2","8.3","1153"
"Albert Pujols","STL","154","692","46","133","123","5","12.1%","7.5%",".326",".298",".331",".415",".657",".442","","171","1.0","64.7","-8.1","7.8","1177"
"Ichiro Suzuki","SEA","161","762","8","101","60","36","6.4%","8.3%",".082",".399",".372",".414",".455",".375","","131","3.5","33.9","12.9","7.1","1101"
"Todd Helton","COL","154","683","32","115","96","3","18.6%","10.5%",".272",".352",".347",".469",".620",".454","","166","3.0","60.7","-11.7","7.0","432"
"Alex Rodriguez","NYY","155","698","36","112","106","28","11.5%","18.8%",".226",".308",".286",".375",".512",".379","","131","4.5","32.4","11.5","6.6","1274"
"Carlos Beltran","- - -","159","708","38","121","104","42","13.0%","14.3%",".280",".261",".267",".367",".548",".383","","128","13.9","39.6","2.2","6.4","589"
"Melvin Mora","BAL","140","636","27","111","104","11","10.4%","14.9%",".222",".371",".340",".419",".562",".421","","159","-0.6","47.4","-5.1","6.2","157"
"Lance Berkman","HOU","160","687","30","104","106","9","18.5%","14.7%",".250",".339",".316",".450",".566",".430","","161","-2.8","50.8","-10.6","6.2","548"
"Miguel Tejada","BAL","162","725","34","107","150","4","6.6%","10.1%",".224",".302",".311",".360",".534",".376","","129","-2.3","24.8","12.2","6.0","941"
"Moises Alou","CHC","155","675","39","106","106","3","10.1%","11.9%",".265",".281",".293",".361",".557",".387","","133","-2.1","26.4","11.4","5.9","261"
"Vladimir Guerrero","ANA","156","680","39","124","126","15","7.6%","10.9%",".261",".329",".337",".391",".598",".411","","154","-0.2","47.0","-10.0","5.9","778"
"Mark Loretta","SDP","154","707","16","108","76","5","8.2%","6.4%",".160",".334",".335",".391",".495",".380","","137","0.9","34.6","1.6","5.8","1383"
"Aaron Rowand","CHW","140","534","24","94","69","17","5.6%","17.0%",".234",".340",".310",".361",".544",".385","","131","6.9","28.3","13.5","5.8","254"
"Bobby Abreu","PHI","159","713","30","118","105","40","17.8%","16.3%",".242",".329",".301",".428",".544",".413","","148","11.2","55.7","-20.9","5.7","945"
"Carlos Lee","CHW","153","658","31","103","99","11","8.2%","13.1%",".220",".310",".305",".366",".525",".379","","127","3.4","26.4","7.5","5.5","243"
"Carlos Guillen","DET","136","583","20","97","97","12","8.9%","14.9%",".224",".348",".318",".379",".542",".391","","141","3.6","33.8","2.0","5.4","1079"
"Eric Chavez","OAK","125","577","29","87","77","6","16.5%","17.2%",".225",".291",".276",".397",".501",".384","","133","0.4","25.0","10.2","5.3","906"
"Andruw Jones","ATL","154","646","29","85","91","6","11.0%","22.8%",".226",".303",".261",".345",".488",".353","","112","-3.9","6.0","26.7","5.3","96"
"Adam Dunn","CIN","161","681","46","105","102","6","15.9%","28.6%",".303",".321",".266",".388",".569",".402","","142","4.7","41.3","-10.1","5.3","319"
"Carl Crawford","TBD","152","672","11","104","55","59","5.2%","12.1%",".155",".322",".296",".331",".450",".335","","101","10.6","11.1","18.2","5.1","1201"
"Brad Wilkerson","MON","160","688","32","112","67","13","15.4%","22.1%",".243",".292",".255",".374",".498",".373","","121","4.4","23.3","5.0","5.0","804"
"Corey Patterson","CHC","157","687","24","91","72","32","6.6%","24.5%",".185",".327",".266",".320",".452",".329","","94","6.4","1.4","27.0","5.0","300"
"Brian Giles","SDP","159","711","23","97","94","10","12.5%","11.3%",".190",".291",".284",".374",".475",".365","","127","7.9","32.5","-5.0","5.0","990"
"Jimmy Rollins","PHI","154","725","14","119","73","30","7.9%","10.1%",".166",".308",".289",".348",".455",".347","","105","8.7","13.0","13.7","5.0","971"
"Ivan Rodriguez","DET","135","575","19","72","86","7","7.1%","15.8%",".176",".373",".334",".383",".510",".382","","134","-3.2","22.0","7.1","4.7","1275"
"Travis Hafner","CLE","140","576","28","96","109","3","11.8%","19.3%",".272",".350",".311",".410",".583",".418","","158","1.0","43.5","-14.6","4.7","1573"
"Derek Jeter","NYY","154","721","23","111","78","23","6.4%","13.7%",".179",".315",".292",".352",".471",".356","","117","2.4","17.7","6.1","4.7","826"
"Aubrey Huff","TBD","157","667","29","92","104","5","8.4%","11.1%",".197",".297",".297",".360",".493",".364","","120","1.5","18.8","5.0","4.5","1213"
"Jason Kendall","PIT","147","658","3","86","51","11","9.1%","6.2%",".071",".337",".319",".399",".390",".355","","112","1.2","11.6","12.8","4.5","993"
"Javy Lopez","BAL","150","638","23","83","86","0","7.4%","15.2%",".187",".344",".316",".370",".503",".373","","127","-3.6","18.7","5.1","4.4","103"
"Johnny Damon","BOS","150","702","20","123","94","19","10.8%","10.1%",".172",".317",".304",".380",".477",".372","","123","6.9","27.6","-7.0","4.3","185"
"Jack Wilson","PIT","157","693","11","82","59","8","3.8%","10.2%",".150",".330",".308",".335",".459",".341","","103","3.3","6.2","14.9","4.3","1017"
"Mark Teixeira","TEX","145","625","38","101","112","4","10.9%","18.7%",".279",".293",".281",".370",".560",".388","","129","-0.1","23.1","-0.9","4.2","1281"
"David Ortiz","BOS","150","669","41","94","139","0","11.2%","19.9%",".302",".322",".301",".380",".603",".408","","147","-3.8","36.0","-15.5","4.2","745"
"Jeff Kent","HOU","145","606","27","96","107","7","8.1%","15.8%",".243",".301",".289",".348",".531",".369","","121","-1.9","14.3","8.6","4.2","1119"
"Jim Thome","PHI","143","618","42","97","105","0","16.8%","23.3%",".307",".298",".274",".396",".581",".400","","140","-3.0","28.7","-7.0","4.1","409"
"Jorge Posada","NYY","137","547","21","72","81","1","16.1%","16.8%",".209",".300",".272",".400",".481",".384","","135","-7.8","16.3","7.5","4.1","841"
"Hank Blalock","TEX","159","713","32","107","110","2","10.5%","20.9%",".224",".310",".276",".355",".500",".363","","112","0.1","11.0","6.8","4.1","1419"
"Jason Varitek","BOS","137","536","18","67","73","10","11.6%","23.5%",".186",".372",".296",".390",".482",".375","","125","-1.6","15.5","8.0","4.1","217"
"Mike Lowell","FLA","158","671","27","87","85","5","9.5%","11.5%",".212",".298",".293",".365",".505",".370","","127","-4.0","19.2","-0.2","4.0","527"
"Mark Kotsay","OAK","148","673","15","78","63","8","8.2%","10.4%",".145",".333",".314",".370",".459",".358","","116","-1.7","12.2","6.0","4.0","1042"
"Vernon Wells","TOR","134","590","23","82","67","9","8.6%","14.1%",".200",".285",".272",".337",".472",".348","","106","4.7","9.5","11.3","4.0","1326"
"Juan Pierre","FLA","162","748","3","100","49","45","6.0%","4.7%",".081",".340",".326",".374",".407",".345","","110","6.9","16.9","-1.3","4.0","443"
"Coco Crisp","CLE","139","538","15","78","71","20","6.7%","12.8%",".149",".320",".297",".344",".446",".341","","107","0.3","5.0","17.3","4.0","1572"
"Randy Winn","SEA","157","703","14","84","81","21","7.5%","13.9%",".141",".317",".286",".346",".427",".337","","106","1.2","6.4","8.6","3.8","1235"
"Mike Cameron","NYM","140","562","30","76","76","22","10.1%","25.4%",".247",".260",".231",".319",".479",".341","","105","6.7","10.6","9.2","3.8","1070"
"Gary Sheffield","NYY","154","684","36","117","121","5","13.5%","12.1%",".244",".281",".290",".393",".534",".394","","141","0.3","36.5","-21.1","3.8","114"
"Aramis Ramirez","CHC","145","606","36","99","103","0","8.1%","10.2%",".260",".303",".318",".373",".578",".398","","140","-9.4","21.7","-4.0","3.7","1002"
"Julio Lugo","TBD","157","655","7","83","75","21","8.2%","16.2%",".120",".321",".275",".338",".396",".323","","93","5.6","-0.5","16.2","3.7","565"
"Orlando Hudson","TOR","135","551","12","73","58","7","9.3%","17.8%",".168",".313",".270",".341",".438",".339","","100","1.3","1.4","17.8","3.7","1307"
"David Bell","PHI","143","603","18","67","77","1","9.5%","12.4%",".167",".308",".291",".363",".458",".355","","110","-1.9","6.0","11.0","3.6","1108"
"Cesar Izturis","LAD","159","728","4","90","62","25","5.9%","9.6%",".093",".316",".288",".330",".381",".312","","88","3.3","-8.3","21.1","3.6","656"
"Eric Byrnes","OAK","143","632","20","91","73","17","7.3%","17.6%",".185",".318",".283",".347",".467",".352","","112","7.4","17.1","-1.8","3.6","905"
"Jeff Bagwell","HOU","156","679","27","104","89","6","14.1%","19.3%",".199",".300",".266",".377",".465",".365","","118","4.7","20.6","-6.6","3.6","547"
"Chone Figgins","ANA","148","638","5","83","60","34","7.7%","14.7%",".123",".346",".296",".350",".419",".337","","105","5.1","9.1","5.4","3.5","1580"
"Juan Uribe","CHW","134","553","23","82","74","9","5.8%","17.4%",".223",".307",".283",".327",".506",".352","","110","-3.0","3.8","13.2","3.5","454"
"Lew Ford","MIN","154","658","15","89","72","20","10.2%","11.4%",".148",".319",".299",".381",".446",".362","","118","1.9","16.8","-4.0","3.4","1724"
"Mark Bellhorn","BOS","138","620","17","93","82","6","14.2%","28.5%",".180",".364",".264",".373",".444",".359","","114","4.1","15.3","-1.3","3.4","264"
"Sean Casey","CIN","146","633","24","101","99","2","7.3%","5.7%",".210",".311",".324",".381",".534",".389","","133","-4.9","22.3","-8.5","3.4","314"
"Casey Blake","CLE","152","668","28","93","88","5","10.2%","20.8%",".215",".310",".271",".354",".486",".361","","120","-2.2","15.2","-3.5","3.4","719"
"Adam Kennedy","ANA","144","533","10","70","48","15","7.7%","17.3%",".128",".326",".278",".351",".406",".330","","101","1.5","1.8","14.4","3.4","19"
"Victor Martinez","CLE","141","591","23","77","108","0","10.2%","11.7%",".210",".286",".283",".359",".492",".359","","119","-6.1","8.4","5.7","3.3","393"
"Chipper Jones","ATL","137","567","30","69","96","2","14.8%","16.9%",".237",".246",".248",".362",".485",".360","","116","0.9","12.9","2.3","3.3","97"
"Manny Ramirez","BOS","152","663","43","108","130","2","12.4%","18.7%",".305",".324",".308",".397",".613",".417","","153","-7.6","37.0","-25.8","3.3","210"
"Milton Bradley","LAD","141","597","19","72","67","15","11.9%","20.6%",".157",".317",".267",".362",".424",".346","","110","0.6","8.5","4.9","3.3","369"
"Joe Randa","KCR","128","539","8","65","56","0","7.4%","14.3%",".122",".321",".287",".343",".408",".329","","91","0.7","-5.3","20.4","3.3","623"
"Luis Castillo","FLA","150","649","2","91","47","21","11.6%","10.5%",".057",".325",".291",".373",".348",".326","","98","4.3","2.4","8.9","3.2","513"
"Omar Vizquel","CLE","148","651","7","82","59","19","8.8%","9.5%",".097",".313",".291",".353",".388",".329","","99","6.2","5.3","5.6","3.2","411"
"Khalil Greene","SDP","139","554","15","67","65","4","9.6%","17.0%",".174",".305",".273",".349",".446",".339","","110","2.7","9.6","4.2","3.2","1826"
"Jeromy Burnitz","COL","150","606","37","94","110","5","9.6%","20.5%",".276",".304",".283",".356",".559",".383","","119","1.7","16.7","-4.8","3.1","867"
"Ronnie Belliard","CLE","152","663","12","78","70","3","9.0%","14.8%",".144",".320",".282",".348",".426",".337","","104","1.4","4.9","4.6","3.1","677"
"Erubiel Durazo","OAK","142","578","22","80","88","3","9.7%","18.0%",".202",".367",".321",".396",".523",".392","","139","0.2","28.6","-16.6","3.1","1413"
"D'Angelo Jimenez","CIN","152","652","12","76","67","13","12.6%","15.2%",".124",".308",".270",".364",".394",".338","","100","-3.3","-3.3","12.9","3.1","1038"
"Ray Durham","SFG","120","542","17","95","65","10","10.5%","11.1%",".202",".291",".282",".364",".484",".364","","120","1.9","15.8","-2.5","3.1","230"
"Raul Ibanez","SEA","123","524","16","67","62","1","6.9%","13.7%",".168",".327",".304",".353",".472",".353","","117","0.5","11.6","1.6","3.0","607"
"Hideki Matsui","NYY","162","680","31","109","108","3","12.9%","15.1%",".224",".314",".298",".390",".522",".391","","140","2.1","36.5","-28.8","3.0","1659"
"Derrek Lee","CHC","161","688","32","90","98","12","9.9%","18.6%",".226",".302",".278",".356",".504",".367","","119","-0.5","16.5","-10.8","2.8","525"
"Tony Womack","STL","145","606","5","91","38","26","5.9%","9.9%",".078",".334",".307",".349",".385",".324","","94","8.1","3.7","4.4","2.8","78"
"Rafael Furcal","ATL","143","632","14","103","59","29","9.2%","11.2%",".135",".296",".279",".344",".414",".330","","97","9.2","6.7","0.5","2.8","88"
"Michael Young","TEX","160","739","22","114","99","12","6.0%","12.0%",".170",".333",".313",".353",".483",".359","","110","5.3","14.6","-11.6","2.7","1286"
"Jose Guillen","ANA","148","621","27","88","104","5","6.0%","14.8%",".204",".310",".294",".352",".497",".362","","122","-2.6","14.8","-7.8","2.7","57"
"Johnny Estrada","ATL","134","517","9","56","76","0","7.5%","12.8%",".136",".348",".314",".378",".450",".358","","115","-5.0","5.1","4.9","2.7","955"
"Bobby Crosby","OAK","151","623","22","70","64","7","9.3%","22.6%",".187",".278",".239",".319",".426",".324","","93","-0.6","-5.9","11.8","2.6","1818"
"Ryan Freel","CIN","143","592","3","74","28","37","11.3%","14.9%",".091",".331",".277",".375",".368",".337","","99","4.6","4.1","2.6","2.6","1207"
"Torii Hunter","MIN","138","569","23","79","81","21","7.0%","17.8%",".204",".296",".271",".330",".475",".344","","106","0.6","4.9","2.2","2.6","731"
"Brian Roberts","BAL","159","736","4","107","53","29","9.6%","12.9%",".103",".312",".273",".344",".376",".320","","92","4.5","-3.2","4.4","2.6","166"
"Geoff Jenkins","MIL","157","681","27","88","93","3","6.8%","22.3%",".209",".306",".264",".325",".473",".336","","100","0.2","0.4","2.6","2.5","690"
"Vinny Castilla","COL","148","648","35","93","131","0","7.9%","17.4%",".264",".278",".271",".332",".535",".362","","105","-2.4","1.9","2.1","2.5","84"
"Phil Nevin","SDP","147","623","26","78","105","0","10.6%","19.4%",".203",".326",".289",".368",".492",".368","","129","-3.4","19.9","-15.5","2.5","1049"
"Carlos Delgado","TOR","128","551","32","74","99","0","12.5%","20.9%",".266",".283",".269",".372",".535",".378","","126","-5.1","13.2","-7.3","2.4","1297"
"Sammy Sosa","CHC","126","539","35","69","80","0","10.4%","24.7%",".264",".275",".253",".332",".517",".358","","114","-3.1","6.3","-0.4","2.3","302"
"Miguel Cabrera","FLA","160","685","33","101","112","5","9.9%","21.6%",".219",".335",".294",".366",".512",".374","","129","-1.3","24.3","-23.5","2.3","1744"
"Steve Finley","- - -","162","706","36","92","94","9","8.6%","11.6%",".220",".259",".271",".333",".490",".351","","108","0.2","7.3","-7.7","2.3","54"
"Michael Barrett","CHC","134","506","16","55","65","1","6.5%","12.6%",".202",".299",".287",".337",".489",".349","","107","-2.8","2.0","4.3","2.3","762"
