"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Barry Bonds","SFG","24","100","8","22","17","1","32.0%","5.0%",".453",".314",".375",".600",".828",".560","","255","-0.2","19.2","-0.3","2.2","1109"
"Jim Edmonds","STL","23","98","7","18","20","1","21.4%","21.4%",".368",".417",".355",".500",".724",".500","","213","0.1","14.0","1.5","1.9","1153"
"Vladimir Guerrero","MON","26","126","7","22","28","7","15.1%","8.7%",".311",".368",".379",".476",".689",".475","","192","-0.5","14.0","-0.2","1.8","778"
"Alex Rodriguez","TEX","25","116","9","20","28","0","11.2%","13.8%",".357",".280",".306",".397",".663",".436","","166","0.7","10.1","3.1","1.7","1274"
"Torii Hunter","MIN","27","115","9","23","20","5","7.0%","18.3%",".305",".390",".371",".409",".676",".453","","181","0.0","11.5","1.0","1.6","731"
"Cliff Floyd","FLA","24","106","10","23","20","2","17.9%","17.9%",".386",".296",".313",".462",".699",".473","","197","0.5","13.4","-1.5","1.5","518"
"Mike Lowell","FLA","26","113","5","14","18","0","8.0%","14.2%",".288",".422",".385",".434",".673",".468","","194","-0.7","12.5","-1.1","1.5","527"
"Scott Rolen","PHI","27","117","5","20","21","1","11.1%","17.9%",".284",".312",".284",".368",".569",".397","","145","-0.5","6.1","3.3","1.3","970"
"Eric Chavez","OAK","21","91","9","19","21","0","11.0%","25.3%",".438",".265",".275",".352",".713",".433","","171","0.4","8.3","1.7","1.3","906"
"Andruw Jones","ATL","27","125","8","19","16","3","12.0%","24.0%",".262",".286",".262",".360",".523",".380","","132","0.3","5.3","3.4","1.3","96"
"Alfonso Soriano","NYY","27","121","5","21","16","6","3.3%","25.6%",".252",".438",".348",".372",".600",".413","","157","0.8","9.3","-0.8","1.3","847"
"Manny Ramirez","BOS","23","103","7","21","26","0","22.3%","8.7%",".333",".317",".346",".495",".679",".480","","199","-1.1","11.4","-2.7","1.2","210"
"Melvin Mora","BAL","23","101","3","18","9","7","19.8%","14.9%",".187",".298",".267",".455",".453",".411","","157","0.4","7.5","0.9","1.2","157"
"Mike Cameron","SEA","25","106","5","21","12","3","16.0%","29.2%",".239",".308",".239",".368",".477",".367","","131","1.7","5.7","2.3","1.2","1070"
"Johnny Damon","BOS","21","98","3","24","13","9","8.2%","6.1%",".174",".354",".360",".412",".535",".404","","148","1.7","7.6","0.6","1.2","185"
"Jose Hernandez","MIL","26","95","5","12","17","0","10.5%","30.5%",".274",".431",".321",".389",".595",".414","","154","-0.9","5.6","2.7","1.1","688"
"Sammy Sosa","CHC","24","105","8","20","13","0","15.2%","19.0%",".352",".333",".318",".429",".670",".455","","183","0.1","11.0","-3.2","1.1","302"
"Carlos Delgado","TOR","24","110","6","19","16","1","21.8%","23.6%",".293",".340",".280",".464",".573",".436","","168","-0.5","8.8","-1.7","1.1","1297"
"Albert Pujols","STL","26","117","5","25","19","1","17.9%","10.3%",".263",".291",".295",".419",".558",".419","","160","0.1","8.8","-1.8","1.1","1177"
"Jacque Jones","MIN","26","120","5","17","16","2","7.5%","15.8%",".213",".322",".306",".350",".519",".369","","125","0.9","4.5","2.2","1.1","735"
"Michael Barrett","MON","21","82","4","10","17","0","11.0%","12.2%",".290",".357",".348",".418",".638",".438","","167","-0.8","6.2","1.6","1.0","762"
"Kenny Lofton","CHW","25","113","1","28","13","13","11.5%","11.5%",".091",".388",".343",".420",".434",".382","","132","1.7","6.1","-0.1","1.0","246"
