"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ben Zobrist","TBR","152","599","27","91","91","17","15.2%","17.4%",".246",".326",".297",".405",".543",".407","","152","4.6","43.7","22.3","8.7","7435"
"Joe Mauer","MIN","138","606","28","94","96","4","12.5%","10.4%",".222",".373",".365",".444",".587",".438","","170","-2.1","50.8","11.9","8.4","1857"
"Albert Pujols","STL","160","700","47","124","135","16","16.4%","9.1%",".331",".299",".327",".443",".658",".447","","180","1.6","70.5","-8.8","8.4","1177"
"Chase Utley","PHI","156","687","31","112","93","23","12.8%","16.0%",".226",".300",".282",".397",".508",".394","","141","12.3","46.8","13.4","8.2","1679"
"Evan Longoria","TBR","157","671","33","100","113","9","10.7%","20.9%",".245",".313",".281",".364",".526",".377","","132","-0.4","26.8","21.6","7.2","9368"
"Hanley Ramirez","FLA","151","652","24","101","106","27","9.4%","15.5%",".201",".379",".342",".410",".543",".407","","149","5.1","44.0","6.2","7.1","8001"
"Derek Jeter","NYY","153","716","18","107","66","30","10.1%","12.6%",".131",".368",".334",".406",".465",".385","","130","2.5","29.6","12.2","6.7","826"
"Chone Figgins","LAA","158","729","5","114","54","42","13.9%","15.6%",".096",".356",".298",".395",".393",".357","","116","7.1","21.6","18.5","6.6","1580"
"Ryan Zimmerman","WSN","157","694","33","110","106","2","10.4%","17.1%",".233",".310",".292",".364",".525",".377","","130","4.0","29.6","14.1","6.6","4220"
"Brian McCann","ATL","138","551","21","63","94","4","8.9%","15.1%",".205",".297",".281",".349",".486",".359","","119","-4.9","8.3","36.9","6.3","4810"
"Franklin Gutierrez","SEA","153","629","18","85","70","16","7.3%","19.4%",".142",".333",".283",".339",".425",".335","","104","2.2","5.5","33.4","6.1","3255"
"Carl Crawford","TBR","156","672","15","96","68","60","7.6%","14.7%",".147",".342",".305",".364",".452",".358","","120","8.3","24.8","10.9","5.9","1201"
"Kevin Youkilis","BOS","136","588","27","99","94","7","13.1%","21.3%",".242",".359",".305",".413",".548",".413","","147","1.9","36.6","1.9","5.9","1935"
"Prince Fielder","MIL","162","719","46","103","141","2","15.3%","19.2%",".303",".315",".299",".412",".602",".422","","161","-5.7","48.5","-12.1","5.9","4613"
"Adrian Gonzalez","SDP","160","681","40","90","99","1","17.5%","16.0%",".274",".278",".277",".407",".551",".404","","156","-5.8","41.3","-5.1","5.8","1908"
"Ichiro Suzuki","SEA","146","678","11","88","46","26","4.7%","10.5%",".113",".384",".352",".386",".465",".367","","125","7.6","29.1","2.1","5.5","1101"
"Matt Holliday","- - -","156","670","24","94","109","14","10.7%","15.1%",".201",".341",".313",".394",".515",".391","","141","0.5","34.7","-3.3","5.4","1873"
"Troy Tulowitzki","COL","151","628","32","101","92","20","11.6%","17.8%",".256",".316",".297",".377",".552",".395","","132","-1.2","23.6","9.7","5.3","3531"
