"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Robinson Cano","NYY","22","94","8","21","18","2","6.4%","10.6%",".365",".377",".400",".436",".765",".504","","219","-0.3","12.9","0.2","1.7","3269"
"Justin Morneau","MIN","21","96","5","18","17","0","21.9%","14.6%",".293",".375",".347",".490",".640",".479","","205","-0.4","11.5","0.8","1.6","1737"
"Kelly Johnson","ARI","22","94","9","17","18","0","13.8%","18.1%",".438",".291",".313",".404",".750",".480","","196","-0.2","10.6","1.3","1.5","2234"
"Chase Utley","PHI","22","102","6","19","15","1","19.6%","15.7%",".275",".276",".275",".431",".550",".429","","168","1.0","9.3","2.4","1.5","1679"
"Evan Longoria","TBR","23","100","5","22","18","3","10.0%","24.0%",".261",".410",".341",".400",".602",".422","","171","0.3","8.6","2.2","1.5","9368"
"Vernon Wells","TOR","24","101","8","20","16","1","7.9%","15.8%",".380",".338",".337",".396",".717",".467","","196","0.0","11.5","-0.8","1.5","1326"
"Carl Crawford","TBR","23","102","2","17","13","7","8.8%","14.7%",".213",".378",".337",".390",".551",".403","","158","1.4","8.4","1.7","1.4","1201"
"Colby Rasmus","STL","22","83","6","19","12","3","20.5%","26.5%",".385",".405",".323",".463",".708",".484","","207","1.0","11.6","-0.6","1.4","9893"
"Nelson Cruz","TEX","19","74","7","12","17","5","13.5%","27.0%",".435",".361",".323",".419",".758",".482","","200","1.1","9.8","0.9","1.4","2434"
"Austin Jackson","DET","23","109","1","20","7","5","9.2%","29.4%",".131",".530",".364",".422",".495",".404","","153","1.3","8.0","1.2","1.4","9848"
"Alex Gonzalez","TOR","24","101","7","14","19","1","3.0%","23.8%",".340",".318",".289",".317",".629",".402","","152","-0.3","5.8","2.6","1.2","520"
"Albert Pujols","STL","22","100","7","15","19","1","13.0%","14.0%",".310",".348",".345",".430",".655",".447","","182","0.2","10.0","-1.4","1.2","1177"
"Ryan Braun","MIL","23","107","5","19","20","6","11.2%","11.2%",".226",".364",".355",".430",".581",".438","","174","1.6","11.0","-2.7","1.2","3410"
