"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alex Rodriguez","NYY","162","715","48","124","130","21","12.7%","19.4%",".289",".347",".321",".421",".610",".436","","174","2.2","66.6","-0.2","9.1","1274"
"Andruw Jones","ATL","160","672","51","95","128","5","9.5%","16.7%",".312",".240",".263",".347",".575",".383","","134","-0.9","27.9","28.5","7.9","96"
"Albert Pujols","STL","161","700","41","129","117","16","13.9%","9.3%",".279",".316",".330",".430",".609",".432","","167","4.9","64.1","-9.9","7.7","1177"
"Chase Utley","PHI","147","628","28","93","105","16","11.0%","17.4%",".249",".315",".291",".376",".540",".388","","134","4.7","31.8","19.1","7.2","1679"
"Derrek Lee","CHC","158","691","46","120","107","15","12.3%","15.8%",".327",".343",".335",".418",".662",".444","","170","0.0","61.0","-14.2","7.0","525"
"Brian Roberts","BAL","143","640","18","92","73","27","10.5%","13.0%",".201",".341",".314",".387",".515",".387","","140","3.5","34.8","11.5","6.8","166"
"Jim Edmonds","STL","142","567","29","88","89","5","16.0%","24.5%",".270",".310",".263",".385",".533",".389","","139","4.0","31.7","10.9","6.1","1153"
"Morgan Ensberg","HOU","150","624","36","86","101","6","13.6%","19.1%",".274",".301",".283",".388",".557",".399","","144","-2.9","31.6","8.6","6.1","556"
"Mark Teixeira","TEX","162","730","43","112","144","4","9.9%","17.0%",".273",".315",".301",".379",".575",".404","","147","2.3","44.1","-9.8","5.9","1281"
"Brian Giles","SDP","158","674","15","92","83","13","17.7%","9.5%",".182",".314",".301",".423",".483",".392","","147","3.3","43.1","-6.3","5.9","990"
"David Wright","NYM","160","657","27","99","102","17","11.0%","17.2%",".217",".340",".306",".388",".523",".393","","142","4.3","38.8","-2.7","5.8","3787"
"Jason Bay","PIT","162","707","32","110","101","21","13.4%","20.1%",".254",".350",".306",".402",".559",".407","","150","9.3","53.4","-19.6","5.7","1717"
"Grady Sizemore","CLE","158","706","22","111","81","22","7.4%","18.7%",".195",".334",".289",".348",".484",".359","","123","2.8","22.3","9.5","5.6","2197"
"Placido Polanco","- - -","129","551","9","84","56","4","6.0%","4.5%",".116",".333",".331",".383",".447",".365","","124","0.7","16.9","18.4","5.4","1176"
"Travis Hafner","CLE","137","578","33","94","108","0","13.7%","21.3%",".290",".344",".305",".408",".595",".423","","166","0.5","46.9","-13.6","5.3","1573"
"David Ortiz","BOS","159","713","47","119","148","1","14.3%","17.4%",".304",".303",".300",".397",".604",".418","","157","-4.1","45.7","-17.0","5.3","745"
"Vladimir Guerrero","LAA","141","594","32","95","108","13","10.3%","8.1%",".248",".299",".317",".394",".565",".397","","148","-0.6","34.4","-1.8","5.3","778"
"Coco Crisp","CLE","145","656","16","86","69","15","6.7%","12.3%",".165",".323",".300",".345",".465",".350","","116","5.5","18.6","11.4","5.2","1572"
"Eric Chavez","OAK","160","694","27","92","101","6","8.4%","18.6%",".197",".295",".269",".329",".466",".340","","110","6.3","15.0","13.1","5.2","906"
"Marcus Giles","ATL","152","654","15","104","63","16","9.8%","16.5%",".170",".334",".291",".365",".461",".360","","119","3.5","19.1","11.0","5.2","89"
"Miguel Cabrera","FLA","158","685","33","106","116","1","9.3%","18.2%",".238",".358",".323",".385",".561",".399","","146","-1.0","39.0","-10.0","5.1","1744"
"Randy Winn","- - -","160","683","20","85","63","19","7.0%","13.3%",".193",".332",".306",".360",".499",".368","","127","3.8","27.3","0.5","5.1","1235"
"Geoff Jenkins","MIL","148","618","25","87","86","0","9.1%","22.3%",".221",".347",".292",".375",".513",".379","","130","-2.5","20.4","7.8","4.9","690"
"Carl Crawford","TBD","156","687","15","101","81","46","3.9%","12.2%",".168",".325",".301",".331",".469",".343","","112","7.6","17.3","7.2","4.8","1201"
"Miguel Tejada","BAL","162","704","26","89","98","5","5.7%","11.8%",".211",".316",".304",".349",".515",".367","","126","-2.1","20.5","2.7","4.7","941"
"Victor Martinez","CLE","147","622","20","73","80","0","10.1%","12.5%",".170",".322",".305",".378",".475",".367","","128","-4.5","16.6","9.4","4.7","393"
"Felipe Lopez","CIN","148","648","23","97","85","15","8.8%","17.1%",".195",".322",".291",".352",".486",".360","","116","3.9","17.4","8.0","4.7","1311"
"Julio Lugo","TBD","158","690","6","89","57","39","8.8%","10.4%",".107",".325",".295",".362",".403",".339","","109","5.9","13.4","8.8","4.6","565"
"Rafael Furcal","ATL","154","689","12","100","58","46","9.0%","11.3%",".144",".307",".284",".348",".429",".338","","105","7.5","11.7","11.0","4.5","88"
"Derek Jeter","NYY","159","752","19","122","70","14","10.2%","15.6%",".141",".351",".309",".389",".450",".369","","129","0.2","26.4","-8.1","4.4","826"
"Jhonny Peralta","CLE","141","570","24","82","78","0","10.2%","22.5%",".228",".346",".292",".366",".520",".378","","136","-1.8","23.0","0.3","4.3","1738"
"Melvin Mora","BAL","149","664","27","86","88","7","7.5%","16.9%",".191",".309",".283",".348",".474",".357","","120","-2.6","13.2","6.5","4.2","157"
"Jason Giambi","NYY","139","545","32","74","87","0","19.8%","20.0%",".264",".292",".271",".440",".535",".422","","165","-1.7","41.4","-18.0","4.2","818"
"Nick Johnson","WSN","131","547","15","66","74","3","14.6%","15.9%",".190",".329",".289",".408",".479",".385","","138","-5.4","20.9","2.8","4.2","828"
"Michael Young","TEX","159","732","24","114","91","5","7.9%","12.4%",".183",".354",".331",".385",".513",".389","","136","0.8","33.2","-16.7","4.1","1286"
"Todd Helton","COL","144","626","20","92","79","3","16.9%","12.8%",".214",".349",".320",".445",".534",".416","","145","-4.6","30.9","-10.8","4.1","432"
"David DeJesus","KCR","122","523","9","69","56","5","8.0%","14.5%",".152",".330",".293",".359",".445",".350","","112","4.9","12.6","9.5","4.0","1825"
"Richie Sexson","SEA","156","656","39","99","121","1","13.6%","25.5%",".278",".304",".263",".369",".541",".387","","144","-0.9","34.1","-16.5","4.0","709"
"Chad Tracy","ARI","145","553","27","73","72","3","6.3%","14.1%",".245",".317",".308",".359",".553",".385","","130","3.4","24.0","-3.0","3.9","1888"
"Jimmy Rollins","PHI","158","732","12","115","54","41","6.4%","9.7%",".142",".309",".290",".338",".431",".332","","97","10.3","7.6","7.4","3.9","971"
"Bobby Abreu","PHI","162","719","24","104","102","31","16.3%","18.6%",".189",".329",".286",".405",".474",".379","","128","4.1","29.4","-14.5","3.8","945"
"Luis Castillo","FLA","122","524","4","72","30","10","12.4%","6.1%",".073",".317",".301",".391",".374",".346","","112","0.9","8.7","12.1","3.8","513"
"Paul Konerko","CHW","158","664","40","98","100","0","12.2%","16.4%",".250",".287",".283",".375",".534",".386","","136","-3.1","26.5","-11.3","3.8","242"
"Aaron Rowand","CHW","157","640","13","77","69","16","5.0%","18.1%",".137",".316",".270",".329",".407",".322","","93","1.6","-3.8","19.7","3.8","254"
"Jose Guillen","WSN","148","611","24","81","76","1","5.1%","16.7%",".196",".304",".283",".338",".479",".348","","114","0.3","11.0","6.1","3.7","57"
"Cliff Floyd","NYM","150","626","34","85","98","12","10.1%","15.7%",".233",".276",".273",".358",".505",".366","","124","3.7","22.7","-6.1","3.7","518"
"Jeff Kent","LAD","149","637","29","100","105","6","11.3%","13.3%",".222",".296",".289",".377",".512",".380","","133","-5.4","20.8","-5.3","3.6","1119"
"Ichiro Suzuki","SEA","162","739","15","111","68","33","6.5%","8.9%",".133",".316",".303",".350",".436",".331","","106","8.1","13.1","-2.5","3.6","1101"
"Jason Varitek","BOS","133","539","22","70","70","2","11.5%","21.7%",".209",".329",".281",".366",".489",".369","","124","-2.1","13.6","3.3","3.5","217"
"Orlando Cabrera","LAA","141","587","8","70","57","21","6.5%","8.5%",".107",".271",".257",".309",".365",".295","","80","3.8","-10.8","26.0","3.5","766"
"Bill Mueller","BOS","150","590","10","69","62","0","10.0%","12.5%",".135",".324",".295",".369",".430",".350","","111","-4.9","3.0","11.6","3.5","295"
"Bill Hall","MIL","146","546","17","69","62","18","7.1%","18.9%",".204",".336",".291",".342",".495",".358","","116","2.4","13.3","3.3","3.4","1605"
"Joe Mauer","MIN","131","554","9","61","55","13","11.0%","11.6%",".117",".322",".294",".372",".411",".340","","108","2.6","8.2","7.2","3.4","1857"
"Adam Dunn","CIN","160","671","40","107","101","4","17.0%","25.0%",".293",".279",".247",".387",".540",".392","","138","4.1","35.7","-24.4","3.3","319"
"Ronnie Belliard","CLE","145","587","17","71","78","2","6.0%","12.3%",".166",".297",".284",".325",".450",".334","","106","1.6","5.7","7.6","3.3","677"
"Jorge Posada","NYY","142","546","19","67","71","1","12.1%","17.2%",".169",".288",".262",".352",".430",".341","","110","-0.8","5.5","8.9","3.3","841"
"Carlos Delgado","FLA","144","616","33","81","115","0","11.7%","19.6%",".280",".332",".301",".399",".582",".407","","152","-2.3","38.1","-25.6","3.3","1297"
"Tadahito Iguchi","CHW","135","582","15","74","71","15","8.1%","19.6%",".160",".327",".278",".342",".438",".340","","105","2.7","6.5","6.3","3.3","8581"
"Brandon Inge","DET","160","694","16","75","72","7","9.1%","20.2%",".157",".311",".261",".330",".419",".327","","100","0.6","1.0","7.9","3.2","470"
"Ivan Rodriguez","DET","129","525","14","71","50","7","2.1%","17.7%",".169",".309",".276",".290",".444",".312","","90","2.2","-4.1","18.5","3.2","1275"
"Pat Burrell","PHI","154","669","32","78","117","0","14.8%","23.9%",".222",".336",".281",".389",".504",".384","","131","-6.7","19.8","-9.8","3.2","949"
"Troy Glaus","ARI","149","634","37","78","97","4","13.2%","22.9%",".264",".283",".258",".363",".522",".379","","125","2.6","22.9","-12.1","3.2","15"
