"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Josh Hamilton","TEX","133","571","32","95","100","8","7.5%","16.6%",".274",".390",".359",".411",".633",".445","","175","4.9","55.3","5.9","8.4","1875"
"Carl Crawford","TBR","154","663","19","110","90","47","6.9%","15.7%",".188",".342",".307",".356",".495",".369","","135","13.3","40.2","11.1","7.7","1201"
"Evan Longoria","TBR","151","661","22","96","104","15","10.9%","18.8%",".213",".336",".294",".372",".507",".376","","139","4.5","35.0","14.4","7.5","9368"
"Joey Votto","CIN","150","648","37","106","113","16","14.0%","19.3%",".276",".361",".324",".424",".600",".438","","172","1.1","57.0","-10.1","6.9","4314"
"Albert Pujols","STL","159","700","42","115","118","14","14.7%","10.9%",".284",".297",".312",".414",".596",".419","","164","0.9","54.2","-10.0","6.8","1177"
"Brian McCann","ATL","143","566","21","63","77","5","13.1%","17.3%",".184",".297",".269",".375",".453",".362","","123","-6.4","9.4","38.0","6.7","4810"
"Ryan Zimmerman","WSN","142","603","25","85","85","4","11.4%","16.3%",".204",".334",".307",".388",".510",".390","","142","-0.8","29.3","15.8","6.6","4220"
"Jose Bautista","TOR","161","683","54","109","124","9","14.6%","17.0%",".357",".233",".260",".378",".617",".422","","165","-0.9","51.6","-12.8","6.5","1887"
"Adrian Beltre","BOS","154","641","28","84","102","2","6.2%","12.8%",".233",".331",".321",".365",".553",".391","","140","-3.4","26.9","12.7","6.4","639"
"Robinson Cano","NYY","160","696","29","103","109","3","8.2%","11.1%",".214",".326",".319",".381",".534",".391","","143","0.8","35.7","1.7","6.4","3269"
"Andres Torres","SFG","139","570","16","84","63","26","9.8%","22.5%",".211",".331",".268",".343",".479",".358","","125","5.6","22.7","20.4","6.3","1488"
"Matt Holliday","STL","158","675","28","95","103","9","10.2%","13.8%",".220",".331",".312",".390",".532",".397","","149","-1.1","38.9","0.3","6.2","1873"
"Brett Gardner","NYY","150","569","5","97","47","47","13.9%","17.8%",".103",".340",".277",".383",".379",".346","","112","10.9","19.0","20.5","6.2","9927"
"Shin-Soo Choo","CLE","144","646","22","81","90","22","12.8%","18.3%",".184",".347",".300",".401",".484",".386","","145","1.9","36.0","-0.3","6.1","3174"
"Miguel Cabrera","DET","150","648","38","111","126","3","13.7%","14.7%",".294",".336",".328",".420",".622",".431","","171","-1.9","52.0","-16.4","6.1","1744"
"Rickie Weeks Jr.","MIL","160","754","29","112","83","11","10.1%","24.4%",".195",".332",".269",".366",".464",".368","","127","6.3","30.6","3.7","5.9","1849"
"Carlos Gonzalez","COL","145","636","34","111","117","26","6.3%","21.2%",".262",".384",".336",".376",".598",".413","","144","6.8","40.6","-4.7","5.7","7287"
"Aubrey Huff","SFG","157","668","26","100","86","7","12.4%","13.6%",".216",".303",".290",".385",".506",".387","","144","1.1","36.2","-1.3","5.7","1213"
"Joe Mauer","MIN","137","584","9","88","75","1","11.1%","9.1%",".141",".348",".327",".402",".469",".377","","135","0.4","24.4","9.8","5.7","1857"
"Troy Tulowitzki","COL","122","529","27","89","95","11","9.1%","14.7%",".253",".327",".315",".381",".568",".406","","140","-0.2","25.1","12.1","5.5","3531"
"Kelly Johnson","ARI","154","671","26","93","71","13","11.8%","22.1%",".212",".339",".284",".370",".496",".378","","129","-1.8","21.3","9.5","5.3","2234"
"Chase Utley","PHI","115","511","16","75","65","13","12.3%","12.3%",".169",".288",".275",".387",".445",".370","","128","5.8","23.1","12.1","5.2","1679"
"Jay Bruce","CIN","148","573","25","80","70","5","10.1%","23.7%",".212",".334",".281",".353",".493",".365","","124","2.1","18.3","13.4","5.1","9892"
"Jayson Werth","PHI","156","652","27","106","85","13","12.6%","22.5%",".236",".352",".296",".388",".532",".396","","146","6.1","41.7","-12.7","5.0","1327"
"Yadier Molina","STL","136","521","6","34","62","8","8.1%","9.8%",".080",".281",".262",".329",".342",".300","","84","-5.8","-15.7","48.3","5.0","7007"
"Daric Barton","OAK","159","686","10","79","57","7","16.0%","14.9%",".131",".316",".273",".393",".405",".360","","126","2.3","23.7","0.4","5.0","5928"
"Angel Pagan","NYM","151","633","11","80","69","37","7.0%","15.3%",".135",".331",".290",".340",".425",".334","","108","7.1","13.1","15.0","4.9","2918"
"Stephen Drew","ARI","151","633","15","83","61","10","9.8%","17.1%",".181",".321",".278",".352",".458",".355","","113","1.5","11.5","15.4","4.8","4251"
"Ichiro Suzuki","SEA","162","732","6","74","43","42","6.1%","11.7%",".079",".353",".315",".359",".394",".331","","110","4.6","13.5","6.6","4.8","1101"
"Jason Heyward","ATL","142","623","18","83","72","11","14.6%","20.5%",".179",".335",".277",".393",".456",".377","","134","1.8","27.0","-1.0","4.6","4940"
"Dan Uggla","FLA","159","674","33","100","105","4","11.6%","22.1%",".221",".330",".287",".369",".508",".382","","135","0.0","28.3","-4.5","4.6","3442"
"Scott Rolen","CIN","133","537","20","66","83","1","9.3%","15.3%",".212",".302",".285",".358",".497",".369","","126","-0.9","15.9","11.8","4.6","970"
"Nick Swisher","NYY","150","635","29","91","89","1","9.1%","21.9%",".223",".335",".288",".359",".511",".379","","134","-1.2","24.5","-4.5","4.4","4599"
"Michael Bourn","HOU","141","605","2","84","38","52","9.8%","18.0%",".080",".329",".265",".341",".346",".308","","89","10.5","2.2","21.8","4.4","6387"
"Adrian Gonzalez","SDP","160","693","31","87","101","0","13.4%","16.5%",".213",".322",".298",".393",".511",".379","","142","-1.9","33.3","-12.2","4.4","1908"
"Chase Headley","SDP","161","674","11","77","58","17","8.3%","20.6%",".111",".323",".264",".327",".375",".313","","98","3.5","1.7","19.0","4.2","4720"
"Alexei Ramirez","CHW","156","626","18","83","70","13","4.3%","13.1%",".149",".300",".282",".313",".431",".324","","95","3.9","0.5","17.6","4.2","5133"
"Chris Young","ARI","156","664","27","94","91","28","11.1%","21.8%",".195",".296",".257",".341",".452",".350","","109","6.2","13.7","6.3","4.2","3882"
"Hanley Ramirez","FLA","142","619","21","92","76","32","10.3%","15.0%",".175",".327",".300",".378",".475",".369","","127","4.6","24.5","-3.2","4.1","8001"
"Austin Jackson","DET","151","675","4","103","41","27","7.0%","25.2%",".107",".396",".293",".345",".400",".329","","101","7.3","8.3","7.5","4.1","9848"
"Alex Rodriguez","NYY","137","595","30","74","125","4","9.9%","16.5%",".236",".274",".270",".341",".506",".365","","125","0.3","17.6","-0.1","4.0","1274"
"Curtis Granderson","NYY","136","528","24","76","67","12","10.0%","22.0%",".221",".277",".247",".324",".468",".344","","110","4.0","10.5","9.2","4.0","4747"
"Colby Rasmus","STL","144","534","23","85","66","12","11.8%","27.7%",".222",".354",".276",".361",".498",".369","","130","6.7","26.1","-4.1","4.0","9893"
"Marlon Byrd","CHC","152","630","12","84","66","5","4.9%","15.6%",".136",".335",".293",".346",".429",".343","","108","0.4","6.4","12.2","3.9","950"
"Melvin Upton Jr.","TBR","154","610","18","89","62","42","11.0%","26.9%",".187",".304",".237",".322",".424",".328","","107","8.2","13.4","2.8","3.9","5015"
"Ben Zobrist","TBR","151","655","10","77","75","24","14.0%","16.3%",".115",".273",".238",".346",".353",".317","","100","6.9","6.6","7.4","3.8","7435"
"Martin Prado","ATL","140","651","15","100","66","5","6.1%","13.2%",".152",".335",".307",".350",".459",".353","","118","4.4","18.3","-1.2","3.8","3312"
"Brandon Phillips","CIN","155","687","18","100","59","16","6.7%","12.1%",".155",".293",".275",".332",".430",".336","","104","1.7","5.0","10.4","3.8","791"
"Victor Martinez","BOS","127","538","20","64","79","1","7.4%","9.7%",".191",".303",".302",".351",".493",".364","","122","-2.6","11.4","5.4","3.7","393"
"Ryan Braun","MIL","157","685","25","101","103","14","8.2%","15.3%",".197",".331",".304",".365",".501",".378","","134","4.4","32.2","-17.2","3.7","3410"
"Vernon Wells","TOR","157","646","31","79","88","6","7.7%","13.0%",".242",".272",".273",".331",".515",".363","","126","-1.4","18.1","-5.3","3.7","1326"
"Placido Polanco","PHI","132","602","6","76","52","5","5.3%","7.8%",".088",".312",".298",".339",".386",".322","","96","2.0","-0.6","17.2","3.6","1176"
