"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Manny Machado","BAL","23","104","7","20","16","0","6.7%","16.3%",".323",".361",".344",".394",".667",".441","","182","-0.6","9.7","1.8","1.5","11493"
"Dexter Fowler","CHC","21","95","3","19","15","2","17.9%","20.0%",".267",".426",".347",".474",".613",".457","","189","1.3","11.7","0.3","1.5","4062"
"Jose Altuve","HOU","24","110","6","20","13","9","10.9%","12.7%",".305",".307",".305",".400",".611",".425","","175","1.2","11.1","-0.5","1.5","5417"
"Josh Donaldson","TOR","25","111","8","24","20","1","11.7%","23.4%",".354",".323",".292",".387",".646",".430","","175","0.1","10.1","0.4","1.5","5038"
"Bryce Harper","WSN","23","96","9","16","24","5","17.7%","13.5%",".429",".228",".286",".406",".714",".443","","177","0.9","10.1","-0.3","1.3","11579"
"Michael Conforto","NYM","21","86","4","15","18","1","10.5%","17.4%",".311",".411",".365",".442",".676",".462","","198","0.1","10.4","-0.3","1.3","16376"
"Logan Forsythe","TBR","22","94","4","14","10","3","11.7%","21.3%",".268",".414",".341",".426",".610",".437","","182","0.4","9.7","-0.3","1.3","7185"
"Colby Rasmus","HOU","24","95","7","11","19","1","18.9%","23.2%",".316",".271",".263",".400",".579",".411","","166","-0.2","7.3","1.8","1.3","9893"
"Aledmys Diaz","STL","22","75","4","18","13","1","5.3%","5.3%",".310",".413",".423",".453",".732",".494","","216","-0.1","10.6","-0.7","1.3","15937"
"Christian Yelich","MIA","23","102","1","13","9","1","17.6%","16.7%",".136",".422",".346",".471",".481",".417","","167","-0.3","8.1","0.4","1.2","11477"
"Nolan Arenado","COL","23","101","10","21","22","0","9.9%","9.9%",".374",".254",".308",".376",".681",".436","","160","0.0","7.4","0.8","1.2","9777"
"Neil Walker","NYM","22","92","9","13","19","0","4.3%","20.7%",".318",".300",".307",".337",".625",".397","","154","-0.3","5.8","1.9","1.1","7539"
